,who,did,philip,i,want,to,marry,?
from,0.27839982509613037,0.20248863101005554,0.1016678735613823,0.1677764356136322,0.20457862317562103,0.4069952368736267,0.1076827198266983,0.19969791173934937
december,0.2259318083524704,0.2542226016521454,0.2502119839191437,0.23529675602912903,0.16029272973537445,0.21181435883045197,0.19730716943740845,0.2480352818965912
1539,0.05512271448969841,-0.04654200002551079,0.014879525639116764,0.06153326854109764,-0.008496593683958054,-0.0011582360602915287,0.009901950135827065,0.014554516412317753
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
luther,0.21013082563877106,0.23667675256729126,0.22734054923057556,0.232476145029068,0.16622456908226013,0.18029534816741943,0.19635523855686188,0.1732746809720993
became,0.2624726891517639,0.3632316589355469,0.17313513159751892,0.12454700469970703,0.2091507911682129,0.20401327311992645,0.19543924927711487,0.11374033987522125
implicated,0.1730576604604721,0.2568132281303406,0.018772104755043983,0.21050234138965607,0.31120115518569946,0.2893189787864685,0.17418238520622253,0.23202624917030334
in,0.2792111933231354,0.2593238651752472,0.26558998227119446,0.22907796502113342,0.2281211018562317,0.45010748505592346,0.17190752923488617,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,0.21499985456466675,0.26687872409820557,0.3003826439380646,0.535392165184021,0.16624797880649567,0.22068053483963013
bigamy,0.36418476700782776,0.29481378197669983,0.2877887487411499,0.2655017375946045,0.29580003023147583,0.24838772416114807,0.4404139220714569,0.24296744167804718
of,0.2827862501144409,0.2513895630836487,0.24375313520431519,0.25849398970603943,0.2645295262336731,0.41548454761505127,0.15853992104530334,0.1826142966747284
philip,0.25307518243789673,0.16742472350597382,1.0,0.1982668936252594,0.13887843489646912,0.17181846499443054,0.2985031306743622,0.11887923628091812
i,0.33545589447021484,0.32301032543182373,0.1982668936252594,0.9999999403953552,0.45656681060791016,0.3140375316143036,0.2678331434726715,0.4695145785808563
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
landgrave,0.24670644104480743,0.20445628464221954,0.3638521134853363,0.3035884201526642,0.15409184992313385,0.22997619211673737,0.4378792643547058,0.2453048676252365
of,0.2827862501144409,0.2513895630836487,0.24375313520431519,0.25849398970603943,0.2645295262336731,0.41548454761505127,0.15853992104530334,0.1826142966747284
hesse,0.16736814379692078,0.11396785080432892,0.21449171006679535,0.1959533989429474,0.06906796246767044,0.14232581853866577,0.21374239027500153,0.11271942406892776
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
who,0.9999998807907104,0.34038686752319336,0.25307518243789673,0.33545589447021484,0.3610791862010956,0.42656609416007996,0.37599194049835205,0.26220351457595825
wanted,0.38630297780036926,0.6432620882987976,0.17294663190841675,0.3067260682582855,0.65010666847229,0.47293567657470703,0.36021390557289124,0.24342651665210724
to,0.42656609416007996,0.4452643394470215,0.17181846499443054,0.3140375316143036,0.4966742694377899,1.0,0.3244785964488983,0.29463258385658264
marry,0.37599194049835205,0.27373647689819336,0.2985031306743622,0.2678331434726715,0.36336207389831543,0.3244785964488983,0.9999999403953552,0.15644006431102753
one,0.40083858370780945,0.27659472823143005,0.11569949984550476,0.2728527784347534,0.3344702422618866,0.4025384783744812,0.17340616881847382,0.2673267424106598
of,0.2827862501144409,0.2513895630836487,0.24375313520431519,0.25849398970603943,0.2645295262336731,0.41548454761505127,0.15853992104530334,0.1826142966747284
his,0.44966956973075867,0.3546801507472992,0.2676854133605957,0.2764712870121002,0.20445500314235687,0.3715193271636963,0.3218596875667572,0.18075084686279297
wife,0.3764849305152893,0.23308776319026947,0.27651238441467285,0.20039142668247223,0.18717707693576813,0.20460014045238495,0.5328571200370789,0.19987250864505768
's,0.05599616840481758,0.05069678649306297,-0.022211208939552307,0.09143294394016266,0.009669095277786255,0.03782717138528824,0.0056321825832128525,-0.023395681753754616
ladies-in-waiting,0.3487440347671509,0.31462541222572327,0.2641794979572296,0.3408394157886505,0.27191564440727234,0.32528001070022583,0.34928756952285767,0.2977629005908966
.,0.3541337847709656,0.35288307070732117,0.2297613024711609,0.33645379543304443,0.31944841146469116,0.4645031690597534,0.19600537419319153,0.4130953550338745
,who,did,philip,i,want,to,marry,?
as,0.3923053741455078,0.3596470057964325,0.1352866142988205,0.28558287024497986,0.3034803569316864,0.42092081904411316,0.196880042552948,0.27043893933296204
a,0.36608949303627014,0.2552328109741211,0.20079895853996277,0.3155658543109894,0.2898913025856018,0.45503583550453186,0.1693778932094574,0.23916715383529663
result,0.13371044397354126,0.2026577889919281,0.10457437485456467,0.18919871747493744,0.2336110770702362,0.23653174936771393,0.11835158616304398,0.17218433320522308
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
on,0.2340552806854248,0.2670976221561432,0.162323459982872,0.238076314330101,0.2747430205345154,0.41031414270401,0.13022486865520477,0.2714994251728058
4,0.09137360751628876,0.0646207332611084,0.3544389307498932,0.14260593056678772,0.03306702524423599,0.059323787689208984,0.16485629975795746,0.010515431873500347
march,0.22332389652729034,0.27992504835128784,0.23030094802379608,0.23623424768447876,0.2364168018102646,0.2274535447359085,0.22146360576152802,0.2802562415599823
1540,0.2751927077770233,0.33449459075927734,0.22327661514282227,0.3078315556049347,0.30238181352615356,0.32956191897392273,0.21680913865566254,0.21926595270633698
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
philip,0.25307518243789673,0.16742472350597382,1.0,0.1982668936252594,0.13887843489646912,0.17181846499443054,0.2985031306743622,0.11887923628091812
married,0.299703449010849,0.199991375207901,0.3226171135902405,0.1963643580675125,0.1821650117635727,0.15330412983894348,0.6243249773979187,0.18062160909175873
a,0.36608949303627014,0.2552328109741211,0.20079895853996277,0.3155658543109894,0.2898913025856018,0.45503583550453186,0.1693778932094574,0.23916715383529663
second,0.21920166909694672,0.20727969706058502,0.22673289477825165,0.23427733778953552,0.19408729672431946,0.3098561465740204,0.1559748649597168,0.17239587008953094
wife,0.3764849305152893,0.23308776319026947,0.27651238441467285,0.20039142668247223,0.18717707693576813,0.20460014045238495,0.5328571200370789,0.19987250864505768
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
margarethe,0.2948812246322632,0.21867427229881287,0.3182891607284546,0.18904854357242584,0.1963479220867157,0.20943166315555573,0.40180349349975586,0.14453202486038208
von,0.1834137886762619,0.22224590182304382,0.19820326566696167,0.14139524102210999,0.14255264401435852,0.17537063360214233,0.2060830444097519,0.13907472789287567
der,0.1412971019744873,0.1264456808567047,0.14661912620067596,0.14879322052001953,0.1458074003458023,0.13559113442897797,0.14947010576725006,0.10571374744176865
saale,0.13116714358329773,0.0853300541639328,0.183915376663208,0.2239096313714981,0.1147385835647583,0.12144532799720764,0.1688297688961029,0.12205320596694946
",",0.3365725874900818,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.30747702717781067,0.44245919585227966,0.2495274543762207,0.31091248989105225
with,0.3282766342163086,0.25472134351730347,0.17874625325202942,0.2640714943408966,0.2721838057041168,0.4239959120750427,0.13996060192584991,0.2433311939239502
