,whose,writings,were,widely,quoted,by,the,third,reich,?
according,0.19771522283554077,0.2407778650522232,0.25184938311576843,0.2661150097846985,0.23343218863010406,0.2975466847419739,0.3202974498271942,0.18179382383823395,0.12572845816612244,0.21173474192619324
to,0.320825457572937,0.18383939564228058,0.31913647055625916,0.2705559730529785,0.13925369083881378,0.33534231781959534,0.535392165184021,0.2795414924621582,0.11712190508842468,0.29463258385658264
michael,0.08588173985481262,0.19488760828971863,0.15896406769752502,0.06688348948955536,0.1265399008989334,0.20990675687789917,0.21768254041671753,0.21361692249774933,0.19368121027946472,0.0667748749256134
",",0.25601375102996826,0.21987015008926392,0.36755475401878357,0.2983349859714508,0.23520775139331818,0.3680937886238098,0.4933079481124878,0.283071368932724,0.23311564326286316,0.31091248989105225
just,0.24162153899669647,0.21174585819244385,0.2839916944503784,0.16564355790615082,0.25925561785697937,0.2508312165737152,0.40061673521995544,0.20560351014137268,0.1820499151945114,0.4144178032875061
about,0.25663211941719055,0.34160128235816956,0.29814305901527405,0.1729748398065567,0.17679019272327423,0.30091190338134766,0.37995871901512146,0.20753440260887146,0.17715761065483093,0.302409827709198
every,0.2621476352214813,0.1328473538160324,0.2038871794939041,0.2383534163236618,0.09597442299127579,0.2466849684715271,0.4023689329624176,0.24737414717674255,0.12152519822120667,0.24066033959388733
anti-jewish,0.32606080174446106,0.30915704369544983,0.23580826818943024,0.2356940507888794,0.2493855506181717,0.27537044882774353,0.2829035222530365,0.18337473273277283,0.304811030626297,0.26591992378234863
book,0.16768689453601837,0.4840583801269531,0.17265428602695465,0.2099209874868393,0.3164564073085785,0.27178502082824707,0.2652374505996704,0.21928663551807404,0.2365749180316925,0.20572158694267273
printed,0.13635897636413574,0.3889971375465393,0.23089656233787537,0.30654972791671753,0.3881931006908417,0.2275574654340744,0.25742077827453613,0.15449586510658264,0.18077987432479858,0.1726173758506775
in,0.23496666550636292,0.2301568239927292,0.3815755248069763,0.26852190494537354,0.1343328058719635,0.370934396982193,0.6662389636039734,0.3309578001499176,0.21795225143432617,0.20430970191955566
the,0.38253846764564514,0.21431727707386017,0.3906462490558624,0.29394426941871643,0.19970788061618805,0.4408751428127289,1.0,0.4229298532009125,0.2300819307565689,0.22068053483963013
third,0.13612452149391174,0.1394238919019699,0.17625688016414642,0.19084447622299194,0.09331055730581284,0.28581833839416504,0.4229298532009125,1.0,0.27272939682006836,0.15394791960716248
reich,0.07097381353378296,0.20505744218826294,0.1729985475540161,0.12273663282394409,0.21184223890304565,0.20064610242843628,0.2300819307565689,0.27272939682006836,1.0,0.131435826420784
contained,0.15743349492549896,0.25990772247314453,0.3573267161846161,0.2213972508907318,0.26699158549308777,0.2723034620285034,0.31440216302871704,0.13315317034721375,0.25432005524635315,0.171995609998703
references,0.12216155976057053,0.3484551012516022,0.20883111655712128,0.24664969742298126,0.3423372507095337,0.1998719722032547,0.24170354008674622,0.20932097733020782,0.14583200216293335,0.37122470140457153
to,0.320825457572937,0.18383939564228058,0.31913647055625916,0.2705559730529785,0.13925369083881378,0.33534231781959534,0.535392165184021,0.2795414924621582,0.11712190508842468,0.29463258385658264
and,0.3339773118495941,0.2566024661064148,0.42175528407096863,0.2914178967475891,0.16003626585006714,0.4289871156215668,0.5171257257461548,0.26207348704338074,0.2155928909778595,0.20544172823429108
quotations,0.18004100024700165,0.38571837544441223,0.2014269381761551,0.29315364360809326,0.6443440318107605,0.2097228765487671,0.24425064027309418,0.10686758905649185,0.23771505057811737,0.2455849051475525
from,0.2266867458820343,0.18939481675624847,0.29991888999938965,0.18686431646347046,0.19786317646503448,0.3373257517814636,0.40150508284568787,0.19577939808368683,0.1317165642976761,0.19969791173934937
luther,0.16639941930770874,0.32714858651161194,0.18652333319187164,0.1059485599398613,0.15756802260875702,0.15382802486419678,0.1759674996137619,0.11620480567216873,0.23585668206214905,0.1732746809720993
.,0.2718997597694397,0.24754001200199127,0.3378238379955292,0.2204076051712036,0.21636508405208588,0.3936232924461365,0.5934505462646484,0.3039522171020508,0.22819054126739502,0.4130953550338745
,whose,writings,were,widely,quoted,by,the,third,reich,?
luther,0.16639941930770874,0.32714858651161194,0.18652333319187164,0.1059485599398613,0.15756802260875702,0.15382802486419678,0.1759674996137619,0.11620480567216873,0.23585668206214905,0.1732746809720993
was,0.2162860482931137,0.21465790271759033,0.590133786201477,0.3025229275226593,0.1831979602575302,0.4752357602119446,0.48711544275283813,0.3460187017917633,0.24894572794437408,0.18412111699581146
the,0.38253846764564514,0.21431727707386017,0.3906462490558624,0.29394426941871643,0.19970788061618805,0.4408751428127289,1.0,0.4229298532009125,0.2300819307565689,0.22068053483963013
most,0.34039464592933655,0.21086719632148743,0.3543298542499542,0.49901100993156433,0.18288907408714294,0.270847886800766,0.47635307908058167,0.27510353922843933,0.10540209710597992,0.2107497900724411
widely,0.2331709861755371,0.23999133706092834,0.23510098457336426,1.0000001192092896,0.2752465009689331,0.2632814347743988,0.29394426941871643,0.19084447622299194,0.12273663282394409,0.10354958474636078
read,0.11606008559465408,0.4054390490055084,0.1869991570711136,0.3185589909553528,0.353109210729599,0.20275580883026123,0.25299927592277527,0.16279691457748413,0.1449061781167984,0.30917879939079285
author,0.24363011121749878,0.44237422943115234,0.09182845056056976,0.21595419943332672,0.3440535068511963,0.17912176251411438,0.199458509683609,0.07548540085554123,0.20526756346225739,0.14162757992744446
of,0.37058958411216736,0.24593348801136017,0.34038281440734863,0.22028475999832153,0.1527412235736847,0.3646814823150635,0.733189046382904,0.30602210760116577,0.2368013858795166,0.1826142966747284
his,0.39010414481163025,0.3246472179889679,0.3142043352127075,0.249346524477005,0.2468613237142563,0.3107621967792511,0.4394008219242096,0.23086775839328766,0.18062706291675568,0.18075084686279297
generation,0.19884756207466125,0.13527296483516693,0.19203908741474152,0.2672702670097351,0.1392686665058136,0.20420892536640167,0.26573610305786133,0.3104785680770874,0.19781272113323212,0.18250396847724915
",",0.25601375102996826,0.21987015008926392,0.36755475401878357,0.2983349859714508,0.23520775139331818,0.3680937886238098,0.4933079481124878,0.283071368932724,0.23311564326286316,0.31091248989105225
and,0.3339773118495941,0.2566024661064148,0.42175528407096863,0.2914178967475891,0.16003626585006714,0.4289871156215668,0.5171257257461548,0.26207348704338074,0.2155928909778595,0.20544172823429108
within,0.2871030569076538,0.12388253957033157,0.19996105134487152,0.20300191640853882,0.13478094339370728,0.28621017932891846,0.39827480912208557,0.18764962255954742,0.16737188398838043,0.1870293766260147
germany,0.12407173961400986,0.15603047609329224,0.24375580251216888,0.17187827825546265,0.14746339619159698,0.22670169174671173,0.3181285262107849,0.1612132042646408,0.47752031683921814,0.1388660967350006
he,0.21916402876377106,0.22338810563087463,0.31267037987709045,0.25353553891181946,0.16666516661643982,0.2485479861497879,0.4571082592010498,0.23474213480949402,0.18554247915744781,0.2089974731206894
acquired,0.10690086334943771,0.13583755493164062,0.16298405826091766,0.11889614164829254,0.16762815415859222,0.2711716294288635,0.22202405333518982,0.13006757199764252,0.09462179988622665,0.09366346150636673
the,0.38253846764564514,0.21431727707386017,0.3906462490558624,0.29394426941871643,0.19970788061618805,0.4408751428127289,1.0,0.4229298532009125,0.2300819307565689,0.22068053483963013
status,0.13174308836460114,0.16594183444976807,0.15414895117282867,0.10839693248271942,0.11448734253644943,0.13759160041809082,0.23601171374320984,0.20061065256595612,0.19140377640724182,0.16403266787528992
of,0.37058958411216736,0.24593348801136017,0.34038281440734863,0.22028475999832153,0.1527412235736847,0.3646814823150635,0.733189046382904,0.30602210760116577,0.2368013858795166,0.1826142966747284
a,0.3225097060203552,0.15608888864517212,0.17203083634376526,0.25288406014442444,0.1365712732076645,0.32094135880470276,0.5829201340675354,0.35260438919067383,0.21090270578861237,0.23916715383529663
prophet,0.18329975008964539,0.35866111516952515,0.1445976048707962,0.1937628835439682,0.2715432643890381,0.15918122231960297,0.19251945614814758,0.18884935975074768,0.08812934905290604,0.22816047072410583
.,0.2718997597694397,0.24754001200199127,0.3378238379955292,0.2204076051712036,0.21636508405208588,0.3936232924461365,0.5934505462646484,0.3039522171020508,0.22819054126739502,0.4130953550338745
