,what,is,the,title,of,edwards,book,about,luther,?
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.15646985173225403,0.4300730526447296,0.2103504091501236,0.21967315673828125,0.42107653617858887,0.2097044140100479,0.2562315762042999
scholars,0.2640625238418579,0.18092486262321472,0.2524346709251404,0.09483037143945694,0.2583930194377899,0.17492051422595978,0.29042893648147583,0.22173559665679932,0.24086572229862213,0.11279910802841187
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2202284336090088,0.4946078956127167,0.30003780126571655,0.23644568026065826,0.3877100944519043,0.23255878686904907,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.1494419425725937,0.3209529519081116,0.17564895749092102,0.1546224057674408,0.24973522126674652,0.09043191373348236,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2520829439163208,0.3886612355709076,0.2509889304637909,0.23037776350975037,0.2989700436592102,0.20242992043495178,0.27043893933296204
mark,0.16941310465335846,0.16439194977283478,0.2235521525144577,0.10556398332118988,0.16461719572544098,0.2084113359451294,0.16445410251617432,0.1212443858385086,0.23420047760009766,0.11634156107902527
u.,-0.045045603066682816,0.09768833220005035,0.21289505064487457,0.04297016188502312,0.12047496438026428,0.07164611667394638,-0.11150237917900085,0.003485955996438861,-0.030764391645789146,-0.06354963779449463
edwards,0.15566903352737427,0.17036952078342438,0.22999197244644165,0.057675234973430634,0.18850749731063843,1.0,0.17184248566627502,0.17867591977119446,0.20500709116458893,0.16941575706005096
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2263992726802826,0.5696388483047485,0.22228585183620453,0.2527170181274414,0.39797019958496094,0.20523880422115326,0.20430970191955566
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.22620166838169098,0.38364991545677185,0.24741820991039276,0.2672714293003082,0.24169853329658508,0.27093374729156494,0.18075084686279297
book,0.2872225046157837,0.21808475255966187,0.2652374505996704,0.2632238268852234,0.22602593898773193,0.17184248566627502,1.0,0.29224592447280884,0.2606102228164673,0.20572158694267273
luther,0.2134782373905182,0.08282390236854553,0.1759674996137619,0.14480815827846527,0.1719115972518921,0.20500709116458893,0.2606102228164673,0.203048437833786,1.0,0.1732746809720993
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.01928652636706829,-0.03817026689648628,-0.04786781221628189,0.03493255004286766,-0.020936643704771996,-0.009990512393414974,-0.023395681753754616
last,0.23175878822803497,0.2445172220468521,0.3698786795139313,0.2443828135728836,0.3052992522716522,0.18673908710479736,0.22363583743572235,0.2802848815917969,0.18467779457569122,0.22371746599674225
battles,0.20100295543670654,0.19458748400211334,0.32478782534599304,0.14785489439964294,0.25613051652908325,0.09270941466093063,0.20065346360206604,0.1604098379611969,0.14085690677165985,0.18091581761837006
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,0.06999341398477554,-0.08807745575904846,-0.07268349081277847,-0.11136190593242645,-0.14031879603862762,-0.0567622147500515,-0.07156077772378922
politics,0.2674756944179535,0.1504008024930954,0.2115192860364914,0.24905472993850708,0.24890418350696564,0.21629340946674347,0.2554633617401123,0.28433722257614136,0.18237851560115814,0.16389669477939606
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.20763245224952698,0.5116966962814331,0.2978705167770386,0.28024056553840637,0.3875081241130829,0.20796556770801544,0.20544172823429108
polemics,0.2821088135242462,0.20339521765708923,0.2250623255968094,0.1442047655582428,0.2653586268424988,0.2533639967441559,0.26026949286460876,0.26340368390083313,0.1782216578722,0.22443293035030365
1531–46,0.16680867969989777,0.08965220302343369,0.09413167089223862,-0.038055192679166794,0.10105077922344208,-0.060066841542720795,-0.005202110856771469,0.15086302161216736,0.03345795348286629,0.11236575990915298
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.24515381455421448,0.35032153129577637,0.2091756910085678,0.18474207818508148,0.27495184540748596,0.1677781045436859,0.40561532974243164
1983,0.025786560028791428,0.009469836950302124,-0.019107989966869354,-0.00401360634714365,0.0639224499464035,-0.029327694326639175,0.027059363201260567,-0.04127471148967743,-0.026567809283733368,0.09926492720842361
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2601674497127533,0.3680361211299896,0.20168793201446533,0.19147184491157532,0.2775460183620453,0.18587662279605865,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2202284336090088,0.4946078956127167,0.30003780126571655,0.23644568026065826,0.3877100944519043,0.23255878686904907,0.31091248989105225
suggest,0.39558762311935425,0.2519548237323761,0.2682655155658722,0.09541220217943192,0.28071948885917664,0.06942342966794968,0.22386203706264496,0.35433441400527954,0.08022039383649826,0.39672672748565674
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.18916001915931702,0.41498205065727234,0.21318046748638153,0.31481462717056274,0.4500710964202881,0.21746599674224854,0.32716336846351624
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.19569338858127594,0.35513219237327576,0.16269657015800476,0.18007855117321014,0.2784513235092163,0.11990752816200256,0.2876587212085724
luther,0.2134782373905182,0.08282390236854553,0.1759674996137619,0.14480815827846527,0.1719115972518921,0.20500709116458893,0.2606102228164673,0.203048437833786,1.0,0.1732746809720993
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.01928652636706829,-0.03817026689648628,-0.04786781221628189,0.03493255004286766,-0.020936643704771996,-0.009990512393414974,-0.023395681753754616
increasingly,0.19974569976329803,0.21823541820049286,0.3152945339679718,0.06838840246200562,0.2953035831451416,0.19785548746585846,0.12763288617134094,0.170915424823761,0.16430479288101196,0.059327382594347
antisemitic,0.23863151669502258,0.13927191495895386,0.23800690472126007,0.04119536280632019,0.19398409128189087,0.13885538280010223,0.22870445251464844,0.20138539373874664,0.2897975742816925,0.17317599058151245
views,0.32671356201171875,0.1585468053817749,0.23137402534484863,0.12133198976516724,0.1923438459634781,0.2025154083967209,0.18958784639835358,0.3301961421966553,0.19727660715579987,0.19388815760612488
developed,0.15555569529533386,0.21550270915031433,0.24490751326084137,0.07805135846138,0.21960023045539856,0.09422578662633896,0.2015148252248764,0.20694030821323395,0.03738013654947281,0.10763012617826462
during,0.24137552082538605,0.2240111529827118,0.4838213622570038,0.1010117158293724,0.3869180977344513,0.18282252550125122,0.17538011074066162,0.2542499899864197,0.18200165033340454,0.1325719803571701
the,0.42745697498321533,0.5823672413825989,1.0,0.27465343475341797,0.733189046382904,0.22999197244644165,0.2652374505996704,0.37995871901512146,0.1759674996137619,0.22068053483963013
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.14224165678024292,0.2904134690761566,0.20654085278511047,0.13877424597740173,0.3661487102508545,0.1472962647676468,0.1914375126361847
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.22620166838169098,0.38364991545677185,0.24741820991039276,0.2672714293003082,0.24169853329658508,0.27093374729156494,0.18075084686279297
health,0.21460163593292236,0.1864514946937561,0.2340974360704422,0.16070783138275146,0.28076469898223877,0.22034019231796265,0.1951856017112732,0.25254836678504944,0.17949983477592468,0.16094304621219635
deteriorated,0.2037731409072876,0.16191481053829193,0.3087010085582733,0.08396395295858383,0.3613165020942688,0.132119283080101,0.14455468952655792,0.14569173753261566,0.12842576205730438,0.09551439434289932
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2202284336090088,0.4946078956127167,0.30003780126571655,0.23644568026065826,0.3877100944519043,0.23255878686904907,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.2083277851343155,0.38761502504348755,0.14205020666122437,0.25369152426719666,0.4291239380836487,0.15365919470787048,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.17983698844909668,0.4854315221309662,0.17036952078342438,0.21808475255966187,0.3532065451145172,0.08282390236854553,0.22961433231830597
possible,0.3281886577606201,0.2872174084186554,0.32701125741004944,0.10648748278617859,0.3314395844936371,0.17314520478248596,0.13514111936092377,0.2700214385986328,0.15475015342235565,0.3059970438480377
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.14980316162109375,0.3426007330417633,0.21007713675498962,0.1637771725654602,0.34267860651016235,0.16441592574119568,0.2753053903579712
were,0.22298263013362885,0.29386836290359497,0.3906462490558624,0.11128851026296616,0.34038281440734863,0.17698587477207184,0.17265428602695465,0.29814305901527405,0.18652333319187164,0.17890112102031708
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.172890767455101,0.42558613419532776,0.28010764718055725,0.11692723631858826,0.3110121488571167,0.13834704458713531,0.21978627145290375
