,how,many,megaregions,are,there,in,the,united,states,?
the,0.33890387415885925,0.4335206151008606,0.38845741748809814,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
8-,-0.18771466612815857,-0.16974763572216034,0.0822865292429924,-0.05570236220955849,-0.11780980974435806,-0.0456625260412693,-0.023963289335370064,-0.11260848492383957,-0.1539061963558197,-0.06513553857803345
and,0.33647966384887695,0.5296266674995422,0.3473949730396271,0.48576638102531433,0.4242868423461914,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
10-county,0.12979969382286072,0.11002352833747864,0.307065486907959,0.1627592295408249,0.2629547715187073,0.3250771462917328,0.21691842377185822,0.363094300031662,0.34880945086479187,0.11292342841625214
definitions,0.2895013988018036,0.35096535086631775,0.3447161614894867,0.3480089008808136,0.3445028066635132,0.21859706938266754,0.24870915710926056,0.24107792973518372,0.2683694362640381,0.3035217523574829
are,0.311818927526474,0.5655534863471985,0.3666573464870453,1.0,0.5433560013771057,0.3841303884983063,0.40399202704429626,0.16919764876365662,0.1846873015165329,0.24591213464736938
not,0.4869767427444458,0.4369727373123169,0.2647404372692108,0.46186959743499756,0.43214359879493713,0.3403114080429077,0.4310511648654938,0.20884482562541962,0.24589264392852783,0.41942933201789856
used,0.34819337725639343,0.38759201765060425,0.2746826708316803,0.3322218656539917,0.3545510172843933,0.3090210556983948,0.3718377649784088,0.2768322229385376,0.23992468416690826,0.22430120408535004
for,0.3308170735836029,0.40972793102264404,0.22854359447956085,0.3895993232727051,0.3728419542312622,0.4322226941585541,0.4739971458911896,0.30487096309661865,0.2496437132358551,0.264628142118454
the,0.33890387415885925,0.4335206151008606,0.38845741748809814,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
greater,0.11442330479621887,0.22031435370445251,0.24766868352890015,0.19981995224952698,0.23510071635246277,0.26627716422080994,0.2814446687698364,0.16851527988910675,0.15130755305290222,0.09723397344350815
southern,0.11308442056179047,0.18025599420070648,0.35324907302856445,0.18306338787078857,0.25116652250289917,0.3190481662750244,0.3282862603664398,0.2923206686973572,0.29004350304603577,0.11225555837154388
california,0.15981262922286987,0.24571245908737183,0.1965208351612091,0.17678135633468628,0.1433659940958023,0.2772824168205261,0.2750805914402008,0.33969607949256897,0.3858724534511566,0.1409905105829239
megaregion,0.18807284533977509,0.221564382314682,0.8682705760002136,0.2511730194091797,0.26941004395484924,0.3217652440071106,0.3822336196899414,0.28745824098587036,0.28931713104248047,0.28269416093826294
",",0.22659391164779663,0.40610817074775696,0.3374210000038147,0.4062570035457611,0.4587128460407257,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
one,0.3213292360305786,0.4223630726337433,0.33804550766944885,0.42537835240364075,0.43285492062568665,0.4129433035850525,0.5514441132545471,0.28796783089637756,0.2856254577636719,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.4145451784133911,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.38845741748809814,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
11,0.04696422442793846,0.13612139225006104,-0.005959987174719572,0.06551206856966019,0.0036810259334743023,0.03469983860850334,-0.0219515822827816,0.030568532645702362,0.01651664637029171,-0.04295448586344719
megaregions,0.21328958868980408,0.2894964814186096,1.0,0.3666573464870453,0.32142114639282227,0.3051583766937256,0.38845741748809814,0.26541224122047424,0.28410619497299194,0.2748909294605255
of,0.2480744868516922,0.37253960967063904,0.4145451784133911,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.38845741748809814,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.19034643471240997,0.2670816481113434,0.26541224122047424,0.16919764876365662,0.19206386804580688,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.20841296017169952,0.29976361989974976,0.28410619497299194,0.1846873015165329,0.22680425643920898,0.3977442979812622,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
.,0.3287222981452942,0.3974229395389557,0.363579660654068,0.3452940285205841,0.43897318840026855,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.4130953550338745
