,which,country,used,to,rule,california,?
though,0.4655933380126953,0.18767550587654114,0.34601661562919617,0.46191829442977905,0.21544095873832703,0.2062160223722458,0.3188856542110443
there,0.45256471633911133,0.24909386038780212,0.3545510172843933,0.40669289231300354,0.22327294945716858,0.1433659940958023,0.29405656456947327
is,0.4457404911518097,0.24409033358097076,0.3288823366165161,0.42745086550712585,0.18984714150428772,0.20727038383483887,0.22961433231830597
no,0.32479003071784973,0.15192489326000214,0.21540804207324982,0.30015695095062256,0.1987466961145401,0.13001956045627594,0.32165053486824036
official,0.18692700564861298,0.21827712655067444,0.20022165775299072,0.18259026110172272,0.1790216714143753,0.15973788499832153,0.18097688257694244
definition,0.31308257579803467,0.1697939932346344,0.29203373193740845,0.2924377918243408,0.25399747490882874,0.17904339730739594,0.2796523869037628
for,0.44095608592033386,0.2644098401069641,0.4236139953136444,0.4451248347759247,0.19033655524253845,0.23038740456104279,0.264628142118454
the,0.6521818041801453,0.30432501435279846,0.3718377649784088,0.535392165184021,0.29894936084747314,0.2750805914402008,0.22068053483963013
northern,0.2470913678407669,0.22716011106967926,0.1416221261024475,0.1886475831270218,0.13971510529518127,0.23127253353595734,0.13149388134479523
boundary,0.34568116068840027,0.14070065319538116,0.14331677556037903,0.22917440533638,0.24381405115127563,0.12054579704999924,0.0720028504729271
of,0.5011631846427917,0.28866857290267944,0.3075267970561981,0.41548454761505127,0.25175079703330994,0.24929828941822052,0.1826142966747284
southern,0.2648681700229645,0.2523879408836365,0.1475580930709839,0.18284058570861816,0.1488359272480011,0.2983402609825134,0.11225555837154388
california,0.17128102481365204,0.1743260771036148,0.13606397807598114,0.20697450637817383,0.11413976550102234,1.0,0.1409905105829239
",",0.3658004403114319,0.27878350019454956,0.3120402991771698,0.44245919585227966,0.24230371415615082,0.2704589068889618,0.31091248989105225
such,0.406057745218277,0.1774929165840149,0.4262988865375519,0.2871878743171692,0.18050765991210938,0.16598737239837646,0.17851735651493073
a,0.56894451379776,0.20991116762161255,0.3864384889602661,0.45503583550453186,0.2032480239868164,0.2426064908504486,0.23916715383529663
division,0.27775809168815613,0.23909443616867065,0.15523329377174377,0.20332986116409302,0.16723491251468658,0.10760890692472458,0.08900629729032516
has,0.4350704550743103,0.23112818598747253,0.23367926478385925,0.3619994819164276,0.14257372915744781,0.1442752480506897,0.15994466841220856
existed,0.3096289038658142,0.17144258320331573,0.3272019028663635,0.18340860307216644,0.30570563673973083,0.1088499054312706,0.17013543844223022
from,0.38755592703819275,0.21630296111106873,0.25821518898010254,0.4069952368736267,0.17678074538707733,0.23643477261066437,0.19969791173934937
