,other,than,the,automobile,club,of,southern,california,",",what,other,aaa,auto,club,chose,to,simplify,the,divide,?
the,0.44152235984802246,0.3227543234825134,1.0,0.19456493854522705,0.23249365389347076,0.733189046382904,0.3282862603664398,0.2750805914402008,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.17476393282413483,0.16137129068374634,0.23249365389347076,0.3029356896877289,0.535392165184021,0.21066032350063324,1.0,0.296497642993927,0.22068053483963013
two,0.46609029173851013,0.37341010570526123,0.43858039379119873,0.15493494272232056,0.10914492607116699,0.37726253271102905,0.13197177648544312,0.21899013221263885,0.35859420895576477,0.23363454639911652,0.46609029173851013,0.16267715394496918,0.13299788534641266,0.10914492607116699,0.16171784698963165,0.3343428373336792,0.16366074979305267,0.43858039379119873,0.37031248211860657,0.19645625352859497
aaa,0.14407189190387726,0.08041911572217941,0.17476393282413483,0.18471728265285492,0.25166791677474976,0.13306361436843872,0.1668311506509781,0.1535111367702484,0.13678453862667084,0.1450928896665573,0.14407189190387726,1.0000001192092896,0.20578311383724213,0.25166791677474976,0.09601963311433792,0.11379832774400711,0.1653875857591629,0.17476393282413483,0.13569892942905426,0.20167770981788635
auto,0.16886509954929352,0.07853566855192184,0.16137129068374634,0.5003641247749329,0.17942263185977936,0.12421652674674988,0.05077485740184784,0.17664964497089386,0.2191259115934372,0.20704150199890137,0.16886509954929352,0.20578311383724213,1.0,0.17942263185977936,0.11900827288627625,0.2091934233903885,0.20168247818946838,0.16137129068374634,0.09654542058706284,0.20101268589496613
clubs,0.17628246545791626,0.17863066494464874,0.17952080070972443,0.2193027287721634,0.5473388433456421,0.17083200812339783,0.14693619310855865,0.17150527238845825,0.20721189677715302,0.07451342791318893,0.17628246545791626,0.2030501365661621,0.19666467607021332,0.5473388433456421,0.013188235461711884,0.17208173871040344,0.1450810432434082,0.17952080070972443,0.17671889066696167,0.1735779345035553
of,0.38583824038505554,0.33036211133003235,0.733189046382904,0.20352987945079803,0.19264739751815796,1.0,0.31933003664016724,0.24929828941822052,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.13306361436843872,0.12421652674674988,0.19264739751815796,0.2676139771938324,0.41548454761505127,0.1869407743215561,0.733189046382904,0.27984148263931274,0.1826142966747284
the,0.44152235984802246,0.3227543234825134,1.0,0.19456493854522705,0.23249365389347076,0.733189046382904,0.3282862603664398,0.2750805914402008,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.17476393282413483,0.16137129068374634,0.23249365389347076,0.3029356896877289,0.535392165184021,0.21066032350063324,1.0,0.296497642993927,0.22068053483963013
state,0.25314825773239136,0.1687004715204239,0.3097178041934967,0.1868918240070343,0.17422181367874146,0.34253445267677307,0.2978775203227997,0.3314559757709503,0.29481780529022217,0.24273863434791565,0.25314825773239136,0.14140476286411285,0.15002261102199554,0.17422181367874146,0.13339032232761383,0.25557461380958557,0.12202141433954239,0.3097178041934967,0.1524619609117508,0.1160883978009224
",",0.4446498453617096,0.3371901512145996,0.4933079481124878,0.20926658809185028,0.2388690710067749,0.4946078956127167,0.2795628309249878,0.2704589068889618,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.13678453862667084,0.2191259115934372,0.2388690710067749,0.2518025040626526,0.44245919585227966,0.21563099324703217,0.4933079481124878,0.21270453929901123,0.31091248989105225
the,0.44152235984802246,0.3227543234825134,1.0,0.19456493854522705,0.23249365389347076,0.733189046382904,0.3282862603664398,0.2750805914402008,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.17476393282413483,0.16137129068374634,0.23249365389347076,0.3029356896877289,0.535392165184021,0.21066032350063324,1.0,0.296497642993927,0.22068053483963013
