,what,is,the,state,average,growth,rate,?
despite,0.1825345903635025,0.2399684339761734,0.3172689974308014,0.1951455920934677,0.1972234547138214,0.24514253437519073,0.24950148165225983,0.14350546896457672
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.25097307562828064,0.23812800645828247,0.21544985473155975,0.24373900890350342,0.23916715383529663
reputation,0.24973461031913757,0.17027953267097473,0.21946515142917633,0.1768508106470108,0.17893405258655548,0.24161075055599213,0.13577131927013397,0.14395901560783386
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.19460363686084747,0.20724235475063324,0.24965375661849976,0.2299952208995819,0.264628142118454
high,0.20466077327728271,0.2383800595998764,0.28034812211990356,0.1714802235364914,0.22359821200370789,0.2083626389503479,0.2929585874080658,0.11137914657592773
growth,0.1739405393600464,0.2256266176700592,0.2912366986274719,0.2411895990371704,0.3035612404346466,1.0000001192092896,0.46715715527534485,0.07547862827777863
rates,0.2148645967245102,0.24308988451957703,0.25867342948913574,0.18999813497066498,0.414734810590744,0.4353044331073761,0.7312538027763367,0.13808594644069672
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29481780529022217,0.23098047077655792,0.2218456119298935,0.18156792223453522,0.31091248989105225
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.2978775203227997,0.18616889417171478,0.14553679525852203,0.08875614404678345,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.3314559757709503,0.13245558738708496,0.0639709085226059,0.17139843106269836,0.1409905105829239
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.038451772183179855,0.08544468134641647,-0.008487226441502571,0.06070024520158768,-0.023395681753754616
rate,0.21845893561840057,0.24290183186531067,0.24881242215633392,0.19758838415145874,0.44559913873672485,0.46715715527534485,1.0000001192092896,0.1308269053697586
grew,0.11968503892421722,0.23117998242378235,0.226883202791214,0.12104034423828125,0.1552024483680725,0.3687930107116699,0.10863689333200455,0.05505307391285896
less,0.31119704246520996,0.3123510479927063,0.29185041785240173,0.15907835960388184,0.3721015155315399,0.3007349371910095,0.3605390191078186,0.22418740391731262
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.1687004715204239,0.35461297631263733,0.21366450190544128,0.2922893166542053,0.24917294085025787
the,0.42745697498321533,0.5823672413825989,1.0,0.3097178041934967,0.27058175206184387,0.2912366986274719,0.24881242215633392,0.22068053483963013
state,0.24273863434791565,0.2627358138561249,0.3097178041934967,1.0,0.1257922500371933,0.2411895990371704,0.19758838415145874,0.1160883978009224
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,0.1257922500371933,1.0,0.3035612404346466,0.44559913873672485,0.21764592826366425
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.34253445267677307,0.23717734217643738,0.2679378092288971,0.24132871627807617,0.1826142966747284
10.0,-0.01950257457792759,0.1204572394490242,0.21242393553256989,0.1819387525320053,0.11759711802005768,0.06175898760557175,0.12972882390022278,-0.0030855503864586353
