,other,than,san,bernardino,",",which,other,developed,southern,californian,city,is,not,in,close,proximity,to,the,coast,?
many,0.6324484348297119,0.39069414138793945,0.20305834710597992,0.24235501885414124,0.40610817074775696,0.5168171525001526,0.6324484348297119,0.34483596682548523,0.18025599420070648,0.22876761853694916,0.21416836977005005,0.2649032473564148,0.4369727373123169,0.41474202275276184,0.23736226558685303,0.25201109051704407,0.40243685245513916,0.4335206151008606,0.20054754614830017,0.2124512493610382
of,0.38583824038505554,0.33036211133003235,0.25237205624580383,0.26093193888664246,0.4946078956127167,0.5011631846427917,0.38583824038505554,0.21960023045539856,0.31933003664016724,0.23419058322906494,0.32503411173820496,0.4854315221309662,0.3307090103626251,0.5696388483047485,0.24178770184516907,0.2888256311416626,0.41548454761505127,0.733189046382904,0.2811681628227234,0.1826142966747284
southern,0.22025135159492493,0.16775213181972504,0.2520903944969177,0.32294273376464844,0.2795628309249878,0.2648681700229645,0.22025135159492493,0.11360181868076324,1.0,0.3061138689517975,0.31186121702194214,0.2419366091489792,0.14804132282733917,0.3190481662750244,0.16098402440547943,0.25003257393836975,0.18284058570861816,0.3282862603664398,0.44782236218452454,0.11225555837154388
california,0.19346874952316284,0.17079950869083405,0.5170050263404846,0.463833212852478,0.2704589068889618,0.17128102481365204,0.19346874952316284,0.14430123567581177,0.2983402609825134,0.8817973136901855,0.2801341712474823,0.20727038383483887,0.15390560030937195,0.2772824168205261,0.10052977502346039,0.14026522636413574,0.20697450637817383,0.2750805914402008,0.2948465347290039,0.1409905105829239
's,0.04445967823266983,0.0585811510682106,-0.022058377042412758,-0.06036724895238876,-0.0016132977325469255,0.03856118768453598,0.04445967823266983,0.04590931162238121,0.02131068892776966,0.014035242609679699,0.004406440537422895,0.02396530658006668,0.002583299996331334,-0.037580832839012146,0.07968296110630035,0.10553339123725891,0.03782717138528824,-0.01540423184633255,0.02010589838027954,-0.023395681753754616
most,0.4585079252719879,0.42108985781669617,0.19508418440818787,0.23534612357616425,0.3636029064655304,0.4637843072414398,0.4585079252719879,0.28766918182373047,0.21031956374645233,0.24086904525756836,0.24853192269802094,0.41165053844451904,0.419027179479599,0.41416558623313904,0.17479877173900604,0.2531491219997406,0.321603000164032,0.47635307908058167,0.25896862149238586,0.2107497900724411
developed,0.22444479167461395,0.22113917768001556,0.14127829670906067,0.15189781785011292,0.24565434455871582,0.2803538739681244,0.22444479167461395,1.0000001192092896,0.11360181868076324,0.15737734735012054,0.11918211728334427,0.21550270915031433,0.16609840095043182,0.2498214840888977,0.18528233468532562,0.17843696475028992,0.19491806626319885,0.24490751326084137,0.1517038643360138,0.10763012617826462
cities,0.27904778718948364,0.1976093351840973,0.18862101435661316,0.2617553770542145,0.31927579641342163,0.21391116082668304,0.27904778718948364,0.14426478743553162,0.23386754095554352,0.02320881560444832,0.5864919424057007,0.21770904958248138,0.1655239462852478,0.32293570041656494,0.21166010200977325,0.23021472990512848,0.20735321938991547,0.2621172070503235,0.2868236303329468,0.13339310884475708
lie,0.16717559099197388,0.18769028782844543,0.09576432406902313,0.1117158755660057,0.24498002231121063,0.19684192538261414,0.16717559099197388,0.129190593957901,0.12567515671253204,0.18265016376972198,0.13876298069953918,0.2140594869852066,0.2114596664905548,0.2131740003824234,0.208318829536438,0.2723199129104614,0.1770547330379486,0.2676851153373718,0.2007201910018921,0.13703542947769165
along,0.3091159760951996,0.20039285719394684,0.19343438744544983,0.1895345002412796,0.29824912548065186,0.33404073119163513,0.3091159760951996,0.16121245920658112,0.2638747990131378,0.15027764439582825,0.20935635268688202,0.23571021854877472,0.21075627207756042,0.3603311777114868,0.2655397057533264,0.22307845950126648,0.2976071536540985,0.39495137333869934,0.40980637073516846,0.17134909331798553
or,0.5325124859809875,0.5002588033676147,0.1935659945011139,0.1426226943731308,0.3769497275352478,0.5105096101760864,0.5325124859809875,0.2003154754638672,0.17429952323436737,0.18197716772556305,0.129682257771492,0.41870999336242676,0.5119067430496216,0.3586423695087433,0.19316741824150085,0.2435990571975708,0.38921234011650085,0.4174870550632477,0.14364755153656006,0.32389625906944275
in,0.39989137649536133,0.3270052373409271,0.2617562413215637,0.28734850883483887,0.5201468467712402,0.4840516746044159,0.39989137649536133,0.2498214840888977,0.3190481662750244,0.22949714958667755,0.3911624252796173,0.5394441485404968,0.3403114080429077,1.0,0.23149028420448303,0.17977841198444366,0.45010748505592346,0.6662389636039734,0.2620964050292969,0.20430970191955566
close,0.2716141939163208,0.21667395532131195,0.07973837852478027,0.15446065366268158,0.34483593702316284,0.22808115184307098,0.2716141939163208,0.18528233468532562,0.16098402440547943,0.08792755752801895,0.22897687554359436,0.26769399642944336,0.22054697573184967,0.23149028420448303,1.0000001192092896,0.3411235809326172,0.33802270889282227,0.2625353932380676,0.16854293644428253,0.1908312737941742
proximity,0.27536821365356445,0.25290802121162415,0.1594056487083435,0.16998392343521118,0.2293870598077774,0.31738942861557007,0.27536821365356445,0.17843696475028992,0.25003257393836975,0.16018547117710114,0.24781134724617004,0.23200470209121704,0.14266912639141083,0.17977841198444366,0.3411235809326172,1.0,0.24908709526062012,0.26819658279418945,0.3076826333999634,0.046892885118722916
to,0.4193183183670044,0.3192550539970398,0.21651452779769897,0.2179812788963318,0.44245919585227966,0.5345056653022766,0.4193183183670044,0.19491806626319885,0.18284058570861816,0.18066181242465973,0.20300441980361938,0.42745086550712585,0.5149973034858704,0.45010748505592346,0.33802270889282227,0.24908709526062012,1.0,0.535392165184021,0.23308983445167542,0.29463258385658264
the,0.44152235984802246,0.3227543234825134,0.2858080565929413,0.2722903788089752,0.4933079481124878,0.6521818041801453,0.44152235984802246,0.24490751326084137,0.3282862603664398,0.30453625321388245,0.35769423842430115,0.5823672413825989,0.4310511648654938,0.6662389636039734,0.2625353932380676,0.26819658279418945,0.535392165184021,1.0,0.28366661071777344,0.22068053483963013
coast,0.16443121433258057,0.1233530044555664,0.27527326345443726,0.2704073190689087,0.2553968131542206,0.2259337306022644,0.16443121433258057,0.1517038643360138,0.44782236218452454,0.2947241961956024,0.3207913041114807,0.25204822421073914,0.14513659477233887,0.2620964050292969,0.16854293644428253,0.3076826333999634,0.23308983445167542,0.28366661071777344,1.0000001192092896,0.15869849920272827
",",0.4446498453617096,0.3371901512145996,0.25561806559562683,0.3134419322013855,1.0000001192092896,0.3658004403114319,0.4446498453617096,0.24565434455871582,0.2795628309249878,0.24206019937992096,0.35839709639549255,0.4691906273365021,0.3769696354866028,0.5201468467712402,0.34483593702316284,0.2293870598077774,0.44245919585227966,0.4933079481124878,0.2553968131542206,0.31091248989105225
with,0.44086363911628723,0.3028803765773773,0.20429159700870514,0.16169212758541107,0.4120737314224243,0.46403205394744873,0.44086363911628723,0.257305771112442,0.18574869632720947,0.14335602521896362,0.19554263353347778,0.3250955045223236,0.3409014642238617,0.4080928862094879,0.2853464186191559,0.1825767159461975,0.4239959120750427,0.4223487675189972,0.19276981055736542,0.2433311939239502
the,0.44152235984802246,0.3227543234825134,0.2858080565929413,0.2722903788089752,0.4933079481124878,0.6521818041801453,0.44152235984802246,0.24490751326084137,0.3282862603664398,0.30453625321388245,0.35769423842430115,0.5823672413825989,0.4310511648654938,0.6662389636039734,0.2625353932380676,0.26819658279418945,0.535392165184021,1.0,0.28366661071777344,0.22068053483963013
exception,0.34195074439048767,0.27300524711608887,0.15188276767730713,0.18149229884147644,0.3348684012889862,0.3787161111831665,0.34195074439048767,0.21935752034187317,0.15016481280326843,0.14408721029758453,0.1979122906923294,0.3308527171611786,0.4452991485595703,0.2843743860721588,0.1923762857913971,0.2738202214241028,0.24867789447307587,0.35692375898361206,0.18842169642448425,0.2036404013633728
of,0.38583824038505554,0.33036211133003235,0.25237205624580383,0.26093193888664246,0.4946078956127167,0.5011631846427917,0.38583824038505554,0.21960023045539856,0.31933003664016724,0.23419058322906494,0.32503411173820496,0.4854315221309662,0.3307090103626251,0.5696388483047485,0.24178770184516907,0.2888256311416626,0.41548454761505127,0.733189046382904,0.2811681628227234,0.1826142966747284
san,0.19091297686100006,0.12380602955818176,0.9999999403953552,0.5765351057052612,0.25561806559562683,0.190042182803154,0.19091297686100006,0.14127829670906067,0.2520903944969177,0.4386714994907379,0.32193511724472046,0.1594623327255249,0.16655369102954865,0.2617562413215637,0.07973837852478027,0.1594056487083435,0.21651452779769897,0.2858080565929413,0.27527326345443726,0.10952327400445938
bernardino,0.18902890384197235,0.1527048796415329,0.5765351057052612,1.0,0.3134419322013855,0.20370326936244965,0.18902890384197235,0.15189781785011292,0.32294273376464844,0.44272464513778687,0.33199381828308105,0.2006608545780182,0.1430034041404724,0.28734850883483887,0.15446065366268158,0.16998392343521118,0.2179812788963318,0.2722903788089752,0.2704073190689087,0.11443846672773361
and,0.5504306554794312,0.39361441135406494,0.23541347682476044,0.2651553452014923,0.6633074283599854,0.506277859210968,0.5504306554794312,0.25542938709259033,0.24232792854309082,0.2329932302236557,0.2827445864677429,0.3859752118587494,0.39099299907684326,0.4954058527946472,0.32415980100631714,0.2703063488006592,0.48971283435821533,0.5171257257461548,0.2847609519958496,0.20544172823429108
riverside,0.20750202238559723,0.1658421903848648,0.38028684258461,0.5291909575462341,0.3184468746185303,0.282682329416275,0.20750202238559723,0.11642728000879288,0.33184489607810974,0.42670974135398865,0.41287899017333984,0.19612395763397217,0.14409002661705017,0.30268025398254395,0.16181282699108124,0.19304803013801575,0.17074929177761078,0.27102717757225037,0.2927941679954529,0.10042606294155121
.,0.41511186957359314,0.3594527542591095,0.24563752114772797,0.22549861669540405,0.6812511086463928,0.45942068099975586,0.41511186957359314,0.2569568455219269,0.26629969477653503,0.2531621754169464,0.29856356978416443,0.4569662809371948,0.4824007451534271,0.5591574311256409,0.2501809298992157,0.13586711883544922,0.4645031690597534,0.5934505462646484,0.2627628743648529,0.4130953550338745
