,which,county,is,developing,its,business,center,?
orange,0.20850969851016998,0.30057042837142944,0.20677390694618225,0.10753960907459259,0.2006242424249649,0.033929113298654556,0.17493192851543427,0.1066059097647667
county,0.1709478199481964,1.0,0.19461438059806824,0.06815703958272934,0.17281371355056763,0.22033794224262238,0.19531235098838806,0.07680056244134903
is,0.4457404911518097,0.19461438059806824,1.0,0.22658659517765045,0.4447362422943115,0.19332653284072876,0.24782158434391022,0.22961433231830597
a,0.56894451379776,0.19835104048252106,0.658733606338501,0.29613688588142395,0.4424409866333008,0.2670866549015045,0.2640431225299835,0.23916715383529663
rapidly,0.3204094171524048,0.07774323225021362,0.16968868672847748,0.32759881019592285,0.34609508514404297,0.2269919514656067,0.24110674858093262,0.11245343834161758
developing,0.3343001902103424,0.06815703958272934,0.22658659517765045,1.0,0.30266109108924866,0.2695958912372589,0.18873722851276398,0.1301516592502594
business,0.2152334302663803,0.22033794224262238,0.19332653284072876,0.2695958912372589,0.18736055493354797,1.0,0.1883840411901474,0.1545659303665161
center,0.22164148092269897,0.19531235098838806,0.24782158434391022,0.18873722851276398,0.2311801165342331,0.1883840411901474,0.9999999403953552,0.12538520991802216
that,0.6894589066505432,0.16055446863174438,0.3995479643344879,0.3376230001449585,0.416561484336853,0.25197073817253113,0.22661058604717255,0.32716336846351624
includes,0.36315640807151794,0.14346913993358612,0.4033885896205902,0.19800931215286255,0.21933475136756897,0.15038809180259705,0.149657741189003,0.14011523127555847
downtown,0.22559411823749542,0.3185681700706482,0.21999821066856384,0.19447186589241028,0.25781264901161194,0.3174465298652649,0.3762131631374359,0.15638743340969086
santa,0.21508361399173737,0.2138165384531021,0.1796122044324875,0.109679214656353,0.23336659371852875,0.12676207721233368,0.18421897292137146,0.17321589589118958
ana,0.14145039021968842,0.1146283820271492,0.14406538009643555,0.1515025794506073,0.15252935886383057,0.13956831395626068,0.19824360311031342,0.17085084319114685
",",0.3658004403114319,0.26861095428466797,0.4691906273365021,0.23282839357852936,0.33157986402511597,0.2952407896518707,0.1905742734670639,0.31091248989105225
the,0.6521818041801453,0.21715226769447327,0.5823672413825989,0.3203009068965912,0.559237003326416,0.2389037162065506,0.29064592719078064,0.22068053483963013
south,0.24635352194309235,0.2906067371368408,0.27680471539497375,0.15884508192539215,0.27340400218963623,0.17408566176891327,0.20582665503025055,0.12336621433496475
coast,0.2259337306022644,0.26736605167388916,0.25204822421073914,0.1558832824230194,0.2385297566652298,0.17780742049217224,0.16605792939662933,0.15869849920272827
metro,0.17972806096076965,0.23985719680786133,0.14491155743598938,0.15098123252391815,0.21018795669078827,0.27676358819007874,0.1556408405303955,0.15922676026821136
and,0.506277859210968,0.2045455276966095,0.3859752118587494,0.294929563999176,0.3841775357723236,0.33353009819984436,0.28670641779899597,0.20544172823429108
newport,0.18606466054916382,0.35149168968200684,0.21399910748004913,0.16063234210014343,0.16149404644966125,0.1734425574541092,0.2426675409078598,0.10541155934333801
center,0.22164148092269897,0.19531235098838806,0.24782158434391022,0.18873722851276398,0.2311801165342331,0.1883840411901474,0.9999999403953552,0.12538520991802216
districts,0.22943581640720367,0.2710418403148651,0.20545536279678345,0.15228784084320068,0.22014181315898895,0.138702392578125,0.1575871855020523,0.10677915066480637
;,-0.01244901679456234,0.10849420726299286,0.05324986204504967,0.0003511642280500382,0.056731753051280975,0.04670749977231026,0.09528230875730515,0.10349778085947037
as,0.41006597876548767,0.22765286266803741,0.43216490745544434,0.22725805640220642,0.31874480843544006,0.22870652377605438,0.20052886009216309,0.27043893933296204
well,0.42522135376930237,0.16351069509983063,0.33406564593315125,0.33061379194259644,0.3455803096294403,0.21569934487342834,0.21918025612831116,0.24815571308135986
as,0.41006597876548767,0.22765286266803741,0.43216490745544434,0.22725805640220642,0.31874480843544006,0.22870652377605438,0.20052886009216309,0.27043893933296204
the,0.6521818041801453,0.21715226769447327,0.5823672413825989,0.3203009068965912,0.559237003326416,0.2389037162065506,0.29064592719078064,0.22068053483963013
irvine,0.1850646585226059,0.27283623814582825,0.19597867131233215,0.1782931387424469,0.2311321198940277,0.24999652802944183,0.22162628173828125,0.12018196284770966
business,0.2152334302663803,0.22033794224262238,0.19332653284072876,0.2695958912372589,0.18736055493354797,1.0,0.1883840411901474,0.1545659303665161
centers,0.3235352635383606,0.16677702963352203,0.2814328074455261,0.302401602268219,0.23203183710575104,0.28631576895713806,0.6786694526672363,0.16634750366210938
of,0.5011631846427917,0.2393190860748291,0.4854315221309662,0.27299609780311584,0.48690423369407654,0.23985227942466736,0.24526838958263397,0.1826142966747284
the,0.6521818041801453,0.21715226769447327,0.5823672413825989,0.3203009068965912,0.559237003326416,0.2389037162065506,0.29064592719078064,0.22068053483963013
irvine,0.1850646585226059,0.27283623814582825,0.19597867131233215,0.1782931387424469,0.2311321198940277,0.24999652802944183,0.22162628173828125,0.12018196284770966
spectrum,0.30966007709503174,0.09642343968153,0.22428879141807556,0.2854181230068207,0.20549675822257996,0.13061334192752838,0.16394616663455963,0.13036777079105377
",",0.3658004403114319,0.26861095428466797,0.4691906273365021,0.23282839357852936,0.33157986402511597,0.2952407896518707,0.1905742734670639,0.31091248989105225
west,0.22164945304393768,0.24479138851165771,0.25201764702796936,0.2190839946269989,0.24631395936012268,0.1469498872756958,0.22273516654968262,0.12088293582201004
irvine,0.1850646585226059,0.27283623814582825,0.19597867131233215,0.1782931387424469,0.2311321198940277,0.24999652802944183,0.22162628173828125,0.12018196284770966
",",0.3658004403114319,0.26861095428466797,0.4691906273365021,0.23282839357852936,0.33157986402511597,0.2952407896518707,0.1905742734670639,0.31091248989105225
and,0.506277859210968,0.2045455276966095,0.3859752118587494,0.294929563999176,0.3841775357723236,0.33353009819984436,0.28670641779899597,0.20544172823429108
