,what,is,the,second,busiest,container,port,in,the,united,states,?
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.1761758178472519,0.28491127490997314,0.06005307286977768,0.22080960869789124,0.3190481662750244,0.3282862603664398,0.2923206686973572,0.29004350304603577,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.17182625830173492,0.20019985735416412,0.09287088364362717,0.16398273408412933,0.2772824168205261,0.2750805914402008,0.33969607949256897,0.3858724534511566,0.1409905105829239
is,0.28837618231773376,1.0,0.5823672413825989,0.3161451518535614,0.2508534789085388,0.33395642042160034,0.26270607113838196,0.5394441485404968,0.5823672413825989,0.22408509254455566,0.21939043700695038,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.3509063720703125,0.22297821938991547,0.22161121666431427,0.2318006455898285,0.5073733329772949,0.6021018624305725,0.30441129207611084,0.2941293716430664,0.21848613023757935
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.18149694800376892,0.20688223838806152,0.12006179988384247,0.23572973906993866,0.30467477440834045,0.28978195786476135,0.3023967146873474,0.2323179841041565,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3098561465740204,0.19131967425346375,0.25732019543647766,0.23759682476520538,0.45010748505592346,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.30110985040664673,0.23658598959445953,0.2648184895515442,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
port,0.1327695995569229,0.26270607113838196,0.2648184895515442,0.17665690183639526,0.3870590329170227,0.3223116397857666,1.0,0.20519298315048218,0.2648184895515442,0.14606931805610657,0.16012853384017944,0.06519711017608643
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.28865480422973633,0.24821609258651733,0.19644224643707275,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
los,0.12322991341352463,0.17008589208126068,0.2502395510673523,0.161736398935318,0.23854897916316986,0.09413783252239227,0.19411706924438477,0.2795681953430176,0.2502395510673523,0.2349139302968979,0.2500098645687103,0.15495611727237701
angeles,0.10702074319124222,0.1558004766702652,0.24588194489479065,0.16591382026672363,0.24279502034187317,0.10533461719751358,0.18611854314804077,0.23927895724773407,0.24588194489479065,0.253493070602417,0.27101314067840576,0.16139166057109833
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.26035505533218384,0.24774639308452606,0.26668232679367065,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.30110985040664673,0.23658598959445953,0.2648184895515442,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.2878473997116089,0.33785855770111084,0.1311562955379486,0.14606931805610657,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.24110113084316254,0.2944924831390381,0.14342623949050903,0.16012853384017944,0.3977442979812622,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.2811473309993744,0.21426357328891754,0.17745530605316162,0.1647387146949768,0.4158826768398285,0.474788099527359,0.23774786293506622,0.21096393465995789,0.330942302942276
busiest,0.1578541398048401,0.2508534789085388,0.30110985040664673,0.3234676420688629,1.0000001192092896,0.2493770569562912,0.3870590329170227,0.29075419902801514,0.30110985040664673,0.33785855770111084,0.2944924831390381,0.15537287294864655
commercial,0.12070754915475845,0.2402932196855545,0.23051398992538452,0.1627141386270523,0.3346411883831024,0.23007719218730927,0.28510162234306335,0.2615188956260681,0.23051398992538452,0.2950090765953064,0.29620620608329773,0.04216946288943291
port,0.1327695995569229,0.26270607113838196,0.2648184895515442,0.17665690183639526,0.3870590329170227,0.3223116397857666,1.0,0.20519298315048218,0.2648184895515442,0.14606931805610657,0.16012853384017944,0.06519711017608643
