,what,did,virgin,media,claim,bskyb,did,that,resulted,virgin,not,carrying,the,channels,anymore,?
virgin,0.1343110352754593,0.14743593335151672,1.0000001192092896,0.2961137890815735,0.1595536470413208,0.2653351426124573,0.14743593335151672,0.20092211663722992,0.10842577368021011,1.0000001192092896,0.1984056979417801,0.19180479645729065,0.21732187271118164,0.18653205037117004,0.16706067323684692,0.11987020075321198
media,0.18292108178138733,0.1758316457271576,0.2961137890815735,0.9999999403953552,0.23219884932041168,0.1461402028799057,0.1758316457271576,0.2675379812717438,0.13973166048526764,0.2961137890815735,0.21236996352672577,0.09457303583621979,0.19221965968608856,0.27351927757263184,0.14011985063552856,0.1571006178855896
claimed,0.2667301297187805,0.34913167357444763,0.14999596774578094,0.21517318487167358,0.686729907989502,0.08715818077325821,0.34913167357444763,0.38060468435287476,0.32667019963264465,0.14999596774578094,0.31597745418548584,0.14843234419822693,0.2761930227279663,0.152504563331604,0.1543944776058197,0.2083493024110794
that,0.6297725439071655,0.47518548369407654,0.20092211663722992,0.2675379812717438,0.39801377058029175,0.13467830419540405,0.47518548369407654,1.0,0.22833308577537537,0.20092211663722992,0.6600887179374695,0.22403770685195923,0.5473989248275757,0.23954801261425018,0.5001255869865417,0.32716336846351624
bskyb,0.17457032203674316,0.15346096456050873,0.2653351426124573,0.1461402028799057,0.10475696623325348,1.0000001192092896,0.15346096456050873,0.13467830419540405,0.1148633062839508,0.2653351426124573,0.1742992103099823,0.10514337569475174,0.20915858447551727,0.1449941098690033,0.20573465526103973,0.2979319989681244
had,0.23849567770957947,0.540525496006012,0.20059150457382202,0.18404661118984222,0.23739901185035706,0.14911578595638275,0.540525496006012,0.4407361149787903,0.4177304208278656,0.20059150457382202,0.3714721202850342,0.2524779736995697,0.3875846862792969,0.13039341568946838,0.26697486639022827,0.20728366076946259
substantially,0.3593144714832306,0.31117701530456543,0.15342724323272705,0.19707486033439636,0.30514705181121826,0.10800237953662872,0.31117701530456543,0.4432713985443115,0.2876479923725128,0.15342724323272705,0.43620023131370544,0.20055800676345825,0.3244253695011139,0.22402141988277435,0.3480614721775055,0.2573455274105072
increased,0.1599731743335724,0.20765343308448792,0.08511997759342194,0.12724338471889496,0.1781083643436432,0.12646733224391937,0.20765343308448792,0.28310200572013855,0.46865326166152954,0.08511997759342194,0.23336032032966614,0.23141898214817047,0.3188653886318207,0.21674928069114685,0.17988762259483337,0.09587585180997849
the,0.42745697498321533,0.34736719727516174,0.21732187271118164,0.19221965968608856,0.25873351097106934,0.20915858447551727,0.34736719727516174,0.5473989248275757,0.2975946068763733,0.21732187271118164,0.4310511648654938,0.24629071354866028,1.0,0.27277594804763794,0.3136843740940094,0.22068053483963013
asking,0.48389121890068054,0.37895697355270386,0.11818225681781769,0.19717441499233246,0.2838136851787567,0.20450104773044586,0.37895697355270386,0.43713614344596863,0.23372627794742584,0.11818225681781769,0.38331153988838196,0.22884158790111542,0.2650352418422699,0.18934360146522522,0.36121103167533875,0.39706939458847046
