,what,kind,of,company,is,sky,uk,limited,?
sky,0.16493305563926697,0.11204065382480621,0.16284865140914917,0.16273526847362518,0.21240133047103882,1.0,0.18511655926704407,0.12656615674495697,0.11270341277122498
uk,0.17163191735744476,0.15256701409816742,0.21513383090496063,0.23099765181541443,0.17650434374809265,0.18511655926704407,1.0,0.27878111600875854,0.20222434401512146
limited,0.23110276460647583,0.14488515257835388,0.3373238146305084,0.3305308222770691,0.17759747803211212,0.12656615674495697,0.27878111600875854,1.0,0.09444807469844818
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.13179703056812286,0.35393038392066956,0.17148615419864655,0.19727066159248352,0.19972234964370728,0.40561532974243164
formerly,0.1585959643125534,0.11944843828678131,0.27187931537628174,0.2513750195503235,0.3130042850971222,0.1588265597820282,0.18467864394187927,0.198091521859169,0.0843876302242279
british,0.19255435466766357,0.15647993981838226,0.23701532185077667,0.23512013256549835,0.19484983384609222,0.07946794480085373,0.38841667771339417,0.21045516431331635,0.09711728990077972
sky,0.16493305563926697,0.11204065382480621,0.16284865140914917,0.16273526847362518,0.21240133047103882,1.0,0.18511655926704407,0.12656615674495697,0.11270341277122498
broadcasting,0.18499015271663666,0.14935623109340668,0.25924646854400635,0.3277682960033417,0.1978546530008316,0.2602665424346924,0.25648200511932373,0.2813758850097656,0.10870421677827835
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.16509704291820526,0.41870999336242676,0.17928142845630646,0.2085151970386505,0.26471447944641113,0.32389625906944275
bskyb,0.17457032203674316,0.15316884219646454,0.16413870453834534,0.18916723132133484,0.20114660263061523,0.2902737259864807,0.21248479187488556,0.07633252441883087,0.2979319989681244
),0.26259949803352356,0.17504733800888062,0.3680361211299896,0.14284300804138184,0.37732169032096863,0.1731560230255127,0.1962110996246338,0.17363740503787994,0.42300865054130554
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.18005689978599548,1.0,0.21240133047103882,0.17650434374809265,0.17759747803211212,0.22961433231830597
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.22037413716316223,0.658733606338501,0.20541532337665558,0.19665123522281647,0.25281569361686707,0.23916715383529663
british,0.19255435466766357,0.15647993981838226,0.23701532185077667,0.23512013256549835,0.19484983384609222,0.07946794480085373,0.38841667771339417,0.21045516431331635,0.09711728990077972
telecommunications,0.20436683297157288,0.1607922464609146,0.24268753826618195,0.3862262964248657,0.19845318794250488,0.2620266377925873,0.20969437062740326,0.30373549461364746,0.10905920714139938
company,0.2333769053220749,0.16022707521915436,0.20467796921730042,1.0,0.18005689978599548,0.16273526847362518,0.23099765181541443,0.3305308222770691,0.12195809185504913
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.25990763306617737,0.4457404911518097,0.20498745143413544,0.1906050443649292,0.3224162459373474,0.25814583897590637
serves,0.18323971331119537,0.11372707784175873,0.3168865740299225,0.18947359919548035,0.3915807008743286,0.037657588720321655,0.10553517937660217,0.19673007726669312,0.11498242616653442
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.26591673493385315,0.5823672413825989,0.26521286368370056,0.2143084555864334,0.2757521867752075,0.22068053483963013
united,0.20036718249320984,0.14439837634563446,0.3187655806541443,0.21549668908119202,0.22408509254455566,0.19968673586845398,0.40107643604278564,0.24431981146335602,0.17266890406608582
kingdom,0.17826133966445923,0.09043626487255096,0.3218171298503876,0.15908515453338623,0.1914215236902237,0.15686266124248505,0.5142970681190491,0.21485832333564758,0.12927088141441345
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.266353577375412,0.4569662809371948,0.19117935001850128,0.24075214564800262,0.23431839048862457,0.4130953550338745
