,how,many,customers,does,sky,uk,limited,have,as,a,pay-tv,broadcaster,as,of,2015,?
it,0.36714982986450195,0.39615920186042786,0.2198726236820221,0.34188351035118103,0.1916406899690628,0.21589650213718414,0.24430862069129944,0.40974161028862,0.4461488723754883,0.5452592968940735,0.19804540276527405,0.1646067202091217,0.4461488723754883,0.38761502504348755,0.01952941343188286,0.25732165575027466
is,0.22544461488723755,0.2649032473564148,0.20991463959217072,0.4403602182865143,0.21240133047103882,0.17650434374809265,0.17759747803211212,0.3613572418689728,0.43216490745544434,0.658733606338501,0.19609713554382324,0.14528463780879974,0.43216490745544434,0.4854315221309662,0.04366588220000267,0.22961433231830597
the,0.33890387415885925,0.4335206151008606,0.18648205697536469,0.35928019881248474,0.26521286368370056,0.2143084555864334,0.2757521867752075,0.40389683842658997,0.48381632566452026,0.5829201340675354,0.20465052127838135,0.1970033198595047,0.48381632566452026,0.733189046382904,0.1466771513223648,0.22068053483963013
uk,0.14388126134872437,0.18414634466171265,0.2256193310022354,0.1707082986831665,0.18511655926704407,1.0,0.27878111600875854,0.1696256846189499,0.1740327775478363,0.19665123522281647,0.210712268948555,0.2046804279088974,0.1740327775478363,0.21513383090496063,0.033365990966558456,0.20222434401512146
's,-0.026164190843701363,0.01698932610452175,0.056327514350414276,-0.02895052544772625,0.054967135190963745,-0.0013451746199280024,0.009881002828478813,-0.02807004563510418,-0.05775856226682663,0.04866964742541313,0.10972528904676437,0.09949749708175659,-0.05775856226682663,-0.03817026689648628,0.023902352899312973,-0.023395681753754616
largest,0.08743762224912643,0.23644231259822845,0.15229962766170502,0.18477381765842438,0.13924908638000488,0.21688705682754517,0.1856064349412918,0.18489506840705872,0.1819920688867569,0.24042341113090515,0.11796440184116364,0.12197571992874146,0.1819920688867569,0.36650770902633667,0.16791383922100067,0.12401245534420013
pay-tv,0.16787904500961304,0.12447457760572433,0.42152053117752075,0.18563081324100494,0.16671916842460632,0.210712268948555,0.2136918157339096,0.1692114919424057,0.20680204033851624,0.24074974656105042,0.9999999403953552,0.39805981516838074,0.20680204033851624,0.18726712465286255,0.04243512451648712,0.2297043353319168
broadcaster,0.14436306059360504,0.1343635767698288,0.16448156535625458,0.15676511824131012,0.1955728381872177,0.2046804279088974,0.17000921070575714,0.08338258415460587,0.22381876409053802,0.18827944993972778,0.39805981516838074,1.0000001192092896,0.22381876409053802,0.15151214599609375,0.016701823100447655,0.13187550008296967
with,0.3525622487068176,0.35744401812553406,0.23644988238811493,0.26186925172805786,0.20754678547382355,0.170000359416008,0.2614453434944153,0.48046383261680603,0.40387406945228577,0.3783375024795532,0.2193271964788437,0.16102023422718048,0.40387406945228577,0.41827285289764404,-0.05818283185362816,0.2433311939239502
11,0.04696422442793846,0.13612139225006104,0.09149371832609177,-0.004570623394101858,0.050847627222537994,0.012332813814282417,0.06963324546813965,0.051798705011606216,0.057463642209768295,0.02427549473941326,-0.034020040184259415,-0.011953357607126236,0.057463642209768295,-0.022359032183885574,-0.14060333371162415,-0.04295448586344719
million,0.21114659309387207,0.3520967364311218,0.25608029961586,0.10680846869945526,0.11420881003141403,0.19965504109859467,0.1647063046693802,0.28469452261924744,0.19242988526821136,0.1811940222978592,0.2780817151069641,0.1735784411430359,0.19242988526821136,0.21686489880084991,0.0888330489397049,0.23092924058437347
customers,0.2384674847126007,0.33455508947372437,1.0,0.2354547083377838,0.15840087831020355,0.2256193310022354,0.2879544198513031,0.3221038579940796,0.20203621685504913,0.2641109228134155,0.42152053117752075,0.16448156535625458,0.20203621685504913,0.1474810689687729,-0.1946084350347519,0.203953355550766
as,0.33782753348350525,0.4070141911506653,0.20203621685504913,0.31202155351638794,0.18261636793613434,0.1740327775478363,0.2256983369588852,0.37788212299346924,1.0,0.39550232887268066,0.20680204033851624,0.22381876409053802,1.0,0.3886612355709076,0.04859122261404991,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.1474810689687729,0.3119818866252899,0.16284865140914917,0.21513383090496063,0.3373238146305084,0.3802283704280853,0.3886612355709076,0.5052502155303955,0.18726712465286255,0.15151214599609375,0.3886612355709076,1.0,0.21138253808021545,0.1826142966747284
2015,-0.161673903465271,-0.05971702188253403,-0.1946084350347519,-0.08089075982570648,0.10472188144922256,0.033365990966558456,-0.029879357665777206,-0.09074253588914871,0.04859122261404991,-0.008371892385184765,0.04243512451648712,0.016701823100447655,0.04859122261404991,0.21138253808021545,1.0,-0.029954981058835983
.,0.3287222981452942,0.3974229395389557,0.1883411705493927,0.3022993505001068,0.19117935001850128,0.24075214564800262,0.23431839048862457,0.41614407300949097,0.515582263469696,0.50484299659729,0.2349836230278015,0.2282668650150299,0.515582263469696,0.5352458953857422,0.06607602536678314,0.4130953550338745
