,what,does,a,receiver,have,to,be,equipped,with,to,view,encrypted,content,?
to,0.455847829580307,0.4391997456550598,0.45503583550453186,0.25238820910453796,0.4544740617275238,1.0,0.4972836375236511,0.24626833200454712,0.4239959120750427,1.0,0.229315847158432,0.2361755073070526,0.2765587866306305,0.29463258385658264
view,0.2818201184272766,0.16403715312480927,0.22168859839439392,0.2172541320323944,0.18089832365512848,0.229315847158432,0.23513229191303253,0.2143143117427826,0.1253322958946228,0.229315847158432,1.0,0.19879840314388275,0.24675928056240082,0.17672975361347198
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.21850530803203583,0.40389683842658997,0.535392165184021,0.4248143136501312,0.20846036076545715,0.4223487675189972,0.535392165184021,0.25610461831092834,0.2063685804605484,0.21174471080303192,0.22068053483963013
encrypted,0.20642973482608795,0.2588837146759033,0.22327043116092682,0.37346726655960083,0.21011415123939514,0.2361755073070526,0.2826683521270752,0.33804935216903687,0.14788100123405457,0.2361755073070526,0.19879840314388275,0.9999999403953552,0.2476208359003067,0.20868515968322754
content,0.3614070415496826,0.33242130279541016,0.20795699954032898,0.16247066855430603,0.3441393971443176,0.2765587866306305,0.4012247323989868,0.21720875799655914,0.28209611773490906,0.2765587866306305,0.24675928056240082,0.2476208359003067,1.0,0.37093979120254517
a,0.3320399522781372,0.38201746344566345,1.0,0.2591530680656433,0.338716596364975,0.45503583550453186,0.39883795380592346,0.1901039332151413,0.3783375024795532,0.45503583550453186,0.22168859839439392,0.22327043116092682,0.20795699954032898,0.23916715383529663
videoguard,0.24629995226860046,0.16178402304649353,0.30326715111732483,0.2389671355485916,0.268067330121994,0.2465202659368515,0.2764524817466736,0.2838630676269531,0.30295994877815247,0.2465202659368515,0.23200267553329468,0.3071558177471161,0.2908819317817688,0.2620079815387726
uk,0.17163191735744476,0.1707082986831665,0.19665123522281647,0.15772661566734314,0.1696256846189499,0.18409153819084167,0.17617523670196533,0.15301814675331116,0.170000359416008,0.18409153819084167,0.06113541126251221,0.10743480175733566,0.21640202403068542,0.20222434401512146
equipped,0.21546252071857452,0.21095693111419678,0.1901039332151413,0.22820426523685455,0.2788101136684418,0.24626833200454712,0.2872281074523926,1.0000001192092896,0.22758172452449799,0.24626833200454712,0.2143143117427826,0.33804935216903687,0.21720875799655914,0.1901935189962387
receiver,0.17021551728248596,0.25325995683670044,0.2591530680656433,1.0000001192092896,0.1918957382440567,0.25238820910453796,0.17867110669612885,0.22820426523685455,0.19242490828037262,0.25238820910453796,0.2172541320323944,0.37346726655960083,0.16247066855430603,0.11587938666343689
(,0.2411840260028839,0.2728188931941986,0.3206180930137634,0.27558115124702454,0.23072676360607147,0.30882009863853455,0.2349044382572174,0.11413126438856125,0.29503780603408813,0.30882009863853455,0.17145514488220215,0.15142929553985596,0.2521955072879791,0.40561532974243164
all,0.41981086134910583,0.31124600768089294,0.2696802616119385,0.16068542003631592,0.5559456944465637,0.42520734667778015,0.42151448130607605,0.24697692692279816,0.3876307010650635,0.42520734667778015,0.1497291922569275,0.17267394065856934,0.3221548795700073,0.29575422406196594
of,0.33290785551071167,0.3119818866252899,0.5052502155303955,0.13342490792274475,0.3802283704280853,0.41548454761505127,0.33904364705085754,0.17041373252868652,0.41827285289764404,0.41548454761505127,0.21446028351783752,0.16474205255508423,0.18281257152557373,0.1826142966747284
which,0.5261979103088379,0.39111801981925964,0.56894451379776,0.24653580784797668,0.49652695655822754,0.5345056653022766,0.476310670375824,0.23212216794490814,0.46403205394744873,0.5345056653022766,0.24135445058345795,0.29249951243400574,0.35329511761665344,0.25814583897590637
are,0.29724663496017456,0.3126322329044342,0.265255331993103,0.18250662088394165,0.6577680706977844,0.3504326641559601,0.5556803941726685,0.21907202899456024,0.38996943831443787,0.3504326641559601,0.1930849850177765,0.19641628861427307,0.3049631118774414,0.24591213464736938
dedicated,0.1580183058977127,0.1544719636440277,0.2610207796096802,0.09242597222328186,0.1866295486688614,0.2375556081533432,0.15791428089141846,0.23307611048221588,0.2172909677028656,0.2375556081533432,0.17943556606769562,0.1614222377538681,0.18079400062561035,0.12950462102890015
to,0.455847829580307,0.4391997456550598,0.45503583550453186,0.25238820910453796,0.4544740617275238,1.0,0.4972836375236511,0.24626833200454712,0.4239959120750427,1.0,0.229315847158432,0.2361755073070526,0.2765587866306305,0.29463258385658264
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.21850530803203583,0.40389683842658997,0.535392165184021,0.4248143136501312,0.20846036076545715,0.4223487675189972,0.535392165184021,0.25610461831092834,0.2063685804605484,0.21174471080303192,0.22068053483963013
sky,0.16493305563926697,0.19670668244361877,0.20541532337665558,0.19120055437088013,0.15089604258537292,0.17630793154239655,0.17031224071979523,0.11910753697156906,0.20754678547382355,0.17630793154239655,0.19507230818271637,0.08272712677717209,0.12820184230804443,0.11270341277122498
service,0.16857224702835083,0.14214417338371277,0.23104366660118103,0.20563995838165283,0.14890135824680328,0.24411341547966003,0.19392052292823792,0.2814936935901642,0.20442402362823486,0.24411341547966003,0.13648554682731628,0.2994351387023926,0.18268455564975739,0.1676298975944519
",",0.3087472915649414,0.28617382049560547,0.427140474319458,0.25716352462768555,0.3541618287563324,0.44245919585227966,0.39254459738731384,0.1517263501882553,0.4120737314224243,0.44245919585227966,0.216712087392807,0.14657457172870636,0.2644120454788208,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.3739250600337982,0.23549625277519226,0.4711785912513733,0.48971283435821533,0.41766801476478577,0.23003575205802917,0.5477725267410278,0.48971283435821533,0.19056165218353271,0.1586218774318695,0.31410330533981323,0.20544172823429108
