,who,was,given,the,highlights,of,most,of,the,matches,?
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,1.0,0.22939816117286682,0.733189046382904,0.47635307908058167,0.733189046382904,1.0,0.23195119202136993,0.22068053483963013
bbc,0.2086644321680069,0.19087861478328705,0.21930493414402008,0.2735401690006256,0.1387978494167328,0.1797877550125122,0.12601472437381744,0.1797877550125122,0.2735401690006256,0.2370050549507141,0.20556949079036713
was,0.3318818509578705,1.0000001192092896,0.26878538727760315,0.48711544275283813,0.10087542235851288,0.4069072902202606,0.29933857917785645,0.4069072902202606,0.48711544275283813,0.1769881546497345,0.18412111699581146
given,0.3104628920555115,0.26878538727760315,1.0,0.37508252263069153,0.16008038818836212,0.39388060569763184,0.2519000172615051,0.39388060569763184,0.37508252263069153,0.20248587429523468,0.2570464313030243
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,1.0,0.22939816117286682,0.733189046382904,0.47635307908058167,0.733189046382904,1.0,0.23195119202136993,0.22068053483963013
highlights,0.058527443557977676,0.10087542235851288,0.16008038818836212,0.22939816117286682,0.9999998807907104,0.21302594244480133,0.2794460952281952,0.21302594244480133,0.22939816117286682,0.24635018408298492,0.17713455855846405
of,0.2827862501144409,0.4069072902202606,0.39388060569763184,0.733189046382904,0.21302594244480133,1.0,0.4178851246833801,1.0,0.733189046382904,0.20365214347839355,0.1826142966747284
most,0.35393568873405457,0.29933857917785645,0.2519000172615051,0.47635307908058167,0.2794460952281952,0.4178851246833801,1.0,0.4178851246833801,0.47635307908058167,0.20629455149173737,0.2107497900724411
of,0.2827862501144409,0.4069072902202606,0.39388060569763184,0.733189046382904,0.21302594244480133,1.0,0.4178851246833801,1.0,0.733189046382904,0.20365214347839355,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,1.0,0.22939816117286682,0.733189046382904,0.47635307908058167,0.733189046382904,1.0,0.23195119202136993,0.22068053483963013
matches,0.18996872007846832,0.1769881546497345,0.20248587429523468,0.23195119202136993,0.24635018408298492,0.20365214347839355,0.20629455149173737,0.20365214347839355,0.23195119202136993,1.0,0.15025924146175385
",",0.3365725874900818,0.45456063747406006,0.2843315005302429,0.4933079481124878,0.2509603798389435,0.4946078956127167,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.2568071782588959,0.31091248989105225
while,0.4068111777305603,0.3253832161426544,0.27859386801719666,0.39804592728614807,0.19513007998466492,0.3366928696632385,0.3330796957015991,0.3366928696632385,0.39804592728614807,0.22503429651260376,0.21076419949531555
bskyb,0.14450614154338837,0.21192802488803864,0.1293053925037384,0.20915858447551727,0.23823536932468414,0.16413870453834534,0.15500347316265106,0.16413870453834534,0.20915858447551727,0.1902940571308136,0.2979319989681244
paying,0.3237453103065491,0.2340831756591797,0.27437207102775574,0.21152552962303162,0.09731797128915787,0.21543680131435394,0.2227989137172699,0.21543680131435394,0.21152552962303162,0.16457499563694,0.2138732671737671
£304m,0.13940563797950745,0.09109776467084885,-0.0005649718223139644,0.05723319202661514,-0.08597993105649948,0.11197210848331451,0.10945712774991989,0.11197210848331451,0.05723319202661514,-0.06130482256412506,0.022732464596629143
for,0.37110671401023865,0.3863949179649353,0.44294488430023193,0.4739971458911896,0.2759867310523987,0.4185989499092102,0.3906237483024597,0.4185989499092102,0.4739971458911896,0.29099172353744507,0.264628142118454
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,1.0,0.22939816117286682,0.733189046382904,0.47635307908058167,0.733189046382904,1.0,0.23195119202136993,0.22068053483963013
premier,0.23959188163280487,0.205341175198555,0.12529779970645905,0.22658593952655792,0.13352257013320923,0.17136150598526,0.1814558357000351,0.17136150598526,0.22658593952655792,0.2343161702156067,0.1292608082294464
