,what,party,rules,in,melbourne,'s,inner,regions,?
the,0.42745697498321533,0.23779736459255219,0.27022838592529297,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.2790820598602295,0.36158451437950134,0.22068053483963013
nationals,0.20886707305908203,0.3138638138771057,0.2343059927225113,0.2806619703769684,0.2097494751214981,-0.041621286422014236,0.1078512966632843,0.2649863660335541,0.20699146389961243
are,0.29724663496017456,0.1489485502243042,0.29585015773773193,0.3841303884983063,0.17143335938453674,-0.008927806280553341,0.23264755308628082,0.3568890690803528,0.24591213464736938
strongest,0.20878702402114868,0.25214847922325134,0.11597492545843124,0.2373267114162445,0.13945667445659637,0.047782525420188904,0.22771167755126953,0.19026656448841095,0.14222878217697144
in,0.30808621644973755,0.20446790754795074,0.2252369076013565,1.0,0.21059004962444305,-0.037580832839012146,0.22538623213768005,0.3232547640800476,0.20430970191955566
victoria,0.1194850504398346,0.17201867699623108,0.12386265397071838,0.20823122560977936,0.5566045641899109,0.06206126511096954,0.19715198874473572,0.13794615864753723,0.12246892601251602
's,0.02692362666130066,0.02531869150698185,-0.025976654142141342,-0.037580832839012146,0.09813514351844788,0.9999999403953552,-0.05406010150909424,-0.04780859872698784,-0.023395681753754616
north,0.18673177063465118,0.21213632822036743,0.05964040383696556,0.39050599932670593,0.25352028012275696,0.06196961551904678,0.2307952344417572,0.36433061957359314,0.11829731613397598
western,0.2454150915145874,0.23377612233161926,0.1457071751356125,0.35160520672798157,0.2651016116142273,0.06932425498962402,0.21681198477745056,0.3186095058917999,0.17439141869544983
and,0.31309178471565247,0.20650289952754974,0.24352850019931793,0.4954058527946472,0.22872792184352875,0.06895173341035843,0.27754151821136475,0.30318012833595276,0.20544172823429108
eastern,0.2263268083333969,0.21730193495750427,0.10934161394834518,0.3306356370449066,0.18751688301563263,0.02632785774767399,0.23528124392032623,0.35202038288116455,0.20060817897319794
rural,0.19569969177246094,0.20728391408920288,0.11748932301998138,0.31192100048065186,0.17288990318775177,0.08167918026447296,0.26336097717285156,0.3213440179824829,0.11320571601390839
regional,0.1532609760761261,0.1566726416349411,0.14603032171726227,0.2730329930782318,0.18386906385421753,-0.06399104744195938,0.18309864401817322,0.4982985854148865,0.09246466308832169
areas,0.23739881813526154,0.17073777318000793,0.17855697870254517,0.33029478788375854,0.15642160177230835,0.03540606424212456,0.30171331763267517,0.5606828927993774,0.1273590475320816
.,0.3567904531955719,0.23341989517211914,0.27219346165657043,0.5591574311256409,0.22616931796073914,-0.003708066651597619,0.22710131108760834,0.25618889927864075,0.4130953550338745
,what,party,rules,in,melbourne,'s,inner,regions,?
the,0.42745697498321533,0.23779736459255219,0.27022838592529297,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.2790820598602295,0.36158451437950134,0.22068053483963013
centre-left,0.25909358263015747,0.28173550963401794,0.1468999683856964,0.26826927065849304,0.26983195543289185,-0.009773187339305878,0.3039390742778778,0.36016297340393066,0.17718930542469025
australian,0.13873113691806793,0.17602510750293732,0.29156190156936646,0.1796053647994995,0.5590357780456543,0.06212134659290314,0.14056316018104553,0.11595364660024643,0.10848008096218109
labor,0.1943984031677246,0.4551692605018616,0.22196003794670105,0.1950610727071762,0.2691713869571686,0.11055656522512436,0.12494931370019913,0.1007985845208168,0.19386747479438782
party,0.2398013323545456,0.9999999403953552,0.0912213921546936,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.08055204898118973,0.18522629141807556,0.19031576812267303
(,0.2411840260028839,0.1743791401386261,0.13285702466964722,0.3087427020072937,0.12324028462171555,0.0012731997994706035,0.13971756398677826,0.18475522100925446,0.40561532974243164
alp,0.11326020956039429,0.4457589089870453,0.17672957479953766,0.15557928383350372,0.28240102529525757,0.011002324521541595,0.07679075747728348,0.13422076404094696,0.08871067315340042
),0.26259949803352356,0.2047169804573059,0.15725542604923248,0.3326910734176636,0.1379893720149994,0.021107977256178856,0.16642102599143982,0.16148073971271515,0.42300865054130554
",",0.3087472915649414,0.21963930130004883,0.23899291455745697,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.20530863106250763,0.26776278018951416,0.31091248989105225
the,0.42745697498321533,0.23779736459255219,0.27022838592529297,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.2790820598602295,0.36158451437950134,0.22068053483963013
centre-right,0.33276161551475525,0.2659144997596741,0.18890994787216187,0.27665138244628906,0.296825647354126,-0.02044862136244774,0.29398754239082336,0.2700227200984955,0.2603051960468292
liberal,0.20277564227581024,0.5935624241828918,0.16228727996349335,0.1513776332139969,0.21246570348739624,-0.03906174749135971,0.1691882163286209,0.13050411641597748,0.13139645755290985
party,0.2398013323545456,0.9999999403953552,0.0912213921546936,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.08055204898118973,0.18522629141807556,0.19031576812267303
of,0.33290785551071167,0.23662418127059937,0.18197891116142273,0.5696388483047485,0.1963735967874527,-0.03817026689648628,0.2847692370414734,0.3694140613079071,0.1826142966747284
australia,0.1913539320230484,0.25781694054603577,0.22171352803707123,0.2697675824165344,0.6183432340621948,0.040361400693655014,0.16330845654010773,0.24811206758022308,0.15702682733535767
",",0.3087472915649414,0.21963930130004883,0.23899291455745697,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.20530863106250763,0.26776278018951416,0.31091248989105225
the,0.42745697498321533,0.23779736459255219,0.27022838592529297,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.2790820598602295,0.36158451437950134,0.22068053483963013
rural-based,0.2925647795200348,0.2442495971918106,0.24248148500919342,0.3824307918548584,0.27161532640457153,0.11010856181383133,0.23804016411304474,0.3548462390899658,0.2439529448747635
national,0.16882304847240448,0.2879488468170166,0.15476283431053162,0.28915393352508545,0.18997915089130402,-0.05226261913776398,0.13924938440322876,0.2279759794473648,0.15643028914928436
party,0.2398013323545456,0.9999999403953552,0.0912213921546936,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.08055204898118973,0.18522629141807556,0.19031576812267303
of,0.33290785551071167,0.23662418127059937,0.18197891116142273,0.5696388483047485,0.1963735967874527,-0.03817026689648628,0.2847692370414734,0.3694140613079071,0.1826142966747284
australia,0.1913539320230484,0.25781694054603577,0.22171352803707123,0.2697675824165344,0.6183432340621948,0.040361400693655014,0.16330845654010773,0.24811206758022308,0.15702682733535767
",",0.3087472915649414,0.21963930130004883,0.23899291455745697,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.20530863106250763,0.26776278018951416,0.31091248989105225
and,0.31309178471565247,0.20650289952754974,0.24352850019931793,0.4954058527946472,0.22872792184352875,0.06895173341035843,0.27754151821136475,0.30318012833595276,0.20544172823429108
the,0.42745697498321533,0.23779736459255219,0.27022838592529297,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.2790820598602295,0.36158451437950134,0.22068053483963013
environmentalist,0.10888823121786118,0.3387085497379303,0.07277071475982666,0.20270052552223206,0.16004855930805206,0.032661162316799164,0.17058834433555603,0.1482210010290146,0.15612958371639252
australian,0.13873113691806793,0.17602510750293732,0.29156190156936646,0.1796053647994995,0.5590357780456543,0.06212134659290314,0.14056316018104553,0.11595364660024643,0.10848008096218109
greens,0.0763634666800499,0.5009442567825317,0.14415159821510315,0.16785408556461334,0.2660614550113678,0.13017088174819946,0.10620773583650589,0.16560639441013336,0.11291272938251495
are,0.29724663496017456,0.1489485502243042,0.29585015773773193,0.3841303884983063,0.17143335938453674,-0.008927806280553341,0.23264755308628082,0.3568890690803528,0.24591213464736938
victoria,0.1194850504398346,0.17201867699623108,0.12386265397071838,0.20823122560977936,0.5566045641899109,0.06206126511096954,0.19715198874473572,0.13794615864753723,0.12246892601251602
's,0.02692362666130066,0.02531869150698185,-0.025976654142141342,-0.037580832839012146,0.09813514351844788,0.9999999403953552,-0.05406010150909424,-0.04780859872698784,-0.023395681753754616
main,0.2344268560409546,0.096624456346035,0.08224362134933472,0.28862449526786804,0.1435454785823822,0.032559316605329514,0.20731082558631897,0.18024367094039917,0.1665669083595276
political,0.21846716105937958,0.5684571266174316,0.14260821044445038,0.22136160731315613,0.11841163039207458,0.04151610657572746,0.15179021656513214,0.21590615808963776,0.17130474746227264
parties,0.21181418001651764,0.6788443326950073,0.19934144616127014,0.21453756093978882,0.1546396017074585,0.050334759056568146,0.11198091506958008,0.2255222350358963,0.16949701309204102
.,0.3567904531955719,0.23341989517211914,0.27219346165657043,0.5591574311256409,0.22616931796073914,-0.003708066651597619,0.22710131108760834,0.25618889927864075,0.4130953550338745
,what,party,rules,in,melbourne,'s,inner,regions,?
the,0.42745697498321533,0.23779736459255219,0.27022838592529297,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.2790820598602295,0.36158451437950134,0.22068053483963013
greens,0.0763634666800499,0.5009442567825317,0.14415159821510315,0.16785408556461334,0.2660614550113678,0.13017088174819946,0.10620773583650589,0.16560639441013336,0.11291272938251495
",",0.3087472915649414,0.21963930130004883,0.23899291455745697,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.20530863106250763,0.26776278018951416,0.31091248989105225
who,0.40942975878715515,0.2427869290113449,0.31580042839050293,0.2792111933231354,0.18807335197925568,0.05599616840481758,0.08865341544151306,0.1395878791809082,0.26220351457595825
won,0.14840687811374664,0.19885028898715973,0.24943514168262482,0.3280489146709442,0.17818206548690796,-0.07419146597385406,0.1009826585650444,0.08943836390972137,0.17925700545310974
their,0.35142919421195984,0.166203111410141,0.26076748967170715,0.34976133704185486,0.15255890786647797,-0.005530759692192078,0.2214455008506775,0.25404396653175354,0.1898253709077835
first,0.28086137771606445,0.21286652982234955,0.20275257527828217,0.4127444326877594,0.2854580283164978,-0.014458609744906425,0.1302490234375,0.11457094550132751,0.18701928853988647
lower,0.20079238712787628,0.08911193907260895,0.14775831997394562,0.27455443143844604,0.13115625083446503,0.08257514238357544,0.3059110939502716,0.2311401218175888,0.08471795171499252
house,0.200801283121109,0.26748862862586975,0.15254540741443634,0.20026938617229462,0.22096098959445953,0.0011872146278619766,0.1987549215555191,0.10739070177078247,0.13736455142498016
seats,0.12961463630199432,0.3720419406890869,0.20743036270141602,0.26510122418403625,0.1931041181087494,0.06529513746500015,0.15832850337028503,0.15667571127414703,0.10678832978010178
in,0.30808621644973755,0.20446790754795074,0.2252369076013565,1.0,0.21059004962444305,-0.037580832839012146,0.22538623213768005,0.3232547640800476,0.20430970191955566
2014,0.041483160108327866,0.13573038578033447,-0.005986364558339119,0.13996225595474243,-0.036672260612249374,-0.012121890671551228,0.06831187009811401,-0.03277703374624252,0.058127544820308685
",",0.3087472915649414,0.21963930130004883,0.23899291455745697,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.20530863106250763,0.26776278018951416,0.31091248989105225
are,0.29724663496017456,0.1489485502243042,0.29585015773773193,0.3841303884983063,0.17143335938453674,-0.008927806280553341,0.23264755308628082,0.3568890690803528,0.24591213464736938
strongest,0.20878702402114868,0.25214847922325134,0.11597492545843124,0.2373267114162445,0.13945667445659637,0.047782525420188904,0.22771167755126953,0.19026656448841095,0.14222878217697144
in,0.30808621644973755,0.20446790754795074,0.2252369076013565,1.0,0.21059004962444305,-0.037580832839012146,0.22538623213768005,0.3232547640800476,0.20430970191955566
inner,0.226011261343956,0.08055204898118973,0.14260683953762054,0.22538623213768005,0.22528690099716187,-0.05406010150909424,0.9999999403953552,0.24604538083076477,0.10395674407482147
melbourne,0.10823550075292587,0.20605561137199402,0.21511337161064148,0.21059004962444305,1.0,0.09813514351844788,0.22528690099716187,0.06338803470134735,0.09101688116788864
.,0.3567904531955719,0.23341989517211914,0.27219346165657043,0.5591574311256409,0.22616931796073914,-0.003708066651597619,0.22710131108760834,0.25618889927864075,0.4130953550338745
