,what,document,formed,the,parliament,of,victoria,?
victoria,0.1194850504398346,0.07128141075372696,0.1770223081111908,0.2204313427209854,0.2823483645915985,0.2505437433719635,1.0,0.12246892601251602
has,0.20338068902492523,0.1036030650138855,0.13854970037937164,0.4177538752555847,0.1700625866651535,0.3909035325050354,0.12203460186719894,0.15994466841220856
a,0.3320399522781372,0.24302230775356293,0.21948496997356415,0.5829201340675354,0.22951169312000275,0.5052502155303955,0.15216270089149475,0.23916715383529663
written,0.25412634015083313,0.23649029433727264,0.19689415395259857,0.2582438886165619,0.19374427199363708,0.20874574780464172,0.11107750236988068,0.21451954543590546
constitution,0.26995089650154114,0.36598047614097595,0.20105960965156555,0.3381718397140503,0.5239191055297852,0.3222753703594208,0.16564127802848816,0.23706454038619995
enacted,0.26410800218582153,0.2634947896003723,0.22093361616134644,0.2723487913608551,0.38593679666519165,0.28466466069221497,0.15090516209602356,0.21675309538841248
in,0.30808621644973755,0.19825614988803864,0.27325257658958435,0.6662389636039734,0.2323146015405655,0.5696388483047485,0.20823122560977936,0.20430970191955566
1975,0.24193862080574036,0.07828935980796814,0.20081482827663422,0.3418796956539154,0.10956505686044693,0.30364495515823364,0.24481484293937683,0.19593262672424316
",",0.3087472915649414,0.1716068834066391,0.2636634409427643,0.4933079481124878,0.25442883372306824,0.4946078956127167,0.2279360294342041,0.31091248989105225
but,0.5029441118240356,0.18854805827140808,0.2312658429145813,0.4859698414802551,0.21308359503746033,0.39942997694015503,0.19563165307044983,0.27921953797340393
based,0.274813175201416,0.13929596543312073,0.26160991191864014,0.29860720038414,0.10926546901464462,0.3033197224140167,0.07653781771659851,0.134929820895195
on,0.34226128458976746,0.11694376170635223,0.18750394880771637,0.5107308030128479,0.2047569900751114,0.3966929316520691,0.17229951918125153,0.2714994251728058
the,0.42745697498321533,0.2833879888057709,0.28813210129737854,1.0,0.26521381735801697,0.733189046382904,0.2204313427209854,0.22068053483963013
1855,0.4055767059326172,0.1034989058971405,-0.006462189834564924,0.09084628522396088,0.09209229052066803,0.024641981348395348,-0.02297155000269413,0.34596240520477295
