,what,percentage,of,australia,'s,dairy,cattle,are,found,in,victoria,?
it,0.45803478360176086,0.26621147990226746,0.38761502504348755,0.2386748343706131,0.06608816236257553,0.2169826775789261,0.1588158756494522,0.3617996573448181,0.3907957971096039,0.5130809545516968,0.21222682297229767,0.25732165575027466
is,0.28837618231773376,0.23538601398468018,0.4854315221309662,0.1734699010848999,0.02396530658006668,0.23280000686645508,0.19627758860588074,0.5330929756164551,0.3526395261287689,0.5394441485404968,0.1633591204881668,0.22961433231830597
home,0.1608789712190628,0.20752790570259094,0.24402645230293274,0.1754150688648224,0.07170099765062332,0.2059391587972641,0.1832592785358429,0.17890439927577972,0.1881667524576187,0.30467477440834045,0.11941828578710556,0.0757145956158638
to,0.455847829580307,0.25744274258613586,0.41548454761505127,0.24799345433712006,0.03782717138528824,0.20021377503871918,0.22389766573905945,0.3504326641559601,0.25225648283958435,0.45010748505592346,0.18328198790550232,0.29463258385658264
60,0.07328611612319946,0.043895795941352844,0.05524682253599167,0.16625922918319702,-0.11939319223165512,-0.01625593937933445,0.0398574061691761,-0.01117884274572134,0.07972262799739838,0.008437495678663254,-0.029114145785570145,0.06999651342630386
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.13786643743515015,0.031266406178474426,0.22847992181777954,0.19095256924629211,0.21077655255794525,0.19549022614955902,0.19465309381484985,0.07985731214284897,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.2669609785079956,-0.03817026689648628,0.19305698573589325,0.2318044900894165,0.39081433415412903,0.2982911467552185,0.5696388483047485,0.2505437433719635,0.1826142966747284
australia,0.1913539320230484,0.12500597536563873,0.2669609785079956,1.0,0.040361400693655014,0.23113279044628143,0.26309719681739807,0.19220782816410065,0.22087471187114716,0.2697675824165344,0.5548879504203796,0.15702682733535767
's,0.02692362666130066,0.14816685020923615,-0.03817026689648628,0.040361400693655014,0.9999999403953552,-0.0038413959555327892,0.08039590716362,-0.008927806280553341,0.005866709165275097,-0.037580832839012146,0.06206126511096954,-0.023395681753754616
3,0.04473085701465607,0.025167416781187057,0.046857766807079315,0.15135158598423004,-0.06116730347275734,0.041915759444236755,0.043170295655727386,0.03804425150156021,0.029231632128357887,0.06326868385076523,-0.017191050574183464,0.005975271109491587
million,0.22197039425373077,0.25275081396102905,0.21686489880084991,0.22529302537441254,0.05079329386353493,0.15169283747673035,0.2212551236152649,0.21881309151649475,0.14410199224948883,0.2596224844455719,0.09473524242639542,0.23092924058437347
dairy,0.14052648842334747,0.2065894901752472,0.19305698573589325,0.23113279044628143,-0.0038413959555327892,0.9999999403953552,0.5250834226608276,0.2554721534252167,0.20597299933433533,0.18047009408473969,0.23784585297107697,0.14835722744464874
cattle,0.1848948746919632,0.18260152637958527,0.2318044900894165,0.26309719681739807,0.08039590716362,0.5250834226608276,0.9999999403953552,0.24985992908477783,0.1970631331205368,0.24646858870983124,0.22763460874557495,0.17239461839199066
