,when,did,the,first,french,language,bible,appear,?
the,0.5091903209686279,0.34736719727516174,1.0,0.49448907375335693,0.2555147111415863,0.30198320746421814,0.27647915482521057,0.3581200838088989,0.22068053483963013
country,0.21558639407157898,0.24348343908786774,0.30432501435279846,0.25299665331840515,0.19688838720321655,0.2662930190563202,0.19529081881046295,0.1544068306684494,0.12647280097007751
had,0.37526828050613403,0.540525496006012,0.3875846862792969,0.3379828929901123,0.1956298053264618,0.13676787912845612,0.1878610998392105,0.20338593423366547,0.20728366076946259
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.4287874400615692,0.24285779893398285,0.21064592897891998,0.15878930687904358,0.2526538372039795,0.23916715383529663
long,0.30121734738349915,0.20462055504322052,0.3075225353240967,0.23231349885463715,0.14648514986038208,0.15260156989097595,0.12731483578681946,0.22424815595149994,0.19699987769126892
history,0.24001719057559967,0.24950987100601196,0.33215048909187317,0.3202230632305145,0.10850784927606583,0.21704967319965363,0.2639967203140259,0.1388801485300064,0.2501974403858185
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3536086082458496,0.19450366497039795,0.25272229313850403,0.25664499402046204,0.2246912121772766,0.1826142966747284
struggles,0.2348029762506485,0.2705528438091278,0.25865504145622253,0.18027174472808838,0.20819006860256195,0.1916964203119278,0.13610313832759857,0.17225392162799835,0.10973235219717026
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.2691199779510498,0.1637353003025055,0.18017911911010742,0.1389898657798767,0.2717391550540924,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,1.0,0.49448907375335693,0.2555147111415863,0.30198320746421814,0.27647915482521057,0.3581200838088989,0.22068053483963013
papacy,0.24286894500255585,0.18356378376483917,0.2202257215976715,0.18726789951324463,0.2012413591146469,0.1875230371952057,0.2561591863632202,0.13608473539352417,0.18605810403823853
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.3877052962779999,0.23343317210674286,0.21010853350162506,0.19745492935180664,0.21565574407577515,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,1.0,0.49448907375335693,0.2555147111415863,0.30198320746421814,0.27647915482521057,0.3581200838088989,0.22068053483963013
time,0.4363728165626526,0.3567926585674286,0.43061500787734985,0.4013477563858032,0.1929292231798172,0.22813627123832703,0.20197834074497223,0.23009346425533295,0.27391523122787476
the,0.5091903209686279,0.34736719727516174,1.0,0.49448907375335693,0.2555147111415863,0.30198320746421814,0.27647915482521057,0.3581200838088989,0.22068053483963013
protestant,0.17039497196674347,0.23091652989387512,0.2679212689399719,0.16583320498466492,0.2642081677913666,0.21950763463974,0.44683295488357544,0.14879238605499268,0.14798137545585632
reformation,0.25376176834106445,0.20929229259490967,0.3290504217147827,0.20907169580459595,0.18808822333812714,0.24294036626815796,0.35913655161857605,0.1808747947216034,0.14843040704727173
finally,0.5643020272254944,0.284234881401062,0.4516841769218445,0.3844048082828522,0.22896641492843628,0.14288483560085297,0.16969135403633118,0.18698011338710785,0.16868984699249268
