,by,what,name,is,that,first,huguenot,church,known,today,?
this,0.38438332080841064,0.5489566326141357,0.30142447352409363,0.480927973985672,0.6909449696540833,0.41690850257873535,0.2300579845905304,0.18826861679553986,0.24229489266872406,0.3353723883628845,0.3155723512172699
parish,0.14516858756542206,0.13296297192573547,0.11608429998159409,0.18190798163414001,0.1453380584716797,0.11529281735420227,0.25392764806747437,0.48603907227516174,0.1267153024673462,0.14260292053222656,0.099716417491436
continues,0.15039396286010742,0.27419164776802063,0.16310866177082062,0.32428741455078125,0.29721972346305847,0.2710076868534088,0.15022791922092438,0.13443832099437714,0.24539224803447723,0.34860047698020935,0.13186512887477875
today,0.16644306480884552,0.3814660608768463,0.20909298956394196,0.3404538929462433,0.3898550271987915,0.287946879863739,0.21656161546707153,0.24520598351955414,0.33643534779548645,1.0000001192092896,0.17338968813419342
as,0.3815547823905945,0.31749409437179565,0.2851914167404175,0.43216490745544434,0.4735107421875,0.33842000365257263,0.15821954607963562,0.211966410279274,0.4815765619277954,0.33237552642822266,0.27043893933296204
l'eglise,0.16481810808181763,0.20120196044445038,0.17121969163417816,0.2787715792655945,0.22216416895389557,0.14887481927871704,0.5042139291763306,0.44000768661499023,0.12145891785621643,0.2159406840801239,0.20834030210971832
du,0.16578812897205353,0.10019232332706451,0.11224523186683655,0.14207105338573456,0.11360391229391098,0.2092020958662033,0.3207117021083832,0.14229494333267212,0.12729953229427338,0.06618808954954147,0.155681312084198
saint-esprit,0.25309592485427856,0.25678136944770813,0.24443447589874268,0.27012598514556885,0.3099522888660431,0.22299841046333313,0.483234703540802,0.41899949312210083,0.21742241084575653,0.19037041068077087,0.2532699406147003
",",0.3680937886238098,0.3087472915649414,0.28145334124565125,0.4691906273365021,0.4137537479400635,0.34503069519996643,0.24752236902713776,0.2707274258136749,0.3604377806186676,0.3282252550125122,0.31091248989105225
part,0.28271573781967163,0.3476244807243347,0.239738330245018,0.4582172930240631,0.37747326493263245,0.2607765197753906,0.1939619928598404,0.20504266023635864,0.30880099534988403,0.3304010033607483,0.08557961881160736
