,what,southern,city,did,the,huguenots,settle,near,?
in,0.30808621644973755,0.3190481662750244,0.3911624252796173,0.2593238651752472,0.6662389636039734,0.25916293263435364,0.2407265156507492,0.40211278200149536,0.20430970191955566
the,0.42745697498321533,0.3282862603664398,0.35769423842430115,0.34736719727516174,1.0,0.30745792388916016,0.2943725883960724,0.2879819869995117,0.22068053483963013
early,0.2454567849636078,0.2001630812883377,0.1715371310710907,0.32047218084335327,0.34442198276519775,0.22591663897037506,0.26252463459968567,0.20024821162223816,0.15272949635982513
years,0.1981470286846161,0.1775577962398529,0.17960485816001892,0.2695724070072174,0.2912273406982422,0.24530450999736786,0.1448613703250885,0.17832300066947937,0.1914375126361847
",",0.3087472915649414,0.2795628309249878,0.35839709639549255,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.27913352847099304,0.3141826391220093,0.31091248989105225
many,0.36131182312965393,0.18025599420070648,0.21416836977005005,0.375588983297348,0.4335206151008606,0.27507859468460083,0.20620310306549072,0.16392192244529724,0.2124512493610382
huguenots,0.22128188610076904,0.195220947265625,0.23380674421787262,0.2420482039451599,0.30745792388916016,1.0,0.2901375889778137,0.23730847239494324,0.16010338068008423
also,0.42747777700424194,0.28076234459877014,0.2577536404132843,0.39334940910339355,0.6021018624305725,0.1992371529340744,0.19479720294475555,0.23091714084148407,0.21848613023757935
settled,0.23502321541309357,0.2610197961330414,0.27204573154449463,0.20065045356750488,0.29293251037597656,0.2796560227870941,0.7608302235603333,0.29287010431289673,0.09694210439920425
in,0.30808621644973755,0.3190481662750244,0.3911624252796173,0.2593238651752472,0.6662389636039734,0.25916293263435364,0.2407265156507492,0.40211278200149536,0.20430970191955566
the,0.42745697498321533,0.3282862603664398,0.35769423842430115,0.34736719727516174,1.0,0.30745792388916016,0.2943725883960724,0.2879819869995117,0.22068053483963013
area,0.21965408325195312,0.3466261029243469,0.41959723830223083,0.14067986607551575,0.37834644317626953,0.2227916568517685,0.2990525960922241,0.37242770195007324,0.12640461325645447
of,0.33290785551071167,0.31933003664016724,0.32503411173820496,0.2513895630836487,0.733189046382904,0.27577435970306396,0.2614152729511261,0.2651676535606384,0.1826142966747284
present-day,0.3194306194782257,0.1303834319114685,0.27693304419517517,0.20096364617347717,0.36770060658454895,0.23021434247493744,0.2339356243610382,0.14636731147766113,0.24972984194755554
charleston,0.25634345412254333,0.27224358916282654,0.3162432014942169,0.19817835092544556,0.27515897154808044,0.3374885320663452,0.20220310986042023,0.28366804122924805,0.18022049963474274
",",0.3087472915649414,0.2795628309249878,0.35839709639549255,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.27913352847099304,0.3141826391220093,0.31091248989105225
south,0.15388517081737518,0.5503143668174744,0.38135167956352234,0.1510593444108963,0.3129390776157379,0.2368669956922531,0.139870747923851,0.3709190785884857,0.12336621433496475
carolina,0.1956660896539688,0.2794930040836334,0.26210474967956543,0.18489903211593628,0.24749229848384857,0.20161931216716766,0.09448529779911041,0.19395564496517181,0.11847445368766785
.,0.3567904531955719,0.26629969477653503,0.29856356978416443,0.35288307070732117,0.5934505462646484,0.2170230895280838,0.2460833340883255,0.2532462477684021,0.4130953550338745
