,what,coalition,rose,up,to,oppose,louis,xiv,'s,france,?
william,0.24990826845169067,0.20453013479709625,0.20740021765232086,0.1404920518398285,0.19802416861057281,0.1373266726732254,0.3061540722846985,0.1955898255109787,0.00675395829603076,0.23012599349021912,0.14462219178676605
formed,0.15451857447624207,0.3187178075313568,0.1785232424736023,0.22095370292663574,0.15433534979820251,0.15412276983261108,0.13604295253753662,0.12300527095794678,0.08651898056268692,0.11895021051168442,0.09686966985464096
the,0.42745697498321533,0.27709540724754333,0.28326278924942017,0.38423117995262146,0.535392165184021,0.17795199155807495,0.22078758478164673,0.24956288933753967,-0.01540423184633255,0.35517507791519165,0.22068053483963013
league,0.16616638004779816,0.24331213533878326,0.14668482542037964,0.18086190521717072,0.18720030784606934,0.22232069075107574,0.24037747085094452,0.14952124655246735,0.0167086161673069,0.18732602894306183,0.15941482782363892
of,0.33290785551071167,0.2811764180660248,0.2557028830051422,0.32945773005485535,0.41548454761505127,0.19316069781780243,0.22437675297260284,0.2890384793281555,-0.03817026689648628,0.3265724182128906,0.1826142966747284
augsburg,0.21001459658145905,0.2357325702905655,0.12680579721927643,0.17793650925159454,0.14199583232402802,0.13602609932422638,0.23993971943855286,0.23863691091537476,0.06814409792423248,0.25165867805480957,0.19882380962371826
as,0.31749409437179565,0.22177624702453613,0.15731482207775116,0.22736889123916626,0.42092081904411316,0.23896297812461853,0.17105039954185486,0.17486225068569183,-0.05775856226682663,0.19034622609615326,0.27043893933296204
a,0.3320399522781372,0.1769750714302063,0.21820183098316193,0.32523053884506226,0.45503583550453186,0.22805124521255493,0.17078496515750885,0.1956939995288849,0.04866964742541313,0.24802380800247192,0.23916715383529663
coalition,0.15644073486328125,1.0000001192092896,0.09935661405324936,0.2039727121591568,0.2121596485376358,0.30919888615608215,0.22010916471481323,0.18843699991703033,-0.02830805629491806,0.2879611551761627,0.13521195948123932
to,0.455847829580307,0.2121596485376358,0.15193326771259308,0.40375280380249023,1.0,0.25091660022735596,0.16961874067783356,0.20471028983592987,0.03782717138528824,0.2670897841453552,0.29463258385658264
oppose,0.3912397027015686,0.30919888615608215,0.1525440365076065,0.29265522956848145,0.25091660022735596,1.0000001192092896,0.14804528653621674,0.12106230109930038,0.008925404399633408,0.11237078160047531,0.36423826217651367
louis,0.11922219395637512,0.22010916471481323,0.1686718463897705,0.12323939055204391,0.16961874067783356,0.14804528653621674,1.0000001192092896,0.585145115852356,0.06499256193637848,0.43262016773223877,0.09819188714027405
and,0.31309178471565247,0.279930055141449,0.26338011026382446,0.4032393991947174,0.48971283435821533,0.19707390666007996,0.20344610512256622,0.19559554755687714,0.06895173341035843,0.2925812005996704,0.20544172823429108
the,0.42745697498321533,0.27709540724754333,0.28326278924942017,0.38423117995262146,0.535392165184021,0.17795199155807495,0.22078758478164673,0.24956288933753967,-0.01540423184633255,0.35517507791519165,0.22068053483963013
french,0.17393042147159576,0.2530713379383087,0.1659218817949295,0.14373090863227844,0.1713797152042389,0.11609527468681335,0.4014277458190918,0.28597086668014526,0.0634014755487442,0.5492131114006042,0.1386883556842804
state,0.24273863434791565,0.28880575299263,0.11299601197242737,0.14639796316623688,0.25557461380958557,0.16495631635189056,0.1994815170764923,0.15430597960948944,0.038451772183179855,0.16891726851463318,0.1160883978009224
.,0.3567904531955719,0.20060032606124878,0.2793329656124115,0.351434588432312,0.4645031690597534,0.23016472160816193,0.259149432182312,0.23903855681419373,-0.003708066651597619,0.33719199895858765,0.4130953550338745
