,what,early,huguenot,church,was,established,in,england,?
the,0.42745697498321533,0.34442198276519775,0.29557526111602783,0.23846197128295898,0.48711544275283813,0.33092597126960754,0.6662389636039734,0.28280043601989746,0.22068053483963013
french,0.17393042147159576,0.16730161011219025,0.5233030915260315,0.1596711128950119,0.2523815333843231,0.16478145122528076,0.22093388438224792,0.2100793868303299,0.1386883556842804
protestant,0.23531195521354675,0.23024506866931915,0.5451660752296448,0.590944766998291,0.25246119499206543,0.25995761156082153,0.2637297511100769,0.3156525492668152,0.14798137545585632
church,0.1944202184677124,0.23740842938423157,0.3685069978237152,0.9999999403953552,0.24960921704769135,0.21564553678035736,0.2493300437927246,0.29048699140548706,0.18081501126289368
of,0.33290785551071167,0.30937549471855164,0.29061198234558105,0.3079429268836975,0.4069072902202606,0.2735237777233124,0.5696388483047485,0.24624483287334442,0.1826142966747284
london,0.15188734233379364,0.21160988509655,0.28468823432922363,0.1458871215581894,0.3026486933231354,0.1400073915719986,0.2785358726978302,0.4936862885951996,0.11278104782104492
was,0.22111038863658905,0.4148794412612915,0.24281072616577148,0.24960921704769135,1.0000001192092896,0.26515325903892517,0.45514053106307983,0.2656741440296173,0.18412111699581146
established,0.14869536459445953,0.2503604292869568,0.2207619845867157,0.21564553678035736,0.26515325903892517,0.9999998807907104,0.3118882477283478,0.17346906661987305,0.15917523205280304
by,0.2455483376979828,0.25586557388305664,0.1813904494047165,0.135782390832901,0.4752357602119446,0.21138796210289001,0.370934396982193,0.21564382314682007,0.17966607213020325
royal,0.16189028322696686,0.1801978498697281,0.30041053891181946,0.17223063111305237,0.2874114215373993,0.21943694353103638,0.22172321379184723,0.27756956219673157,0.11453001946210861
charter,0.13714581727981567,0.18382388353347778,0.30817410349845886,0.237933948636055,0.23359626531600952,0.3167438209056854,0.20881880819797516,0.34815698862075806,0.14220231771469116
in,0.30808621644973755,0.34672921895980835,0.26198551058769226,0.2493300437927246,0.45514053106307983,0.3118882477283478,1.0,0.33311840891838074,0.20430970191955566
1550,-0.006221580784767866,0.03323817253112793,-0.020486176013946533,0.0679687038064003,-0.03437107056379318,-0.010335342958569527,-0.022512810304760933,0.13128109276294708,-0.029320459812879562
.,0.3567904531955719,0.3224305212497711,0.2060975730419159,0.28898224234580994,0.40146201848983765,0.23771190643310547,0.5591574311256409,0.31012484431266785,0.4130953550338745
