,what,nationality,was,arthur,woolf,?
a,0.3320399522781372,0.16426464915275574,0.4508470594882965,0.18561109900474548,0.23057198524475098,0.23916715383529663
method,0.25476205348968506,0.12782655656337738,0.18816342949867249,0.07485906779766083,0.14210565388202667,0.2194802314043045
to,0.455847829580307,0.195908322930336,0.3636345863342285,0.21282726526260376,0.20954327285289764,0.29463258385658264
lessen,0.24790406227111816,0.1563727855682373,0.12309129536151886,0.09379537403583527,0.17751096189022064,0.1993662267923355
the,0.42745697498321533,0.21899528801441193,0.48711544275283813,0.19352269172668457,0.2120288610458374,0.22068053483963013
magnitude,0.2623147964477539,0.16164784133434296,0.16702717542648315,0.12649251520633698,0.04990220069885254,0.19328105449676514
of,0.33290785551071167,0.16924145817756653,0.4069072902202606,0.16405726969242096,0.16133394837379456,0.1826142966747284
this,0.5489566326141357,0.18849407136440277,0.3638818562030792,0.0966845452785492,0.1977313756942749,0.3155723512172699
heating,0.21489092707633972,0.14741151034832,0.15818214416503906,0.04153133183717728,0.14733630418777466,0.1888689249753952
and,0.31309178471565247,0.23912757635116577,0.3740963041782379,0.1690198928117752,0.21742631494998932,0.20544172823429108
cooling,0.28575754165649414,0.13162113726139069,0.13719983398914337,0.03425684571266174,0.12170933932065964,0.19326604902744293
was,0.22111038863658905,0.16462191939353943,1.0000001192092896,0.24087782204151154,0.27438443899154663,0.18412111699581146
invented,0.1952974498271942,0.19926215708255768,0.2900676131248474,0.12664079666137695,0.21814043819904327,0.13781782984733582
in,0.30808621644973755,0.1939406394958496,0.45514053106307983,0.2152768224477768,0.25265151262283325,0.20430970191955566
1804,-0.05124351382255554,-0.04013291373848915,-0.15912246704101562,-0.18665063381195068,-0.1629883348941803,0.011757442727684975
by,0.2455483376979828,0.2942885756492615,0.4752357602119446,0.16299480199813843,0.19169020652770996,0.17966607213020325
british,0.19255435466766357,0.3241701126098633,0.31934812664985657,0.2546258866786957,0.20716369152069092,0.09711728990077972
engineer,0.1520753651857376,0.19980837404727936,0.2460750937461853,0.17231032252311707,0.22893284261226654,0.12995383143424988
arthur,0.16599613428115845,0.11517477035522461,0.24087782204151154,0.9999999403953552,0.3499269187450409,0.16990946233272552
woolf,0.23042988777160645,0.13598746061325073,0.27438443899154663,0.3499269187450409,0.9999998807907104,0.3355073034763336
",",0.3087472915649414,0.25539466738700867,0.45456063747406006,0.25011757016181946,0.30838117003440857,0.31091248989105225
who,0.40942975878715515,0.3057454228401184,0.3318818509578705,0.19130396842956543,0.24039538204669952,0.26220351457595825
patented,0.1101711094379425,0.2020530104637146,0.20634464919567108,0.14230050146579742,0.2465732991695404,0.08803384751081467
his,0.26976513862609863,0.1329188346862793,0.4405253231525421,0.241909459233284,0.30409514904022217,0.18075084686279297
woolf,0.23042988777160645,0.13598746061325073,0.27438443899154663,0.3499269187450409,0.9999998807907104,0.3355073034763336
high-pressure,0.31876876950263977,0.22414745390415192,0.26719358563423157,0.17440859973430634,0.1659834086894989,0.23668110370635986
compound,0.182308629155159,0.09051951766014099,0.11856551468372345,0.11409401893615723,0.07007259875535965,0.19502747058868408
engine,0.18463268876075745,0.0968458354473114,0.205611914396286,0.06225625053048134,0.15373645722866058,0.17739196121692657
in,0.30808621644973755,0.1939406394958496,0.45514053106307983,0.2152768224477768,0.25265151262283325,0.20430970191955566
1805,0.21602052450180054,0.18229326605796814,0.0956914871931076,0.09264416992664337,0.11756722629070282,0.2008146047592163
.,0.3567904531955719,0.23392154276371002,0.40146201848983765,0.22044076025485992,0.2912629246711731,0.4130953550338745
