,what,is,the,steam,engine,'s,thermodynamic,basis,?
the,0.42745697498321533,0.5823672413825989,1.0,0.23105813562870026,0.21651263535022736,-0.01540423184633255,0.2758195400238037,0.2758672833442688,0.22068053483963013
rankine,0.14446263015270233,0.19099628925323486,0.22060109674930573,0.2536572813987732,0.28537026047706604,0.10705062001943588,0.4677978754043579,0.12613412737846375,0.15256094932556152
cycle,0.17920038104057312,0.20626789331436157,0.2701641917228699,0.24528048932552338,0.21644321084022522,-0.005367895122617483,0.36592817306518555,0.2563309371471405,0.07156776636838913
is,0.28837618231773376,1.0,0.5823672413825989,0.13029660284519196,0.18856970965862274,0.02396530658006668,0.2794320583343506,0.2811574637889862,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.23105813562870026,0.21651263535022736,-0.01540423184633255,0.2758195400238037,0.2758672833442688,0.22068053483963013
fundamental,0.35305243730545044,0.21985967457294464,0.3078918755054474,0.1623721718788147,0.1714504063129425,-0.06646589934825897,0.47613459825515747,0.43637627363204956,0.2011919468641281
thermodynamic,0.27302685379981995,0.2794320583343506,0.2758195400238037,0.3305758535861969,0.36082616448402405,-0.02006492204964161,1.0,0.33735358715057373,0.26781561970710754
underpinning,0.31879279017448425,0.22885403037071228,0.32667452096939087,0.29728519916534424,0.2685547471046448,-0.017459966242313385,0.3792852461338043,0.30915021896362305,0.32162192463874817
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.20239725708961487,0.17095594108104706,-0.03817026689648628,0.31907084584236145,0.282950758934021,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.23105813562870026,0.21651263535022736,-0.01540423184633255,0.2758195400238037,0.2758672833442688,0.22068053483963013
steam,0.15672586858272552,0.13029660284519196,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.03992457315325737,0.3305758535861969,0.1557895392179489,0.113324373960495
engine,0.18463268876075745,0.18856970965862274,0.21651263535022736,0.4921848475933075,1.0,0.044662050902843475,0.36082616448402405,0.1611732542514801,0.17739196121692657
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22855372726917267,0.21814921498298645,-0.003708066651597619,0.2849833071231842,0.2657107412815094,0.4130953550338745
