,what,are,stators,attached,to,?
a,0.3320399522781372,0.265255331993103,0.11445796489715576,0.3358478546142578,0.45503583550453186,0.23916715383529663
steam,0.15672586858272552,0.14139318466186523,0.24564871191978455,0.25021106004714966,0.22894427180290222,0.113324373960495
turbine,0.1404699683189392,0.17826414108276367,0.26882922649383545,0.2405242919921875,0.23140856623649597,0.16315746307373047
consists,0.11367427557706833,0.43408724665641785,0.11593183875083923,0.28245627880096436,0.18391861021518707,-0.004641483072191477
of,0.33290785551071167,0.39081433415412903,0.12798954546451569,0.2120225876569748,0.41548454761505127,0.1826142966747284
one,0.376489520072937,0.42537835240364075,0.253811240196228,0.26046907901763916,0.4025384783744812,0.2673267424106598
or,0.33867141604423523,0.5374364256858826,0.20632028579711914,0.34890416264533997,0.38921234011650085,0.32389625906944275
more,0.3484537899494171,0.4066504240036011,0.22905051708221436,0.22814370691776276,0.47084665298461914,0.27894994616508484
rotors,0.17702068388462067,0.29633256793022156,0.5342518091201782,0.29824134707450867,0.2291257083415985,0.14298434555530548
(,0.2411840260028839,0.23263892531394958,0.08532427251338959,0.1446284055709839,0.30882009863853455,0.40561532974243164
rotating,0.1976575255393982,0.21143339574337006,0.2959558963775635,0.36035528779029846,0.20704303681850433,0.08289054036140442
discs,0.20178590714931488,0.3013767898082733,0.2019074708223343,0.3734987676143646,0.26903924345970154,0.09042835980653763
),0.26259949803352356,0.2373749315738678,0.081612229347229,0.15889057517051697,0.31236231327056885,0.42300865054130554
mounted,0.1395481526851654,0.19628547132015228,0.30377396941185,0.36217623949050903,0.1498442441225052,0.07335436344146729
on,0.34226128458976746,0.268924742937088,0.14315444231033325,0.2921682894229889,0.41031414270401,0.2714994251728058
a,0.3320399522781372,0.265255331993103,0.11445796489715576,0.3358478546142578,0.45503583550453186,0.23916715383529663
drive,0.21679377555847168,0.18835781514644623,0.2020215094089508,0.22111207246780396,0.291306734085083,0.11447915434837341
shaft,0.12638844549655914,0.15791182219982147,0.18013896048069,0.3854890763759613,0.2365434467792511,0.15109451115131378
",",0.3087472915649414,0.4062570035457611,0.16702666878700256,0.17186324298381805,0.44245919585227966,0.31091248989105225
alternating,0.10095972567796707,0.31814420223236084,0.22329813241958618,0.2736601233482361,0.23102223873138428,0.13878576457500458
with,0.2464839518070221,0.38996943831443787,0.15468892455101013,0.2813898026943207,0.4239959120750427,0.2433311939239502
a,0.3320399522781372,0.265255331993103,0.11445796489715576,0.3358478546142578,0.45503583550453186,0.23916715383529663
series,0.17328087985515594,0.2139665186405182,0.12677326798439026,0.17666134238243103,0.19879554212093353,0.1709602326154709
of,0.33290785551071167,0.39081433415412903,0.12798954546451569,0.2120225876569748,0.41548454761505127,0.1826142966747284
stators,0.19921216368675232,0.297669917345047,0.9999998807907104,0.16594789922237396,0.18478496372699738,0.08155762404203415
(,0.2411840260028839,0.23263892531394958,0.08532427251338959,0.1446284055709839,0.30882009863853455,0.40561532974243164
static,0.2510988116264343,0.19108860194683075,0.3169761598110199,0.20374570786952972,0.1822802573442459,0.22167910635471344
discs,0.20178590714931488,0.3013767898082733,0.2019074708223343,0.3734987676143646,0.26903924345970154,0.09042835980653763
),0.26259949803352356,0.2373749315738678,0.081612229347229,0.15889057517051697,0.31236231327056885,0.42300865054130554
fixed,0.255135715007782,0.2600231468677521,0.13874073326587677,0.3245258629322052,0.26378992199897766,0.2728462815284729
to,0.455847829580307,0.3504326641559601,0.18478496372699738,0.26221272349357605,1.0,0.29463258385658264
the,0.42745697498321533,0.40399202704429626,0.22477495670318604,0.30016979575157166,0.535392165184021,0.22068053483963013
turbine,0.1404699683189392,0.17826414108276367,0.26882922649383545,0.2405242919921875,0.23140856623649597,0.16315746307373047
casing,0.16667453944683075,0.35503408312797546,0.23737271130084991,0.3619874119758606,0.27530789375305176,0.184690460562706
.,0.3567904531955719,0.3452940285205841,0.13298769295215607,0.257194846868515,0.4645031690597534,0.4130953550338745
