,how,many,atoms,combine,to,form,dioxygen,?
at,0.2154216170310974,0.2716965675354004,0.16944050788879395,0.15522506833076477,0.36524343490600586,0.10255546867847443,0.18009501695632935,0.21978627145290375
standard,0.25041645765304565,0.23088975250720978,0.21429765224456787,0.23890440165996552,0.1969985067844391,0.20017488300800323,0.17714937031269073,0.17029257118701935
temperature,0.26406702399253845,0.17618876695632935,0.327900230884552,0.21136242151260376,0.26598888635635376,0.1994808167219162,0.40919753909111023,0.2011885941028595
and,0.33647966384887695,0.5296266674995422,0.21866731345653534,0.36650222539901733,0.48971283435821533,0.30469027161598206,0.2623746693134308,0.20544172823429108
pressure,0.2370646893978119,0.22926534712314606,0.2850531041622162,0.19724559783935547,0.30812981724739075,0.2059672325849533,0.4030432105064392,0.142023503780365
",",0.22659391164779663,0.40610817074775696,0.19749411940574646,0.29247188568115234,0.44245919585227966,0.21805599331855774,0.2609575390815735,0.31091248989105225
two,0.2499001920223236,0.5147606730461121,0.29314860701560974,0.34922367334365845,0.3343428373336792,0.22888411581516266,0.25695866346359253,0.19645625352859497
atoms,0.3024098575115204,0.19408683478832245,1.0000001192092896,0.38664108514785767,0.24628525972366333,0.3353632688522339,0.4960639178752899,0.17423541843891144
of,0.2480744868516922,0.37253960967063904,0.20656298100948334,0.3253297805786133,0.41548454761505127,0.29600051045417786,0.24121849238872528,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1997222602367401,0.2880306839942932,0.535392165184021,0.29286009073257446,0.2871758043766022,0.22068053483963013
element,0.23025715351104736,0.14844711124897003,0.46942293643951416,0.32479768991470337,0.20668300986289978,0.29455703496932983,0.3385816812515259,0.18393386900424957
bind,0.2068702131509781,0.19302064180374146,0.3742908239364624,0.39696791768074036,0.27997180819511414,0.347547322511673,0.2998289167881012,0.13327588140964508
to,0.44169697165489197,0.40243685245513916,0.24628525972366333,0.2847091257572174,1.0,0.2772196829319,0.2898167073726654,0.29463258385658264
form,0.1948026418685913,0.223133847117424,0.3353632688522339,0.3999081254005432,0.2772196829319,0.9999999403953552,0.20672428607940674,0.1463010311126709
dioxygen,0.2575671076774597,0.25601324439048767,0.4960639178752899,0.28044942021369934,0.2898167073726654,0.20672428607940674,1.0,0.18348100781440735
",",0.22659391164779663,0.40610817074775696,0.19749411940574646,0.29247188568115234,0.44245919585227966,0.21805599331855774,0.2609575390815735,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.23782315850257874,0.2690390646457672,0.45503583550453186,0.3088195323944092,0.240678608417511,0.23916715383529663
colorless,0.22956550121307373,0.2203393429517746,0.48000532388687134,0.3080585300922394,0.2256881445646286,0.2511913776397705,0.4815761148929596,0.2345704883337021
and,0.33647966384887695,0.5296266674995422,0.21866731345653534,0.36650222539901733,0.48971283435821533,0.30469027161598206,0.2623746693134308,0.20544172823429108
odorless,0.2208467274904251,0.19699294865131378,0.43375587463378906,0.296970009803772,0.18140575289726257,0.2391701638698578,0.4422661066055298,0.20271171629428864
diatomic,0.29307615756988525,0.2643047571182251,0.6317535638809204,0.34905511140823364,0.26359716057777405,0.2611232399940491,0.5070517659187317,0.18782663345336914
gas,0.2305871844291687,0.19938527047634125,0.37225592136383057,0.2857681214809418,0.25276535749435425,0.12130887806415558,0.47850146889686584,0.1582372784614563
with,0.3525622487068176,0.35744401812553406,0.2722374200820923,0.35364508628845215,0.4239959120750427,0.29348593950271606,0.23137815296649933,0.2433311939239502
the,0.33890387415885925,0.4335206151008606,0.1997222602367401,0.2880306839942932,0.535392165184021,0.29286009073257446,0.2871758043766022,0.22068053483963013
formula,0.16393129527568817,0.17132624983787537,0.31231486797332764,0.19520023465156555,0.20870213210582733,0.22205641865730286,0.21127326786518097,0.16194304823875427
o,0.1453389823436737,0.10845818370580673,0.21805140376091003,0.10419544577598572,0.1644444614648819,0.1058930829167366,0.25499227643013,0.23868927359580994
2,-0.02554285153746605,-0.06294522434473038,0.04293985664844513,0.06034970283508301,-0.0836251974105835,0.031230177730321884,0.03467373922467232,0.001977203879505396
.,0.3287222981452942,0.3974229395389557,0.26239243149757385,0.2269059419631958,0.4645031690597534,0.28317511081695557,0.27416276931762695,0.4130953550338745
