,what,chemical,element,was,the,cause,of,the,apollo,1,disastrous,outcome,?
the,0.42745697498321533,0.18641819059848785,0.2041647583246231,0.48711544275283813,1.0,0.2551237642765045,0.733189046382904,1.0,0.2169172167778015,-0.1554475575685501,0.33251306414604187,0.23770277202129364,0.22068053483963013
fire,0.19359004497528076,0.1683976948261261,0.17044872045516968,0.24801933765411377,0.2911929488182068,0.15238693356513977,0.20259131491184235,0.2911929488182068,0.24718856811523438,-0.04729834198951721,0.3084169030189514,0.07041522115468979,0.14396874606609344
that,0.6297725439071655,0.2704353928565979,0.29008960723876953,0.33670201897621155,0.5473989248275757,0.40003344416618347,0.41498205065727234,0.5473989248275757,0.2014923095703125,-0.3131840229034424,0.3187011778354645,0.37304428219795227,0.32716336846351624
killed,0.1862335354089737,0.12794075906276703,0.09416412562131882,0.31229376792907715,0.23115427792072296,0.2644696533679962,0.2589981257915497,0.23115427792072296,0.2064969837665558,-0.11083222925662994,0.35219845175743103,0.15558207035064697,0.17928971350193024
the,0.42745697498321533,0.18641819059848785,0.2041647583246231,0.48711544275283813,1.0,0.2551237642765045,0.733189046382904,1.0,0.2169172167778015,-0.1554475575685501,0.33251306414604187,0.23770277202129364,0.22068053483963013
apollo,0.13561789691448212,0.12715080380439758,0.17286144196987152,0.2306441366672516,0.2169172167778015,0.130637526512146,0.1786269098520279,0.2169172167778015,0.9999999403953552,-0.17533797025680542,0.24400141835212708,0.09133794903755188,0.191528782248497
1,-0.21266892552375793,-0.16642090678215027,-0.1934288889169693,-0.2275921255350113,-0.1554475575685501,-0.21975931525230408,-0.09473495930433273,-0.1554475575685501,-0.17533797025680542,1.0,-0.11690233647823334,-0.29396146535873413,-0.249979168176651
crew,0.17533187568187714,0.15240101516246796,0.15218636393547058,0.20329242944717407,0.25329816341400146,0.13843972980976105,0.20427432656288147,0.25329816341400146,0.36530131101608276,-0.07515875995159149,0.18797171115875244,0.10990185290575027,0.16586194932460785
in,0.30808621644973755,0.23203688859939575,0.16983667016029358,0.45514053106307983,0.6662389636039734,0.24822883307933807,0.5696388483047485,0.6662389636039734,0.1461767554283142,-0.10660158097743988,0.32057181000709534,0.20638000965118408,0.20430970191955566
a,0.3320399522781372,0.24089328944683075,0.3271445333957672,0.4508470594882965,0.5829201340675354,0.2715701162815094,0.5052502155303955,0.5829201340675354,0.19996169209480286,-0.20817746222019196,0.2576647102832794,0.22244083881378174,0.23916715383529663
launch,0.22967466711997986,0.13478317856788635,0.13527679443359375,0.22367219626903534,0.2628649175167084,0.11921057850122452,0.20697395503520966,0.2628649175167084,0.3676173985004425,-0.11333367228507996,0.28365013003349304,0.14761175215244293,0.22009649872779846
pad,0.1816636025905609,0.10669052600860596,0.18060719966888428,0.11828822642564774,0.1643100380897522,0.19429640471935272,0.10887265205383301,0.1643100380897522,0.2642946243286133,-0.14128448069095612,0.05275336280465126,0.0740262120962143,0.20716224610805511
