,what,type,of,combustible,materials,were,considered,to,have,little,philogiston,?
highly,0.22724121809005737,0.20136535167694092,0.21906863152980804,0.27044257521629333,0.2756845951080322,0.19810888171195984,0.3564831614494324,0.24264846742153168,0.30218270421028137,0.16281777620315552,0.14137139916419983,0.1542806625366211
combustible,0.2506256699562073,0.34923219680786133,0.22582003474235535,1.0,0.4451654255390167,0.24117963016033173,0.2690642476081848,0.22712315618991852,0.2860717177391052,0.2127322256565094,0.2557154893875122,0.24960510432720184
materials,0.21012352406978607,0.24908779561519623,0.23909913003444672,0.4451654255390167,1.0,0.2721776068210602,0.24015039205551147,0.2771066129207611,0.28384408354759216,0.189433291554451,0.20350080728530884,0.1301651895046234
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.338132381439209,0.28520384430885315,0.35517072677612305,0.37593913078308105,0.5436353087425232,0.6182622313499451,0.3069852590560913,0.2462189793586731,0.32716336846351624
leave,0.3595171868801117,0.12775929272174835,0.22741928696632385,0.10786319524049759,0.11862926185131073,0.23466263711452484,0.17366643249988556,0.408642441034317,0.2905016243457794,0.19452863931655884,0.1197158545255661,0.23890845477581024
little,0.2614184617996216,0.12676630914211273,0.20116642117500305,0.2127322256565094,0.189433291554451,0.19139611721038818,0.17185567319393158,0.2547711431980133,0.31236013770103455,1.0,0.21046413481235504,0.20336517691612244
residue,0.2236941158771515,0.3049680292606354,0.28857046365737915,0.5282522439956665,0.4286072850227356,0.1492072492837906,0.24955299496650696,0.24319802224636078,0.2510616183280945,0.13946610689163208,0.22025376558303833,0.16946689784526825
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21899035573005676,0.20380693674087524,0.36755475401878357,0.32932984828948975,0.44245919585227966,0.3541618287563324,0.32780832052230835,0.3312477171421051,0.31091248989105225
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2758628726005554,0.35968461632728577,0.2970055043697357,0.32339993119239807,0.2871878743171692,0.42997312545776367,0.2562221586704254,0.1669827699661255,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22722461819648743,0.2538547217845917,0.3025437891483307,0.4031961262226105,0.42092081904411316,0.37788212299346924,0.27529188990592957,0.24596372246742249,0.27043893933296204
wood,0.09460487961769104,0.13901375234127045,0.22215111553668976,0.3301227390766144,0.39049431681632996,0.2097655087709427,0.19676069915294647,0.19757768511772156,0.17596864700317383,0.18311342597007751,0.18655480444431305,0.1346656233072281
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.36181068420410156,0.3657258450984955,0.3389680087566376,0.35840076208114624,0.38921234011650085,0.46389055252075195,0.26703810691833496,0.1350736916065216,0.32389625906944275
coal,0.15859243273735046,0.04667127504944801,0.2543368637561798,0.39468762278556824,0.3663272559642792,0.23825810849666595,0.17589737474918365,0.20023773610591888,0.16823364794254303,0.17804281413555145,0.2139182686805725,0.10339318215847015
