,what,characteristic,due,most,items,display,after,burning,?
air,0.10361403971910477,0.148308664560318,0.15631511807441711,0.1513989418745041,0.17659665644168854,0.1931377500295639,0.1361907720565796,0.3170631229877472,0.1491677612066269
did,0.4259131848812103,0.17582112550735474,0.15152592957019806,0.2822507321834564,0.1239788681268692,0.10233704000711441,0.30330467224121094,0.1652091145515442,0.3023456633090973
not,0.5449194312095642,0.3396522104740143,0.2680772840976715,0.419027179479599,0.24152670800685883,0.24161186814308167,0.3115830719470978,0.2077874094247818,0.41942933201789856
play,0.2180248498916626,0.10286494344472885,0.15495911240577698,0.1979195773601532,0.09156141430139542,0.1690894216299057,0.1625545471906662,0.18336030840873718,0.11059518158435822
a,0.3320399522781372,0.34996849298477173,0.2190696746110916,0.3508910834789276,0.2916238307952881,0.24380744993686676,0.3831600844860077,0.2315863072872162,0.23916715383529663
role,0.22614215314388275,0.1946561634540558,0.11239765584468842,0.2083391547203064,0.09400863945484161,0.07197242975234985,0.19953297078609467,0.08985273540019989,0.18676944077014923
in,0.30808621644973755,0.2336774468421936,0.2516716718673706,0.41416558623313904,0.2189844399690628,0.2005489468574524,0.44050168991088867,0.25352632999420166,0.20430970191955566
phlogiston,0.23945403099060059,0.2136014848947525,0.08980019390583038,0.2056286782026291,0.17772434651851654,0.13961707055568695,0.1720406860113144,0.2027553766965866,0.230838805437088
theory,0.297923743724823,0.2701674699783325,0.14225344359874725,0.232156440615654,0.11348439753055573,0.14393463730812073,0.1592351645231247,0.0612473227083683,0.1387292891740799
",",0.3087472915649414,0.263354629278183,0.3106630742549896,0.3636029064655304,0.21073096990585327,0.18201033771038055,0.38860568404197693,0.2103968858718872,0.31091248989105225
nor,0.33353856205940247,0.2319885790348053,0.20872683823108673,0.2453145980834961,0.14106054604053497,0.17595477402210236,0.12209713459014893,0.20312072336673737,0.2602383494377136
were,0.22298263013362885,0.23171885311603546,0.17703603208065033,0.3543298542499542,0.21834833920001984,0.15256085991859436,0.36224013566970825,0.21602368354797363,0.17890112102031708
