,what,gas,does,the,airline,exothermic,reaction,produce,?
a,0.3320399522781372,0.26485589146614075,0.38201746344566345,0.5829201340675354,0.20404170453548431,0.35041943192481995,0.23682725429534912,0.2757846415042877,0.23916715383529663
steady,0.20998579263687134,0.2660587728023529,0.24222514033317566,0.2435702234506607,0.10571873933076859,0.37243568897247314,0.2881566286087036,0.25456809997558594,0.12034343183040619
stream,0.15652818977832794,0.21267665922641754,0.1845560073852539,0.2507912814617157,0.12778252363204956,0.2385828047990799,0.18378442525863647,0.22045697271823883,0.11238504201173782
of,0.33290785551071167,0.21246914565563202,0.3119818866252899,0.733189046382904,0.23609748482704163,0.3063250780105591,0.16853101551532745,0.19541172683238983,0.1826142966747284
oxygen,0.16781960427761078,0.45564013719558716,0.2380215972661972,0.20428593456745148,0.20351363718509674,0.5292146801948547,0.45145896077156067,0.2946869134902954,0.16786395013332367
gas,0.20887799561023712,0.9999999403953552,0.1792042851448059,0.2339978665113449,0.21331846714019775,0.4998961389064789,0.31086716055870056,0.27898111939430237,0.1582372784614563
is,0.28837618231773376,0.1897863894701004,0.4403602182865143,0.5823672413825989,0.1989080160856247,0.32844623923301697,0.19925570487976074,0.26456785202026367,0.22961433231830597
then,0.4072686731815338,0.25146761536598206,0.2951544523239136,0.4297412931919098,0.15652339160442352,0.2901269197463989,0.17638900876045227,0.2757136821746826,0.2884598970413208
produced,0.1393624097108841,0.1631041318178177,0.13402628898620605,0.22045251727104187,0.12624181807041168,0.282575786113739,0.239018976688385,0.657219648361206,0.1623450517654419
by,0.2455483376979828,0.1669413298368454,0.143477201461792,0.4408751428127289,0.14221903681755066,0.29782435297966003,0.28173506259918213,0.2717679440975189,0.17966607213020325
the,0.42745697498321533,0.2339978665113449,0.35928019881248474,1.0,0.23526649177074432,0.3014257848262787,0.2163003534078598,0.23457570374011993,0.22068053483963013
exothermic,0.28274208307266235,0.4998961389064789,0.3074571490287781,0.3014257848262787,0.20373837649822235,1.0,0.604330837726593,0.4339900314807892,0.23664477467536926
reaction,0.304030179977417,0.31086716055870056,0.20323865115642548,0.2163003534078598,0.10665888339281082,0.604330837726593,0.9999999403953552,0.33613595366477966,0.2138621062040329
.,0.3567904531955719,0.24812045693397522,0.3022993505001068,0.5934505462646484,0.2337903082370758,0.32588136196136475,0.2695828676223755,0.2587496340274811,0.4130953550338745
