,what,do,oxygen,tanks,",",cryogenics,",",and,chemical,compounds,serve,as,for,oxygen,?
oxygen,0.16781960427761078,0.22088919579982758,0.9999999403953552,0.3291082978248596,0.21812842786312103,0.4553544223308563,0.21812842786312103,0.22261030972003937,0.46001601219177246,0.514471173286438,0.10958964377641678,0.16691245138645172,0.22718772292137146,0.9999999403953552,0.16786395013332367
storage,0.18395499885082245,0.18915095925331116,0.23631079494953156,0.40304380655288696,0.1611064225435257,0.24070891737937927,0.1611064225435257,0.20862485468387604,0.2528782784938812,0.33615872263908386,0.21040380001068115,0.1631399244070053,0.2736855447292328,0.23631079494953156,0.15578968822956085
methods,0.23519274592399597,0.2658452093601227,0.2474757730960846,0.2584296762943268,0.23951947689056396,0.4588364064693451,0.23951947689056396,0.2484196424484253,0.31888657808303833,0.3592319190502167,0.19671206176280975,0.24755719304084778,0.3415316343307495,0.2474757730960846,0.19441695511341095
include,0.1535889357328415,0.27681633830070496,0.14477688074111938,0.18859222531318665,0.35606324672698975,0.27907595038414,0.35606324672698975,0.3915219306945801,0.1650150865316391,0.22393904626369476,0.20882941782474518,0.3469957113265991,0.39020416140556335,0.14477688074111938,0.14925788342952728
high,0.20466077327728271,0.15005089342594147,0.18708185851573944,0.19377501308918,0.27938312292099,0.21979597210884094,0.27938312292099,0.2911888659000397,0.15089383721351624,0.2174522429704666,0.12323418259620667,0.23253053426742554,0.1925620585680008,0.18708185851573944,0.11137914657592773
pressure,0.2625555694103241,0.15047042071819305,0.35798126459121704,0.240177184343338,0.21867604553699493,0.3512147068977356,0.21867604553699493,0.2595808804035187,0.24688704311847687,0.2567070722579956,0.11581306159496307,0.2102612406015396,0.16119280457496643,0.35798126459121704,0.142023503780365
oxygen,0.16781960427761078,0.22088919579982758,0.9999999403953552,0.3291082978248596,0.21812842786312103,0.4553544223308563,0.21812842786312103,0.22261030972003937,0.46001601219177246,0.514471173286438,0.10958964377641678,0.16691245138645172,0.22718772292137146,0.9999999403953552,0.16786395013332367
tanks,0.12450781464576721,0.176955446600914,0.3291082978248596,0.9999999403953552,0.28142067790031433,0.28073009848594666,0.28142067790031433,0.30689284205436707,0.2730672061443329,0.31039145588874817,0.13964824378490448,0.18646268546581268,0.22632211446762085,0.3291082978248596,0.1436709761619568
",",0.3087472915649414,0.3283645510673523,0.21812842786312103,0.28142067790031433,1.0000001192092896,0.316646933555603,1.0000001192092896,0.6633074283599854,0.20593619346618652,0.20700839161872864,0.2385157197713852,0.48816442489624023,0.4464869201183319,0.21812842786312103,0.31091248989105225
cryogenics,0.38064128160476685,0.29756420850753784,0.4553544223308563,0.28073009848594666,0.316646933555603,1.0,0.316646933555603,0.30869871377944946,0.4364028871059418,0.4637914001941681,0.22572365403175354,0.2978805601596832,0.3005286455154419,0.4553544223308563,0.23570795357227325
and,0.31309178471565247,0.276123583316803,0.22261030972003937,0.30689284205436707,0.6633074283599854,0.30869871377944946,0.6633074283599854,1.0,0.1947544515132904,0.25433242321014404,0.27672067284584045,0.49487000703811646,0.5064792633056641,0.22261030972003937,0.20544172823429108
chemical,0.26249468326568604,0.2511620819568634,0.46001601219177246,0.2730672061443329,0.20593619346618652,0.4364028871059418,0.20593619346618652,0.1947544515132904,0.9999999403953552,0.7057791352272034,0.09923185408115387,0.25971847772598267,0.23266151547431946,0.46001601219177246,0.2040288895368576
compounds,0.19472219049930573,0.27095097303390503,0.514471173286438,0.31039145588874817,0.20700839161872864,0.4637914001941681,0.20700839161872864,0.25433242321014404,0.7057791352272034,0.9999999403953552,0.21097590029239655,0.2726527154445648,0.27966490387916565,0.514471173286438,0.2057836651802063
.,0.3567904531955719,0.3613996207714081,0.2554275095462799,0.27335309982299805,0.6812511086463928,0.31564611196517944,0.6812511086463928,0.588965117931366,0.23593789339065552,0.23886778950691223,0.26939791440963745,0.515582263469696,0.4726039469242096,0.2554275095462799,0.4130953550338745
