,to,what,can,the,use,of,prolonged,breathing,of,oxygen,at,60,kpa,lead,?
prolonged,0.2451041340827942,0.20129916071891785,0.26054394245147705,0.3051854968070984,0.24934104084968567,0.2678810954093933,1.0,0.3711296617984772,0.2678810954093933,0.28448569774627686,0.23399175703525543,-0.0025057196617126465,0.23308014869689941,0.21375738084316254,0.19534046947956085
breathing,0.2888062000274658,0.22805334627628326,0.4022100865840912,0.21453244984149933,0.2752082347869873,0.1794356405735016,0.3711296617984772,1.0,0.1794356405735016,0.5621939897537231,0.15154656767845154,-0.019275497645139694,0.20692576467990875,0.2361951321363449,0.20811115205287933
of,0.41548454761505127,0.33290785551071167,0.2603091299533844,0.733189046382904,0.2750902473926544,1.0,0.2678810954093933,0.1794356405735016,1.0,0.16848602890968323,0.42558613419532776,0.05524682253599167,0.1648968756198883,0.19835850596427917,0.1826142966747284
an,0.3138085603713989,0.2821882665157318,0.23671309649944305,0.4207492768764496,0.24603988230228424,0.32280945777893066,0.19894444942474365,0.1719890683889389,0.32280945777893066,0.20976382493972778,0.2446778565645218,0.06699766963720322,0.10528639703989029,0.2059066742658615,0.19793890416622162
air,0.24103909730911255,0.10361403971910477,0.24445955455303192,0.2877824306488037,0.1958862990140915,0.24196814000606537,0.1691681295633316,0.46622997522354126,0.24196814000606537,0.3506372570991516,0.18523330986499786,-0.028207067400217056,0.2904895544052124,0.1506117284297943,0.1491677612066269
mixture,0.2140398621559143,0.187636598944664,0.2988482415676117,0.1835496872663498,0.31576383113861084,0.2121577262878418,0.2332882434129715,0.26467832922935486,0.2121577262878418,0.35354337096214294,0.13938140869140625,0.052262935787439346,0.17509755492210388,0.235523521900177,0.17455407977104187
with,0.4239959120750427,0.2464839518070221,0.3572797477245331,0.4223487675189972,0.3356984257698059,0.41827285289764404,0.2779441773891449,0.23420880734920502,0.41827285289764404,0.200663760304451,0.29126521944999695,0.15846878290176392,0.09730298817157745,0.22399857640266418,0.2433311939239502
an,0.3138085603713989,0.2821882665157318,0.23671309649944305,0.4207492768764496,0.24603988230228424,0.32280945777893066,0.19894444942474365,0.1719890683889389,0.32280945777893066,0.20976382493972778,0.2446778565645218,0.06699766963720322,0.10528639703989029,0.2059066742658615,0.19793890416622162
o,0.1644444614648819,0.1489914506673813,0.13634033501148224,0.19071193039417267,0.11803071200847626,0.16054381430149078,0.02451920695602894,0.15898755192756653,0.16054381430149078,0.2476140707731247,0.10196427255868912,-0.015170568600296974,0.17912431061267853,0.14267632365226746,0.23868927359580994
2,-0.0836251974105835,-0.049862053245306015,0.01035431306809187,-0.019434669986367226,-0.030575765296816826,-0.013777675107121468,0.03564809262752533,0.05700775235891342,-0.013777675107121468,0.04063820466399193,0.043934281915426254,0.03787372633814812,-0.023201406002044678,0.011206243187189102,0.001977203879505396
partial,0.19141130149364471,0.24140220880508423,0.2901739776134491,0.2313118278980255,0.214201882481575,0.2845287024974823,0.2786200940608978,0.18331731855869293,0.2845287024974823,0.15541093051433563,0.13921613991260529,0.11286301165819168,0.21917638182640076,0.05984703451395035,0.16151700913906097
pressure,0.30812981724739075,0.2625555694103241,0.2516952455043793,0.28285476565361023,0.23096168041229248,0.22627468407154083,0.252185583114624,0.40630093216896057,0.22627468407154083,0.35798126459121704,0.17761266231536865,0.02200533077120781,0.3506906032562256,0.16997486352920532,0.142023503780365
more,0.47084665298461914,0.3484537899494171,0.4044358730316162,0.39758381247520447,0.3766981065273285,0.30478984117507935,0.2900043725967407,0.2892155349254608,0.30478984117507935,0.265546053647995,0.2627858817577362,0.04579539597034454,0.1504879891872406,0.2169930785894394,0.27894994616508484
than,0.3192550539970398,0.29388150572776794,0.3532506823539734,0.3227543234825134,0.34420761466026306,0.33036211133003235,0.2632201015949249,0.2219897359609604,0.33036211133003235,0.25305241346359253,0.27679139375686646,-0.039525214582681656,0.18045847117900848,0.15391311049461365,0.24917294085025787
60,0.05980940908193588,0.07328611612319946,0.03129854053258896,0.04635925963521004,0.002061852253973484,0.05524682253599167,-0.0025057196617126465,-0.019275497645139694,0.05524682253599167,-0.03195719048380852,-0.018395232036709785,1.0000001192092896,-0.033386342227458954,-0.04222111776471138,0.06999651342630386
