,how,much,of,normal,is,the,oxygen,breathed,in,space,suits,?
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.25896620750427246,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.14991748332977295,1.0,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.25256022810935974,0.5823672413825989,1.0,0.20428593456745148,0.2186061441898346,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
case,0.22917897999286652,0.25058820843696594,0.24743439257144928,0.29402828216552734,0.26648613810539246,0.31022098660469055,0.19170716404914856,0.19747814536094666,0.2190418541431427,0.19912216067314148,0.2686552107334137,0.33232852816581726
of,0.2480744868516922,0.2671096920967102,1.0,0.2300747036933899,0.4854315221309662,0.733189046382904,0.16848602890968323,0.20122145116329193,0.5696388483047485,0.21300287544727325,0.2601613402366638,0.1826142966747284
spacesuits,0.2782447934150696,0.3537779450416565,0.2623348534107208,0.4087546765804291,0.23467068374156952,0.2870029807090759,0.45225977897644043,0.37505266070365906,0.23059479892253876,0.6504722237586975,0.6360346674919128,0.21940559148788452
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.25911128520965576,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.2596597969532013,0.5201468467712402,0.2285580337047577,0.21471096575260162,0.31091248989105225
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.25256022810935974,0.5823672413825989,1.0,0.20428593456745148,0.2186061441898346,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
o,0.1453389823436737,0.11613502353429794,0.16054381430149078,0.0685778260231018,0.18684464693069458,0.19071193039417267,0.2476140707731247,0.17857621610164642,0.17052006721496582,0.09991100430488586,0.15780816972255707,0.23868927359580994
2,-0.02554285153746605,-0.1400752067565918,-0.013777675107121468,-0.015597207471728325,-0.07940074801445007,-0.019434669986367226,0.04063820466399193,0.09872572869062424,0.01447046548128128,-0.05579118803143501,-0.11329872906208038,0.001977203879505396
partial,0.19622710347175598,0.20781725645065308,0.2845287024974823,0.2696976661682129,0.23120467364788055,0.2313118278980255,0.15541093051433563,0.16133426129817963,0.23465001583099365,0.16210150718688965,0.22832413017749786,0.16151700913906097
pressure,0.2370646893978119,0.3138648271560669,0.22627468407154083,0.2938547432422638,0.19239991903305054,0.28285476565361023,0.35798126459121704,0.35282623767852783,0.16116683185100555,0.21622900664806366,0.2517367899417877,0.142023503780365
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.25896620750427246,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.14991748332977295,1.0,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.25256022810935974,0.5823672413825989,1.0,0.20428593456745148,0.2186061441898346,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
breathing,0.2678857445716858,0.34920525550842285,0.1794356405735016,0.34052160382270813,0.19124522805213928,0.21453244984149933,0.5621939897537231,0.8182598352432251,0.16646145284175873,0.21788223087787628,0.2650686502456665,0.20811115205287933
gas,0.2305871844291687,0.23716126382350922,0.21246914565563202,0.2008333057165146,0.1897863894701004,0.2339978665113449,0.45564013719558716,0.363220751285553,0.20770272612571716,0.2566068172454834,0.2209891378879547,0.1582372784614563
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.2731911838054657,1.0,0.5823672413825989,0.21825239062309265,0.2097751796245575,0.5394441485404968,0.18578536808490753,0.19759035110473633,0.22961433231830597
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.25911128520965576,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.2596597969532013,0.5201468467712402,0.2285580337047577,0.21471096575260162,0.31091248989105225
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.25896620750427246,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.14991748332977295,1.0,0.17648501694202423,0.1673949509859085,0.20430970191955566
general,0.19638104736804962,0.20263729989528656,0.28352999687194824,0.18229898810386658,0.20144300162792206,0.28634732961654663,0.10775250941514969,0.09263528138399124,0.259066641330719,0.16632826626300812,0.054995905607938766,0.1972234547138214
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.25911128520965576,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.2596597969532013,0.5201468467712402,0.2285580337047577,0.21471096575260162,0.31091248989105225
about,0.44264400005340576,0.42681634426116943,0.40939709544181824,0.2433772087097168,0.3532065451145172,0.37995871901512146,0.1566355675458908,0.22911080718040466,0.39797019958496094,0.1689152717590332,0.1251201629638672,0.302409827709198
30,-0.0035910264123231173,0.06179108843207359,0.003304550424218178,-0.05252485349774361,0.01582122966647148,0.0730796679854393,0.01225299946963787,-0.03330513834953308,-0.005278158001601696,-0.05443284660577774,0.053760938346385956,-0.08261742442846298
kpa,0.19806653261184692,0.15727820992469788,0.1648968756198883,0.23069944977760315,0.19405466318130493,0.19373929500579834,0.2132871299982071,0.129927396774292,0.13205179572105408,0.16452330350875854,0.14495357871055603,0.2370387464761734
(,0.1676948219537735,0.21788647770881653,0.35032153129577637,0.20925313234329224,0.35393038392066956,0.33289089798927307,0.189798504114151,0.1557234674692154,0.3087427020072937,0.23673366010189056,0.09558625519275665,0.40561532974243164
1.4,0.22559292614459991,0.20700334012508392,0.30835142731666565,0.3279065191745758,0.23839454352855682,0.31343409419059753,0.2587288022041321,0.16656358540058136,0.2868213951587677,0.26420387625694275,0.2436898946762085,0.3414674699306488
times,0.2685738503932953,0.3250696063041687,0.24352745711803436,0.24404554069042206,0.21773184835910797,0.29093852639198303,0.16570967435836792,0.1621309220790863,0.2427823841571808,0.11916735768318176,0.19632399082183838,0.18880689144134521
normal,0.33218955993652344,0.42239636182785034,0.2300747036933899,0.9999999403953552,0.2731911838054657,0.25256022810935974,0.28902506828308105,0.2613430619239807,0.25896620750427246,0.242890864610672,0.2981773316860199,0.19617988169193268
),0.17939934134483337,0.22256317734718323,0.3680361211299896,0.2275071144104004,0.37732169032096863,0.3456730246543884,0.19541971385478973,0.14620621502399445,0.3326910734176636,0.24192531406879425,0.10823241621255875,0.42300865054130554
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.25911128520965576,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.2596597969532013,0.5201468467712402,0.2285580337047577,0.21471096575260162,0.31091248989105225
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.3120298683643341,0.3859752118587494,0.5171257257461548,0.22261030972003937,0.2273568958044052,0.4954058527946472,0.22901733219623566,0.2751924991607666,0.20544172823429108
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.25256022810935974,0.5823672413825989,1.0,0.20428593456745148,0.2186061441898346,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
resulting,0.22508853673934937,0.2957635521888733,0.3631994426250458,0.3415393829345703,0.2671727240085602,0.3905409574508667,0.24328576028347015,0.1881866604089737,0.3149644732475281,0.20110657811164856,0.20586231350898743,0.10813049972057343
o,0.1453389823436737,0.11613502353429794,0.16054381430149078,0.0685778260231018,0.18684464693069458,0.19071193039417267,0.2476140707731247,0.17857621610164642,0.17052006721496582,0.09991100430488586,0.15780816972255707,0.23868927359580994
2,-0.02554285153746605,-0.1400752067565918,-0.013777675107121468,-0.015597207471728325,-0.07940074801445007,-0.019434669986367226,0.04063820466399193,0.09872572869062424,0.01447046548128128,-0.05579118803143501,-0.11329872906208038,0.001977203879505396
partial,0.19622710347175598,0.20781725645065308,0.2845287024974823,0.2696976661682129,0.23120467364788055,0.2313118278980255,0.15541093051433563,0.16133426129817963,0.23465001583099365,0.16210150718688965,0.22832413017749786,0.16151700913906097
pressure,0.2370646893978119,0.3138648271560669,0.22627468407154083,0.2938547432422638,0.19239991903305054,0.28285476565361023,0.35798126459121704,0.35282623767852783,0.16116683185100555,0.21622900664806366,0.2517367899417877,0.142023503780365
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.25896620750427246,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.14991748332977295,1.0,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.25256022810935974,0.5823672413825989,1.0,0.20428593456745148,0.2186061441898346,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
astronaut,0.1200546994805336,0.14421969652175903,0.13872860372066498,0.13682298362255096,0.14218252897262573,0.12738145887851715,0.24104131758213043,0.2854425311088562,0.08780771493911743,0.47579529881477356,0.17617225646972656,0.13949722051620483
