,what,percentage,does,the,amazon,represents,in,rainforests,on,the,planet,?
states,0.21526020765304565,0.1540820449590683,0.18093830347061157,0.3463578522205353,0.17170429229736328,0.21550501883029938,0.3977442979812622,0.19337603449821472,0.2692825198173523,0.3463578522205353,0.16413956880569458,0.16272737085819244
or,0.33867141604423523,0.29796382784843445,0.4248845875263214,0.4174870550632477,0.18680624663829803,0.3442210555076599,0.3586423695087433,0.24493266642093658,0.2897229492664337,0.4174870550632477,0.20352406799793243,0.32389625906944275
departments,0.1946287304162979,0.18150018155574799,0.10541842877864838,0.322636216878891,0.16698206961154938,0.06857957690954208,0.2660248577594757,0.2549329400062561,0.1764124035835266,0.322636216878891,0.11393047869205475,0.11303292214870453
in,0.30808621644973755,0.18874377012252808,0.214483380317688,0.6662389636039734,0.12227833271026611,0.28071391582489014,1.0,0.24447718262672424,0.46853652596473694,0.6662389636039734,0.18041402101516724,0.20430970191955566
four,0.18057085573673248,0.15865013003349304,0.14431285858154297,0.40344667434692383,0.08940891921520233,0.17664647102355957,0.3085027039051056,0.2114103138446808,0.27816104888916016,0.40344667434692383,0.15945908427238464,0.14532537758350372
nations,0.19211222231388092,0.216608464717865,0.18832135200500488,0.3506215214729309,0.14019781351089478,0.28312987089157104,0.259304404258728,0.2190292328596115,0.2307199388742447,0.3506215214729309,0.1949801743030548,0.20999202132225037
contain,0.1832355558872223,0.21824169158935547,0.28833872079849243,0.26383090019226074,0.1483050286769867,0.27600574493408203,0.23975171148777008,0.24612806737422943,0.16834215819835663,0.26383090019226074,0.15462380647659302,0.18853069841861725
``,0.008517155423760414,0.17982427775859833,0.06539655476808548,0.029072100296616554,-0.05305168405175209,0.12734125554561615,0.04765888676047325,0.08338021486997604,-0.03274054825305939,0.029072100296616554,-0.05784473568201065,0.0685480609536171
amazonas,0.1709587126970291,0.1535951793193817,0.20615120232105255,0.2979772388935089,0.7496796250343323,0.20624877512454987,0.22229640185832977,0.5063137412071228,0.23414616286754608,0.2979772388935089,0.21386340260505676,0.17285984754562378
'',0.08143015950918198,-0.03317117318511009,-0.004023602232336998,0.041273195296525955,-0.049918122589588165,0.05957161635160446,0.07432962208986282,-0.071712426841259,0.04238596186041832,0.041273195296525955,0.0014417761703953147,0.018684765323996544
in,0.30808621644973755,0.18874377012252808,0.214483380317688,0.6662389636039734,0.12227833271026611,0.28071391582489014,1.0,0.24447718262672424,0.46853652596473694,0.6662389636039734,0.18041402101516724,0.20430970191955566
their,0.35142919421195984,0.2758558988571167,0.29094186425209045,0.516537070274353,0.15839874744415283,0.17899076640605927,0.34976133704185486,0.2368900328874588,0.3598666191101074,0.516537070274353,0.19186095893383026,0.1898253709077835
names,0.1840197592973709,0.11896270513534546,0.189533069729805,0.27965226769447327,0.13709159195423126,0.1630861759185791,0.19826655089855194,0.24870432913303375,0.16210991144180298,0.27965226769447327,0.14093244075775146,0.16607333719730377
.,0.3567904531955719,0.28866735100746155,0.3022993505001068,0.5934505462646484,0.262887567281723,0.23563289642333984,0.5591574311256409,0.25197991728782654,0.49257001280784607,0.5934505462646484,0.24422165751457214,0.4130953550338745
