,why,did,opec,raise,the,price,of,oil,to,$,5.11,?
in,0.23227278888225555,0.2593238651752472,0.24516436457633972,0.1973239779472351,0.6662389636039734,0.2097182273864746,0.5696388483047485,0.21800900995731354,0.45010748505592346,0.21616753935813904,0.2018558830022812,0.20430970191955566
response,0.28092360496520996,0.23455248773097992,0.21206332743167877,0.25637903809547424,0.28909924626350403,0.20819726586341858,0.21864040195941925,0.0970371812582016,0.277526319026947,0.1913394182920456,0.07457767426967621,0.2007838636636734
to,0.4100138247013092,0.4452643394470215,0.25495490431785583,0.34016725420951843,0.535392165184021,0.2590087652206421,0.41548454761505127,0.1619214415550232,1.0,0.22282108664512634,0.08816349506378174,0.29463258385658264
american,0.19654372334480286,0.21486236155033112,0.07987891882658005,0.15723775327205658,0.24562937021255493,0.20858927071094513,0.22180068492889404,0.1590273678302765,0.16338081657886505,0.20894353091716766,0.040433239191770554,0.18877598643302917
aid,0.1459229588508606,0.1701076328754425,0.2738218605518341,0.3005490005016327,0.21952909231185913,0.18953639268875122,0.20153990387916565,0.1583620011806488,0.2690417766571045,0.23399698734283447,0.07709990441799164,0.08358026295900345
to,0.4100138247013092,0.4452643394470215,0.25495490431785583,0.34016725420951843,0.535392165184021,0.2590087652206421,0.41548454761505127,0.1619214415550232,1.0,0.22282108664512634,0.08816349506378174,0.29463258385658264
israel,0.22977615892887115,0.16748307645320892,0.28120890259742737,0.2007586508989334,0.21617624163627625,0.15412339568138123,0.18146966397762299,0.14114989340305328,0.182975634932518,0.14188234508037567,0.1463395059108734,0.15015864372253418
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.2528770864009857,0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.44245919585227966,0.21166811883449554,0.08517684787511826,0.31091248989105225
on,0.2698206305503845,0.2670976221561432,0.15701349079608917,0.20450922846794128,0.5107308030128479,0.19911396503448486,0.3966929316520691,0.12803566455841064,0.41031414270401,0.16966626048088074,0.15322145819664001,0.2714994251728058
october,0.2107020765542984,0.2746104896068573,0.16644196212291718,0.12120208889245987,0.2621108889579773,0.17457015812397003,0.20846129953861237,0.12903504073619843,0.23106063902378082,0.24165311455726624,0.012569839134812355,0.29706719517707825
16,0.04482521489262581,0.015878839418292046,0.007955566048622131,0.1181451752781868,0.0058518932200968266,0.013963223434984684,0.005479797255247831,0.08918651938438416,0.055442724376916885,0.13106267154216766,0.02603164128959179,0.08446579426527023
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.2528770864009857,0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.44245919585227966,0.21166811883449554,0.08517684787511826,0.31091248989105225
1973,-0.19607025384902954,-0.23175965249538422,-0.06454210728406906,-0.216457799077034,-0.22297891974449158,-0.18864752352237701,-0.15240907669067383,-0.11623536795377731,-0.2857922613620758,-0.1950564980506897,-0.1117498129606247,-0.07644321769475937
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.2528770864009857,0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.44245919585227966,0.21166811883449554,0.08517684787511826,0.31091248989105225
opec,0.2295399159193039,0.16579832136631012,1.0,0.27048760652542114,0.3102748692035675,0.27403274178504944,0.30163517594337463,0.3863743841648102,0.25495490431785583,0.19418135285377502,0.13883231580257416,0.14867433905601501
raised,0.11667034775018692,0.199112206697464,0.07836952060461044,0.6096807718276978,0.2089216411113739,0.17918825149536133,0.21491092443466187,0.1728043109178543,0.18795548379421234,0.17482425272464752,0.10946155339479446,0.1332261711359024
the,0.30742117762565613,0.34736719727516174,0.3102748692035675,0.2657596468925476,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.535392165184021,0.23367542028427124,0.2219618856906891,0.22068053483963013
posted,0.32066354155540466,0.30364125967025757,0.15662723779678345,0.19546765089035034,0.23956431448459625,0.18886008858680725,0.1821797639131546,0.13499586284160614,0.23453709483146667,0.21026970446109772,0.053304273635149,0.32166787981987
price,0.10916681587696075,0.20305229723453522,0.27403274178504944,0.2861819267272949,0.22636492550373077,1.0,0.15675179660320282,0.3166557550430298,0.2590087652206421,0.3850068151950836,0.07745041698217392,0.14631175994873047
of,0.28464117646217346,0.2513895630836487,0.30163517594337463,0.2562425136566162,0.733189046382904,0.15675179660320282,1.0,0.22900764644145966,0.41548454761505127,0.11268499493598938,0.18940578401088715,0.1826142966747284
oil,0.20345439016819,0.10956666618585587,0.3863743841648102,0.1672513335943222,0.21849922835826874,0.3166557550430298,0.22900764644145966,1.0,0.1619214415550232,0.21180790662765503,0.11519623547792435,0.14867261052131653
by,0.19170543551445007,0.18574509024620056,0.1619173139333725,0.16105258464813232,0.4408751428127289,0.18747636675834656,0.3646814823150635,0.20634248852729797,0.33534231781959534,0.18890754878520966,0.10859408974647522,0.17966607213020325
70,-0.06920923292636871,-0.12820127606391907,-0.03156501427292824,-0.04041425511240959,-0.05826566368341446,-0.07367389649152756,-0.0392276793718338,0.008664420805871487,-0.03760145604610443,-0.13431787490844727,0.12398240715265274,-0.18177002668380737
%,0.19196875393390656,0.1450016051530838,0.19733864068984985,0.1631671041250229,0.21490740776062012,0.06674490123987198,0.19953428208827972,0.15217198431491852,0.18513022363185883,0.31025752425193787,-0.03413722664117813,0.21441808342933655
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.2528770864009857,0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.44245919585227966,0.21166811883449554,0.08517684787511826,0.31091248989105225
to,0.4100138247013092,0.4452643394470215,0.25495490431785583,0.34016725420951843,0.535392165184021,0.2590087652206421,0.41548454761505127,0.1619214415550232,1.0,0.22282108664512634,0.08816349506378174,0.29463258385658264
$,0.1711443066596985,0.23203131556510925,0.19418135285377502,0.2592424154281616,0.23367542028427124,0.3850068151950836,0.11268499493598938,0.21180790662765503,0.22282108664512634,1.0000001192092896,0.05656106024980545,0.2786129117012024
5.11,0.012838485650718212,0.06185347959399223,0.13883231580257416,0.060349006205797195,0.2219618856906891,0.07745041698217392,0.18940578401088715,0.11519623547792435,0.08816349506378174,0.05656106024980545,1.0000001192092896,-0.16115137934684753
a,0.2667238116264343,0.2552328109741211,0.22445102035999298,0.25990310311317444,0.5829201340675354,0.18269109725952148,0.5052502155303955,0.18393073976039886,0.45503583550453186,0.22939236462116241,0.059858668595552444,0.23916715383529663
barrel,0.19106031954288483,0.20079731941223145,0.23000377416610718,0.257201224565506,0.24735139310359955,0.27832135558128357,0.17000727355480194,0.28189224004745483,0.2075759470462799,0.22550445795059204,0.009110361337661743,0.175601065158844
.,0.32909876108169556,0.35288307070732117,0.27708402276039124,0.2937842607498169,0.5934505462646484,0.20274421572685242,0.5352458953857422,0.22117017209529877,0.4645031690597534,0.27897560596466064,0.05800938606262207,0.4130953550338745
