,during,what,time,did,the,rainforest,spanned,a,narrow,band,?
climate,0.23821045458316803,0.2854173183441162,0.1852523386478424,0.1748235523700714,0.2693597674369812,0.4462570548057556,0.18282867968082428,0.1805623322725296,0.18289245665073395,0.09710848331451416,0.19998492300510406
fluctuations,0.297692209482193,0.29794198274612427,0.34895384311676025,0.22806112468242645,0.34029945731163025,0.24064598977565765,0.27607303857803345,0.27831095457077026,0.22646375000476837,0.10571689903736115,0.21348461508750916
during,1.0,0.24137552082538605,0.49996283650398254,0.30679523944854736,0.4838213622570038,0.1900283694267273,0.3911505937576294,0.30341604351997375,0.14361810684204102,0.20518505573272705,0.1325719803571701
the,0.4838213622570038,0.42745697498321533,0.43061500787734985,0.34736719727516174,1.0,0.2571161389350891,0.2710992097854614,0.5829201340675354,0.3104094862937927,0.25564542412757874,0.22068053483963013
last,0.3807850182056427,0.23175878822803497,0.3435760736465454,0.30895525217056274,0.3698786795139313,0.16684876382350922,0.3046009838581085,0.2864423990249634,0.062306299805641174,0.1404644250869751,0.22371746599674225
34,-0.03150898218154907,0.05857600271701813,0.06982768326997757,-0.005714067257940769,0.0011487285373732448,0.12943638861179352,0.10181525349617004,0.007357734255492687,0.04882265254855156,0.09843660145998001,-0.004250505939126015
million,0.25557681918144226,0.22197039425373077,0.2323409467935562,0.1815238744020462,0.277012437582016,0.20938777923583984,0.30860644578933716,0.1811940222978592,0.1310259848833084,0.1425754725933075,0.23092924058437347
years,0.39110565185546875,0.1981470286846161,0.42289087176322937,0.2695724070072174,0.2912273406982422,0.1693250834941864,0.4300205409526825,0.23773819208145142,0.10797686874866486,0.13282784819602966,0.1914375126361847
have,0.27574852108955383,0.39808809757232666,0.3659670352935791,0.3783526122570038,0.40389683842658997,0.29352760314941406,0.13389287889003754,0.338716596364975,0.28669512271881104,0.19294743239879608,0.32991164922714233
allowed,0.2935246229171753,0.2693612575531006,0.3342318832874298,0.5197521448135376,0.2985120713710785,0.09976217895746231,0.23524968326091766,0.275193989276886,0.18163667619228363,0.15779171884059906,0.2309964895248413
savanna,0.2155587375164032,0.19796478748321533,0.16746164858341217,0.1234923005104065,0.25403106212615967,0.6205580234527588,0.16215990483760834,0.2304360270500183,0.30440887808799744,0.13243870437145233,0.13222691416740417
regions,0.21101130545139313,0.22129066288471222,0.21779097616672516,0.08265048265457153,0.36158451437950134,0.2877851128578186,0.12152694165706635,0.21088102459907532,0.21345263719558716,0.12537208199501038,0.11608363687992096
to,0.2828781306743622,0.455847829580307,0.3679993152618408,0.4452643394470215,0.535392165184021,0.23412610590457916,0.12249962240457535,0.45503583550453186,0.2536180913448334,0.24239279329776764,0.29463258385658264
expand,0.19707293808460236,0.31617993116378784,0.2737106382846832,0.2454342246055603,0.28561270236968994,0.1476983278989792,0.20143447816371918,0.21811479330062866,0.24489697813987732,0.14406174421310425,0.2819165587425232
into,0.2686498165130615,0.2180619090795517,0.1970222443342209,0.14888085424900055,0.39493247866630554,0.1185043603181839,0.19429543614387512,0.3461161255836487,0.2412765771150589,0.12762023508548737,0.15662476420402527
the,0.4838213622570038,0.42745697498321533,0.43061500787734985,0.34736719727516174,1.0,0.2571161389350891,0.2710992097854614,0.5829201340675354,0.3104094862937927,0.25564542412757874,0.22068053483963013
tropics,0.17904289066791534,0.20271454751491547,0.20435833930969238,0.12257717549800873,0.23706603050231934,0.5396296977996826,0.13611163198947906,0.17724643647670746,0.22649212181568146,0.16144193708896637,0.151444211602211
.,0.3485563397407532,0.3567904531955719,0.371569961309433,0.35288307070732117,0.5934505462646484,0.25713270902633667,0.25291940569877625,0.50484299659729,0.19551116228103638,0.26936691999435425,0.4130953550338745
,during,what,time,did,the,rainforest,spanned,a,narrow,band,?
during,1.0,0.24137552082538605,0.49996283650398254,0.30679523944854736,0.4838213622570038,0.1900283694267273,0.3911505937576294,0.30341604351997375,0.14361810684204102,0.20518505573272705,0.1325719803571701
the,0.4838213622570038,0.42745697498321533,0.43061500787734985,0.34736719727516174,1.0,0.2571161389350891,0.2710992097854614,0.5829201340675354,0.3104094862937927,0.25564542412757874,0.22068053483963013
oligocene,0.29575201869010925,0.18987597525119781,0.19754163920879364,0.18183334171772003,0.22206999361515045,0.36742180585861206,0.33009400963783264,0.14887689054012299,0.22182761132717133,0.1820468008518219,0.17752304673194885
",",0.3225448727607727,0.3087472915649414,0.3029961884021759,0.3015086054801941,0.4933079481124878,0.2737860679626465,0.24038858711719513,0.427140474319458,0.2165912240743637,0.281078964471817,0.31091248989105225
for,0.3448435664176941,0.3017193675041199,0.3992156386375427,0.318512886762619,0.4739971458911896,0.18492411077022552,0.2628263533115387,0.44038116931915283,0.16946011781692505,0.19538703560829163,0.264628142118454
example,0.19390994310379028,0.3456268310546875,0.31812599301338196,0.2528466582298279,0.3755223751068115,0.17980517446994781,0.13196705281734467,0.40234753489494324,0.18152347207069397,0.1583166867494583,0.30374911427497864
",",0.3225448727607727,0.3087472915649414,0.3029961884021759,0.3015086054801941,0.4933079481124878,0.2737860679626465,0.24038858711719513,0.427140474319458,0.2165912240743637,0.281078964471817,0.31091248989105225
the,0.4838213622570038,0.42745697498321533,0.43061500787734985,0.34736719727516174,1.0,0.2571161389350891,0.2710992097854614,0.5829201340675354,0.3104094862937927,0.25564542412757874,0.22068053483963013
rainforest,0.1900283694267273,0.22127854824066162,0.1914059817790985,0.0939265564084053,0.2571161389350891,1.0,0.14219892024993896,0.2497720569372177,0.2928636372089386,0.19688038527965546,0.1917492002248764
