,ctenophora,are,less,complex,than,which,other,phylum,?
),0.20206139981746674,0.2373749315738678,0.20886565744876862,0.19095344841480255,0.21982109546661377,0.2758678197860718,0.26200005412101746,0.17333227396011353,0.42300865054130554
",",0.20480060577392578,0.4062570035457611,0.28111666440963745,0.2636418044567108,0.3371901512145996,0.3658004403114319,0.4446498453617096,0.1682368367910385,0.31091248989105225
and,0.15281255543231964,0.48576638102531433,0.35327455401420593,0.2597591280937195,0.39361441135406494,0.506277859210968,0.5504306554794312,0.1842351108789444,0.20544172823429108
less,0.1151101216673851,0.37797531485557556,1.0,0.26385924220085144,0.7410463690757751,0.41259074211120605,0.3979056775569916,0.1498291939496994,0.22418740391731262
complex,0.22759464383125305,0.33041873574256897,0.26385924220085144,0.9999998807907104,0.25296974182128906,0.36717817187309265,0.2679487466812134,0.21629522740840912,0.17752902209758759
than,0.11119399964809418,0.39206281304359436,0.7410463690757751,0.25296974182128906,1.0,0.3974681496620178,0.5105555653572083,0.15103991329669952,0.24917294085025787
bilaterians,0.5298290848731995,0.36546286940574646,0.25496751070022583,0.2235826551914215,0.21661372482776642,0.35287320613861084,0.33965227007865906,0.4881514608860016,0.148935005068779
(,0.21480697393417358,0.23263892531394958,0.20576579868793488,0.18859760463237762,0.19419437646865845,0.2589828372001648,0.25035592913627625,0.16451124846935272,0.40561532974243164
which,0.31720638275146484,0.42922598123550415,0.41259074211120605,0.36717817187309265,0.3974681496620178,1.0,0.50507652759552,0.3238929212093353,0.25814583897590637
include,0.22910432517528534,0.5140694975852966,0.22075140476226807,0.18335464596748352,0.26059964299201965,0.33084139227867126,0.448042094707489,0.19881843030452728,0.14925788342952728
almost,0.21339984238147736,0.34548285603523254,0.3918832838535309,0.1619468778371811,0.3478420078754425,0.4336007535457611,0.3427431583404541,0.18844547867774963,0.1372147500514984
all,0.21237586438655853,0.5343062281608582,0.3057573437690735,0.26528844237327576,0.30176207423210144,0.50777268409729,0.5273400545120239,0.2760973572731018,0.29575422406196594
other,0.20437055826187134,0.5932393670082092,0.3979056775569916,0.2679487466812134,0.5105555653572083,0.50507652759552,0.9999999403953552,0.2072000503540039,0.24682199954986572
animals,0.4381978213787079,0.37765127420425415,0.2545740604400635,0.25173014402389526,0.2676951587200165,0.34123191237449646,0.33722957968711853,0.4512367844581604,0.16430135071277618
),0.20206139981746674,0.2373749315738678,0.20886565744876862,0.19095344841480255,0.21982109546661377,0.2758678197860718,0.26200005412101746,0.17333227396011353,0.42300865054130554
.,0.24174925684928894,0.3452940285205841,0.32668155431747437,0.2245299518108368,0.3594527542591095,0.45942068099975586,0.41511186957359314,0.18365411460399628,0.4130953550338745
