,what,is,featured,on,the,city,of,fresno,'s,city,flag,?
the,0.42745697498321533,0.5823672413825989,0.28660184144973755,0.5107308030128479,1.0,0.35769423842430115,0.733189046382904,0.22571885585784912,-0.01540423184633255,0.35769423842430115,0.27358174324035645,0.22068053483963013
name,0.18623162806034088,0.3359788954257965,0.14104698598384857,0.17627742886543274,0.3171212375164032,0.22892655432224274,0.24075818061828613,0.17195947468280792,0.08507627248764038,0.22892655432224274,0.22896766662597656,0.15381577610969543
fresno,0.159109428524971,0.2127077877521515,0.16344837844371796,0.25826847553253174,0.22571885585784912,0.2780216634273529,0.1875009983778,1.0000001192092896,0.032067470252513885,0.2780216634273529,0.11700502038002014,0.13224096596240997
means,0.2553325295448303,0.4087343215942383,0.10962001234292984,0.1561586558818817,0.32225894927978516,0.15473602712154388,0.29942914843559265,0.07483646273612976,0.047105882316827774,0.15473602712154388,0.1682894229888916,0.21233566105365753
``,0.008517155423760414,0.058766357600688934,-0.16002269089221954,-0.03274054825305939,0.029072100296616554,-0.009671642445027828,0.06780257821083069,0.05810604989528656,-0.03416389226913452,-0.009671642445027828,0.1511572301387787,0.0685480609536171
ash,0.1386452615261078,0.2020210176706314,0.1812487691640854,0.106008380651474,0.18908189237117767,0.09969817847013474,0.17366795241832733,0.05263657495379448,-0.05414127558469772,0.09969817847013474,0.10203016549348831,0.1842072457075119
tree,0.17175592482089996,0.2044319063425064,0.1347450315952301,0.17386440932750702,0.2565799951553345,0.14688777923583984,0.23309285938739777,0.117909736931324,0.024339331313967705,0.14688777923583984,0.19068464636802673,0.10740261524915695
'',0.08143015950918198,0.0793738141655922,0.06251674890518188,0.04238596186041832,0.041273195296525955,0.08278307318687439,0.13035868108272552,0.00738918874412775,-0.04859459400177002,0.08278307318687439,-0.051913801580667496,0.018684765323996544
in,0.30808621644973755,0.5394441485404968,0.2658694386482239,0.46853652596473694,0.6662389636039734,0.3911624252796173,0.5696388483047485,0.26126348972320557,-0.037580832839012146,0.3911624252796173,0.2019302099943161,0.20430970191955566
spanish,0.13950122892856598,0.14942079782485962,0.16750550270080566,0.13294139504432678,0.23213517665863037,0.20723602175712585,0.1623179167509079,0.21408884227275848,0.03341219201683998,0.20723602175712585,0.15932641923427582,0.14750491082668304
",",0.3087472915649414,0.4691906273365021,0.27189624309539795,0.49057599902153015,0.4933079481124878,0.35839709639549255,0.4946078956127167,0.2561432421207428,-0.0016132977325469255,0.35839709639549255,0.2366919368505478,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.26700839400291443,0.4077630043029785,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.21513071656227112,0.06895173341035843,0.2827445864677429,0.18767422437667847,0.20544172823429108
an,0.2821882665157318,0.4654068350791931,0.21413540840148926,0.3192969560623169,0.4207492768764496,0.17270074784755707,0.32280945777893066,0.15491461753845215,0.025255560874938965,0.17270074784755707,0.19065339863300323,0.19793890416622162
ash,0.1386452615261078,0.2020210176706314,0.1812487691640854,0.106008380651474,0.18908189237117767,0.09969817847013474,0.17366795241832733,0.05263657495379448,-0.05414127558469772,0.09969817847013474,0.10203016549348831,0.1842072457075119
leaf,0.10962338000535965,0.20085595548152924,0.08479134738445282,0.17860758304595947,0.23417067527770996,0.08848727494478226,0.18900522589683533,0.1586124449968338,0.08487020432949066,0.08848727494478226,0.1583484560251236,0.13678376376628876
is,0.28837618231773376,1.0,0.2173553705215454,0.3635730445384979,0.5823672413825989,0.3186660706996918,0.4854315221309662,0.2127077877521515,0.02396530658006668,0.3186660706996918,0.21856853365898132,0.22961433231830597
featured,0.20330384373664856,0.2173553705215454,0.9999999403953552,0.38461124897003174,0.28660184144973755,0.12680977582931519,0.2342860847711563,0.16344837844371796,-0.01579626277089119,0.12680977582931519,0.10630010813474655,0.2944096624851227
on,0.34226128458976746,0.3635730445384979,0.38461124897003174,0.9999999403953552,0.5107308030128479,0.2549738585948944,0.3966929316520691,0.25826847553253174,0.0026888418942689896,0.2549738585948944,0.18557922542095184,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.28660184144973755,0.5107308030128479,1.0,0.35769423842430115,0.733189046382904,0.22571885585784912,-0.01540423184633255,0.35769423842430115,0.27358174324035645,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.12680977582931519,0.2549738585948944,0.35769423842430115,1.0,0.32503411173820496,0.2780216634273529,0.004406440537422895,1.0,0.2574847936630249,0.13423943519592285
's,0.02692362666130066,0.02396530658006668,-0.01579626277089119,0.0026888418942689896,-0.01540423184633255,0.004406440537422895,-0.03817026689648628,0.032067470252513885,0.9999999403953552,0.004406440537422895,0.07073651999235153,-0.023395681753754616
flag,0.22701291739940643,0.21856853365898132,0.10630010813474655,0.18557922542095184,0.27358174324035645,0.2574847936630249,0.2675327956676483,0.11700502038002014,0.07073651999235153,0.2574847936630249,0.9999998807907104,0.1615789383649826
.,0.3567904531955719,0.4569662809371948,0.27540460228919983,0.49257001280784607,0.5934505462646484,0.29856356978416443,0.5352458953857422,0.2480216920375824,-0.003708066651597619,0.29856356978416443,0.24622589349746704,0.4130953550338745
