,what,entity,sparked,the,growth,of,fresno,station,?
soon,0.3005380630493164,0.1228063777089119,0.31063205003738403,0.3431394100189209,0.13244350254535675,0.23495697975158691,0.17123325169086456,0.17854216694831848,0.17460282146930695
there,0.35085538029670715,0.1972605288028717,0.3382657468318939,0.47025805711746216,0.22773556411266327,0.44397735595703125,0.21059735119342804,0.21220344305038452,0.29405656456947327
was,0.22111038863658905,0.1461799293756485,0.31552958488464355,0.48711544275283813,0.1385122835636139,0.4069072902202606,0.2749030292034149,0.18833480775356293,0.18412111699581146
a,0.3320399522781372,0.2841722071170807,0.23836402595043182,0.5829201340675354,0.21544985473155975,0.5052502155303955,0.22242428362369537,0.21760036051273346,0.23916715383529663
store,0.18931551277637482,0.1471165418624878,0.09387676417827606,0.2639283239841461,0.1501978039741516,0.21870145201683044,0.1310940831899643,0.29887309670448303,0.17555226385593414
around,0.27475327253341675,0.17147380113601685,0.27063268423080444,0.40085816383361816,0.2595178484916687,0.3296394646167755,0.22732719779014587,0.20284436643123627,0.14729668200016022
the,0.42745697498321533,0.2403784692287445,0.28801429271698,1.0,0.2912366986274719,0.733189046382904,0.22571885585784912,0.23609806597232819,0.22068053483963013
station,0.1613752841949463,0.1500878483057022,0.15022222697734833,0.23609806597232819,0.164412260055542,0.17394597828388214,0.22576799988746643,1.0,0.12574981153011322
and,0.31309178471565247,0.20907706022262573,0.2986220121383667,0.5171257257461548,0.2731747627258301,0.5116966962814331,0.21513071656227112,0.19091129302978516,0.20544172823429108
the,0.42745697498321533,0.2403784692287445,0.28801429271698,1.0,0.2912366986274719,0.733189046382904,0.22571885585784912,0.23609806597232819,0.22068053483963013
store,0.18931551277637482,0.1471165418624878,0.09387676417827606,0.2639283239841461,0.1501978039741516,0.21870145201683044,0.1310940831899643,0.29887309670448303,0.17555226385593414
grew,0.11968503892421722,0.03607869893312454,0.22917495667934418,0.226883202791214,0.3687930107116699,0.2421051263809204,0.23699671030044556,0.16484017670154572,0.05505307391285896
the,0.42745697498321533,0.2403784692287445,0.28801429271698,1.0,0.2912366986274719,0.733189046382904,0.22571885585784912,0.23609806597232819,0.22068053483963013
town,0.19713185727596283,0.16190634667873383,0.0982920303940773,0.2974243760108948,0.16110843420028687,0.26585668325424194,0.19167228043079376,0.32714831829071045,0.09902279824018478
of,0.33290785551071167,0.21258564293384552,0.3284795582294464,0.733189046382904,0.2679378092288971,1.0,0.1875009983778,0.17394597828388214,0.1826142966747284
fresno,0.159109428524971,0.20586812496185303,0.16846658289432526,0.22571885585784912,0.14159052073955536,0.1875009983778,1.0000001192092896,0.22576799988746643,0.13224096596240997
station,0.1613752841949463,0.1500878483057022,0.15022222697734833,0.23609806597232819,0.164412260055542,0.17394597828388214,0.22576799988746643,1.0,0.12574981153011322
",",0.3087472915649414,0.19129666686058044,0.2629772126674652,0.4933079481124878,0.2218456119298935,0.4946078956127167,0.2561432421207428,0.2482491284608841,0.31091248989105225
later,0.2517229914665222,0.16387295722961426,0.2844974100589752,0.4060266613960266,0.08369611948728561,0.3458743393421173,0.24106742441654205,0.15579663217067719,0.1417175978422165
called,0.3235960602760315,0.2039640247821808,0.27701202034950256,0.489897221326828,0.1688249260187149,0.4222904443740845,0.2189018428325653,0.18022853136062622,0.18963319063186646
fresno,0.159109428524971,0.20586812496185303,0.16846658289432526,0.22571885585784912,0.14159052073955536,0.1875009983778,1.0000001192092896,0.22576799988746643,0.13224096596240997
.,0.3567904531955719,0.24862751364707947,0.2694523334503174,0.5934505462646484,0.2825547754764557,0.5352458953857422,0.2480216920375824,0.20999185740947723,0.4130953550338745
