,from,where,was,von,braun,transferred,to,go,to,nasa,?
in,0.4274188280105591,0.5344807505607605,0.45514053106307983,0.20116294920444489,0.22284942865371704,0.34616342186927795,0.45010748505592346,0.22233200073242188,0.45010748505592346,0.15705716609954834,0.20430970191955566
the,0.40150508284568787,0.5003893971443176,0.48711544275283813,0.21817399561405182,0.18706366419792175,0.34201255440711975,0.535392165184021,0.29801803827285767,0.535392165184021,0.19786997139453888,0.22068053483963013
midst,0.2079736888408661,0.2110672891139984,0.21283376216888428,0.14671441912651062,0.11067645996809006,0.20276591181755066,0.24409228563308716,0.18239657580852509,0.24409228563308716,0.09418435394763947,0.07043880224227905
of,0.4249346852302551,0.38066378235816956,0.4069072902202606,0.19899946451187134,0.16651400923728943,0.33309000730514526,0.41548454761505127,0.21881330013275146,0.41548454761505127,0.17935146391391754,0.1826142966747284
these,0.2928802967071533,0.380450963973999,0.19784674048423767,0.12595927715301514,0.12041463702917099,0.18001478910446167,0.46852558851242065,0.2704227864742279,0.46852558851242065,0.18966905772686005,0.2571668326854706
plans,0.1369670331478119,0.20123893022537231,0.2542462646961212,0.19617852568626404,0.19900216162204742,0.18977367877960205,0.367337167263031,0.24394288659095764,0.367337167263031,0.22336256504058838,0.13513131439685822
",",0.39760664105415344,0.3149496018886566,0.45456063747406006,0.1878369003534317,0.30214038491249084,0.27208399772644043,0.44245919585227966,0.3043581247329712,0.44245919585227966,0.18665438890457153,0.31091248989105225
von,0.12214753776788712,0.14365892112255096,0.2042967826128006,1.0,0.5030989646911621,0.08474951237440109,0.17537063360214233,0.13184398412704468,0.17537063360214233,0.16673065721988678,0.13907472789287567
braun,0.16288352012634277,0.1873752474784851,0.23304033279418945,0.5030989646911621,1.0000001192092896,0.19195246696472168,0.16515924036502838,0.1345534324645996,0.16515924036502838,0.23862560093402863,0.2169470489025116
was,0.31171464920043945,0.20731619000434875,1.0000001192092896,0.2042967826128006,0.23304033279418945,0.2860136330127716,0.3636345863342285,0.16801296174526215,0.3636345863342285,0.19417528808116913,0.18412111699581146
transferred,0.3169066309928894,0.3593845069408417,0.2860136330127716,0.08474951237440109,0.19195246696472168,1.0000001192092896,0.2984115183353424,0.17643728852272034,0.2984115183353424,0.13844440877437592,0.1139405146241188
from,1.0,0.3713873624801636,0.31171464920043945,0.12214753776788712,0.16288352012634277,0.3169066309928894,0.4069952368736267,0.20520222187042236,0.4069952368736267,0.18990451097488403,0.19969791173934937
the,0.40150508284568787,0.5003893971443176,0.48711544275283813,0.21817399561405182,0.18706366419792175,0.34201255440711975,0.535392165184021,0.29801803827285767,0.535392165184021,0.19786997139453888,0.22068053483963013
army,0.2187274545431137,0.16231663525104523,0.30177709460258484,0.18500080704689026,0.21915318071842194,0.24653507769107819,0.22938482463359833,0.15382252633571625,0.22938482463359833,0.2580784261226654,0.180583193898201
to,0.4069952368736267,0.47735077142715454,0.3636345863342285,0.17537063360214233,0.16515924036502838,0.2984115183353424,1.0,0.384844571352005,1.0,0.21193136274814606,0.29463258385658264
nasa,0.18990451097488403,0.10755529254674911,0.19417528808116913,0.16673065721988678,0.23862560093402863,0.13844440877437592,0.21193136274814606,0.07973799854516983,0.21193136274814606,1.0000001192092896,0.1809994876384735
",",0.39760664105415344,0.3149496018886566,0.45456063747406006,0.1878369003534317,0.30214038491249084,0.27208399772644043,0.44245919585227966,0.3043581247329712,0.44245919585227966,0.18665438890457153,0.31091248989105225
and,0.3601827025413513,0.43859338760375977,0.3740963041782379,0.2179601788520813,0.23422572016716003,0.25792068243026733,0.48971283435821533,0.35260969400405884,0.48971283435821533,0.12810774147510529,0.20544172823429108
made,0.23003742098808289,0.20431210100650787,0.3433256447315216,0.12229932844638824,0.1164335086941719,0.18558327853679657,0.3377571105957031,0.16781507432460785,0.3377571105957031,0.19967365264892578,0.17218779027462006
director,0.16744063794612885,0.17680524289608002,0.30621418356895447,0.23207272589206696,0.18485955893993378,0.17366385459899902,0.1698155552148819,0.14933806657791138,0.1698155552148819,0.26589417457580566,0.09360282123088837
of,0.4249346852302551,0.38066378235816956,0.4069072902202606,0.19899946451187134,0.16651400923728943,0.33309000730514526,0.41548454761505127,0.21881330013275146,0.41548454761505127,0.17935146391391754,0.1826142966747284
the,0.40150508284568787,0.5003893971443176,0.48711544275283813,0.21817399561405182,0.18706366419792175,0.34201255440711975,0.535392165184021,0.29801803827285767,0.535392165184021,0.19786997139453888,0.22068053483963013
marshall,0.13570673763751984,0.09153106063604355,0.2693496644496918,0.24135027825832367,0.1941964328289032,0.13669267296791077,0.21343639492988586,0.0896642878651619,0.21343639492988586,0.36488077044487,0.18167579174041748
space,0.14363344013690948,0.2208663374185562,0.14677780866622925,0.09683036804199219,0.2468707263469696,0.1689298003911972,0.22712917625904083,0.18510514497756958,0.22712917625904083,0.4611377716064453,0.1885536164045334
flight,0.1899552047252655,0.15130078792572021,0.19139665365219116,0.15458756685256958,0.1436304897069931,0.17255747318267822,0.24953556060791016,0.17204582691192627,0.24953556060791016,0.33427855372428894,0.20568472146987915
center,0.15257422626018524,0.2405661791563034,0.19517986476421356,0.09751670062541962,0.18801414966583252,0.2556895613670349,0.17764393985271454,0.16181035339832306,0.17764393985271454,0.2250218689441681,0.12538520991802216
.,0.41536515951156616,0.41390106081962585,0.40146201848983765,0.20990465581417084,0.27233871817588806,0.2828300893306732,0.4645031690597534,0.3313661813735962,0.4645031690597534,0.22033250331878662,0.4130953550338745
