,when,did,the,launches,of,boilerplate,csms,occur,in,orbit,?
this,0.4959332048892975,0.3609912693500519,0.6274310946464539,0.2050885111093521,0.45148900151252747,0.4000896215438843,0.2822725474834442,0.30992093682289124,0.45205554366111755,0.22570039331912994,0.3155723512172699
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.2099534422159195,0.4069072902202606,0.08741790801286697,0.1380576640367508,0.0945671796798706,0.45514053106307983,0.1862146407365799,0.18412111699581146
followed,0.2927686870098114,0.2675115466117859,0.3567860722541809,0.23678742349147797,0.3060508966445923,0.24232952296733856,0.20677033066749573,0.25138741731643677,0.3307904005050659,0.1632741242647171,0.20567169785499573
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.16594932973384857,0.3646814823150635,0.18884718418121338,0.2178790122270584,0.10774006694555283,0.370934396982193,0.15619000792503357,0.17966607213020325
five,0.2892635762691498,0.1999429613351822,0.41977158188819885,0.16522885859012604,0.3980514109134674,0.15443383157253265,0.1945052593946457,0.22607488930225372,0.3634254038333893,0.18290066719055176,0.18342848122119904
launches,0.2123440057039261,0.15470793843269348,0.26606911420822144,0.9999999403953552,0.22261865437030792,0.22044716775417328,0.2911511957645416,0.13446016609668732,0.19319167733192444,0.38532137870788574,0.1693142056465149
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22261865437030792,1.0,0.19810763001441956,0.2574027478694916,0.24223870038986206,0.5696388483047485,0.13123251497745514,0.1826142966747284
boilerplate,0.30547598004341125,0.1570616513490677,0.2695338726043701,0.22044716775417328,0.19810763001441956,1.0,0.3688059449195862,0.26228174567222595,0.20971587300300598,0.24788182973861694,0.4046992063522339
csms,0.22741200029850006,0.22393624484539032,0.24143372476100922,0.2911511957645416,0.2574027478694916,0.3688059449195862,1.0,0.28253933787345886,0.22341521084308624,0.24975356459617615,0.2516556680202484
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.16948087513446808,0.35032153129577637,0.2251865118741989,0.20775361359119415,0.1883157342672348,0.3087427020072937,0.1564016044139862,0.40561532974243164
designated,0.16771680116653442,0.10455703735351562,0.23178240656852722,0.1900821328163147,0.22357919812202454,0.19385693967342377,0.19515851140022278,0.15461911261081696,0.25212356448173523,0.1867964118719101,0.1318070888519287
as-101,0.094874806702137,0.047823358327150345,0.03947125002741814,0.11493447422981262,0.05708545818924904,0.15280354022979736,0.12519459426403046,0.08749363571405411,-0.030637362971901894,0.086297906935215,0.20385338366031647
through,0.34666842222213745,0.14190755784511566,0.44071322679519653,0.268174409866333,0.3647414743900299,0.1943034827709198,0.2290063351392746,0.20928645133972168,0.38533157110214233,0.19723770022392273,0.16913433372974396
as-105,0.23143991827964783,0.18759748339653015,0.16560575366020203,0.1645488291978836,0.18312622606754303,0.13211894035339355,0.16282878816127777,0.1272471845149994,0.09385903179645538,0.08781781047582626,0.27011290192604065
),0.2538422644138336,0.18584993481636047,0.3456730246543884,0.16253232955932617,0.3680361211299896,0.24592240154743195,0.20159892737865448,0.16774746775627136,0.3326910734176636,0.16763797402381897,0.42300865054130554
into,0.389646977186203,0.14888085424900055,0.39493247866630554,0.24570389091968536,0.32255905866622925,0.20540575683116913,0.1346571296453476,0.17925816774368286,0.38021373748779297,0.20694918930530548,0.15662476420402527
orbit,0.1811075508594513,0.1529427319765091,0.1565481424331665,0.38532137870788574,0.13123251497745514,0.24788182973861694,0.24975356459617615,0.1521926075220108,0.13808301091194153,1.0000001192092896,0.16621392965316772
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.19319167733192444,0.5696388483047485,0.20971587300300598,0.22341521084308624,0.26916563510894775,1.0,0.13808301091194153,0.20430970191955566
1964,-0.07723727822303772,-0.1228223368525505,-0.01880853809416294,-0.029702411964535713,0.008202686905860901,-0.07237119227647781,-0.024774324148893356,0.11879869550466537,0.00943821482360363,0.013585354201495647,0.041380032896995544
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.20145733654499054,0.5116966962814331,0.22493964433670044,0.284368634223938,0.2570546269416809,0.4954058527946472,0.1805662214756012,0.20544172823429108
1965,0.18322375416755676,0.12525860965251923,0.09033208340406418,-0.06332121044397354,0.026806743815541267,0.159444659948349,0.05952974036335945,0.035929325968027115,0.006827604491263628,0.18520884215831757,0.26302391290664673
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.19127623736858368,0.5352458953857422,0.3096144199371338,0.30949583649635315,0.21290622651576996,0.5591574311256409,0.19304080307483673,0.4130953550338745
