,in,1940,",",what,percentage,of,the,population,in,fresno,was,asian,?
in,1.0,-0.2688147723674774,0.5201468467712402,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.6662389636039734,0.3268454372882843,1.0,0.26126348972320557,0.45514053106307983,0.18836280703544617,0.20430970191955566
1940,-0.2688147723674774,1.0,-0.20017379522323608,-0.07308361679315567,-0.21410724520683289,-0.15520741045475006,-0.22581081092357635,-0.2155899703502655,-0.2688147723674774,-0.19810333847999573,-0.21211829781532288,-0.1825639009475708,-0.1460566520690918
",",0.5201468467712402,-0.20017379522323608,1.0000001192092896,0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.5201468467712402,0.2561432421207428,0.45456063747406006,0.21664521098136902,0.31091248989105225
the,0.6662389636039734,-0.22581081092357635,0.4933079481124878,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.32044094800949097,0.6662389636039734,0.22571885585784912,0.48711544275283813,0.2710895538330078,0.22068053483963013
census,0.2571312189102173,-0.14762747287750244,0.2530386745929718,0.2061002552509308,0.27352070808410645,0.19615516066551208,0.2524987757205963,0.6778454184532166,0.2571312189102173,0.27571749687194824,0.1721275895833969,0.11059242486953735,0.12548218667507172
bureau,0.23286110162734985,-0.09414957463741302,0.23454952239990234,0.183439701795578,0.14967554807662964,0.23669974505901337,0.26302388310432434,0.3985957205295563,0.23286110162734985,0.22058047354221344,0.21380817890167236,0.2231583148241043,0.12716132402420044
reported,0.25024300813674927,-0.18895776569843292,0.2771649956703186,0.16211873292922974,0.1494409590959549,0.23745855689048767,0.24444028735160828,0.22233305871486664,0.25024300813674927,0.25361859798431396,0.2993243634700775,0.12176378816366196,0.16150116920471191
fresno,0.26126348972320557,-0.19810333847999573,0.2561432421207428,0.159109428524971,0.12458804249763489,0.1875009983778,0.22571885585784912,0.22022370994091034,0.26126348972320557,1.0000001192092896,0.2749030292034149,0.13279418647289276,0.13224096596240997
's,-0.037580832839012146,0.021963145583868027,-0.0016132977325469255,0.02692362666130066,0.14816685020923615,-0.03817026689648628,-0.01540423184633255,0.012951160781085491,-0.037580832839012146,0.032067470252513885,0.008974763564765453,0.08406947553157806,-0.023395681753754616
population,0.3268454372882843,-0.2155899703502655,0.2967977225780487,0.2000674307346344,0.35606327652931213,0.3060894012451172,0.32044094800949097,1.0,0.3268454372882843,0.22022370994091034,0.1935066133737564,0.18438513576984406,0.14449454843997955
as,0.3887844979763031,-0.06761087477207184,0.48816442489624023,0.31749409437179565,0.19401364028453827,0.3886612355709076,0.48381632566452026,0.22002090513706207,0.3887844979763031,0.13437435030937195,0.3677520453929901,0.18079937994480133,0.27043893933296204
94.0,0.2764114737510681,-0.09251400828361511,0.11552149057388306,0.013411387801170349,-0.0033436331432312727,0.2207583487033844,0.2883499562740326,0.17494797706604004,0.2764114737510681,0.23658347129821777,0.18324023485183716,0.11060811579227448,-0.07333492487668991
%,0.19465309381484985,-0.21988464891910553,0.22757403552532196,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.19465309381484985,0.16213113069534302,0.11743833869695663,0.22812187671661377,0.21441808342933655
white,0.1821274310350418,-0.073871910572052,0.27337658405303955,0.1410645991563797,0.24046577513217926,0.23826628923416138,0.25492873787879944,0.14588037133216858,0.1821274310350418,0.20274634659290314,0.17150278389453888,0.27851229906082153,0.124679796397686
",",0.5201468467712402,-0.20017379522323608,1.0000001192092896,0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.5201468467712402,0.2561432421207428,0.45456063747406006,0.21664521098136902,0.31091248989105225
3.3,0.17669935524463654,-0.30138152837753296,0.07356074452400208,-0.03182145580649376,0.08307228982448578,0.17471787333488464,0.1666160225868225,0.20579509437084198,0.17669935524463654,0.09340821206569672,0.0929606631398201,0.01959499716758728,-0.14369747042655945
%,0.19465309381484985,-0.21988464891910553,0.22757403552532196,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.19465309381484985,0.16213113069534302,0.11743833869695663,0.22812187671661377,0.21441808342933655
black,0.20407067239284515,-0.04981624707579613,0.23807229101657867,0.12054000794887543,0.16568152606487274,0.23966942727565765,0.28466513752937317,0.17196610569953918,0.20407067239284515,0.19109630584716797,0.1419273465871811,0.30796825885772705,0.15159966051578522
and,0.4954058527946472,-0.16331827640533447,0.6633074283599854,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.4954058527946472,0.21513071656227112,0.3740963041782379,0.20807486772537231,0.20544172823429108
2.7,0.2364632785320282,-0.26987603306770325,0.24592754244804382,0.1836073398590088,0.057785507291555405,0.15181715786457062,0.13886943459510803,0.24088460206985474,0.2364632785320282,0.2991195321083069,0.20507867634296417,0.04282836243510246,0.17083290219306946
%,0.19465309381484985,-0.21988464891910553,0.22757403552532196,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.19465309381484985,0.16213113069534302,0.11743833869695663,0.22812187671661377,0.21441808342933655
asian,0.18836280703544617,-0.1825639009475708,0.21664521098136902,0.06828422844409943,0.17152796685695648,0.24605733156204224,0.2710895538330078,0.18438513576984406,0.18836280703544617,0.13279418647289276,0.15075916051864624,0.9999999403953552,0.10526347905397415
.,0.5591574311256409,-0.23981401324272156,0.6812511086463928,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.5591574311256409,0.2480216920375824,0.40146201848983765,0.2310253083705902,0.4130953550338745
