,in,what,year,were,the,distinguished,service,medals,awarded,to,grissom,",",white,",",and,chaffee,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.3906462490558624,1.0,0.23548999428749084,0.22661015391349792,0.2405172437429428,0.24971646070480347,0.535392165184021,0.23234018683433533,0.4933079481124878,0.25492873787879944,0.4933079481124878,0.5171257257461548,0.2939971685409546,0.22068053483963013
medals,0.22939172387123108,0.15128861367702484,0.20454826951026917,0.23993152379989624,0.2405172437429428,0.3827197551727295,0.2460690587759018,1.0,0.5340951085090637,0.17847849428653717,0.24327804148197174,0.2821551263332367,0.1778888702392578,0.2821551263332367,0.2282160520553589,0.20573270320892334,0.14154797792434692
were,0.3815755248069763,0.22298263013362885,0.23735305666923523,1.0000001192092896,0.3906462490558624,0.1614367663860321,0.15802285075187683,0.23993152379989624,0.1946011483669281,0.31913647055625916,0.2162122130393982,0.36755475401878357,0.20375953614711761,0.36755475401878357,0.42175528407096863,0.25871506333351135,0.17890112102031708
awarded,0.25735601782798767,0.0973663404583931,0.30510014295578003,0.1946011483669281,0.24971646070480347,0.44644755125045776,0.2488624006509781,0.5340951085090637,1.0,0.17180772125720978,0.23862646520137787,0.2723027765750885,0.15797322988510132,0.2723027765750885,0.20351465046405792,0.18259258568286896,0.1431703418493271
posthumously,0.2055041491985321,0.16169004142284393,0.24737395346164703,0.267459899187088,0.2437174916267395,0.3393412232398987,0.22896111011505127,0.4052027761936188,0.5226993560791016,0.12914881110191345,0.2730361223220825,0.19392962753772736,0.20091409981250763,0.19392962753772736,0.13505162298679352,0.17133226990699768,0.19097557663917542
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.31913647055625916,0.535392165184021,0.17559397220611572,0.24411341547966003,0.17847849428653717,0.17180772125720978,1.0,0.19863857328891754,0.44245919585227966,0.23700939118862152,0.44245919585227966,0.48971283435821533,0.21649853885173798,0.29463258385658264
grissom,0.2247563600540161,0.13937507569789886,0.1787172555923462,0.2162122130393982,0.23234018683433533,0.22565233707427979,0.1595403254032135,0.24327804148197174,0.23862646520137787,0.19863857328891754,1.0,0.32877612113952637,0.4158772826194763,0.32877612113952637,0.28670743107795715,0.6115756630897522,0.20562298595905304
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.36755475401878357,0.4933079481124878,0.2457086145877838,0.2389259785413742,0.2821551263332367,0.2723027765750885,0.44245919585227966,0.32877612113952637,1.0000001192092896,0.27337658405303955,1.0000001192092896,0.6633074283599854,0.3729091286659241,0.31091248989105225
white,0.1821274310350418,0.1410645991563797,0.11262347549200058,0.20375953614711761,0.25492873787879944,0.1868976354598999,0.12717126309871674,0.1778888702392578,0.15797322988510132,0.23700939118862152,0.4158772826194763,0.27337658405303955,1.0,0.27337658405303955,0.2696375846862793,0.3410107493400574,0.124679796397686
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.36755475401878357,0.4933079481124878,0.2457086145877838,0.2389259785413742,0.2821551263332367,0.2723027765750885,0.44245919585227966,0.32877612113952637,1.0000001192092896,0.27337658405303955,1.0000001192092896,0.6633074283599854,0.3729091286659241,0.31091248989105225
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.42175528407096863,0.5171257257461548,0.2505932152271271,0.24532052874565125,0.2282160520553589,0.20351465046405792,0.48971283435821533,0.28670743107795715,0.6633074283599854,0.2696375846862793,0.6633074283599854,1.0,0.34135451912879944,0.20544172823429108
chaffee,0.2393902838230133,0.2119944542646408,0.14680734276771545,0.25871506333351135,0.2939971685409546,0.1880207657814026,0.21505166590213776,0.20573270320892334,0.18259258568286896,0.21649853885173798,0.6115756630897522,0.3729091286659241,0.3410107493400574,0.3729091286659241,0.34135451912879944,0.9999999403953552,0.2570136785507202
in,1.0,0.30808621644973755,0.3359307050704956,0.3815755248069763,0.6662389636039734,0.23769603669643402,0.1740635335445404,0.22939172387123108,0.25735601782798767,0.45010748505592346,0.2247563600540161,0.5201468467712402,0.1821274310350418,0.5201468467712402,0.4954058527946472,0.2393902838230133,0.20430970191955566
1969,0.20296303927898407,0.17037658393383026,0.14029541611671448,0.22781121730804443,0.22767919301986694,0.28955167531967163,0.12963229417800903,0.22685134410858154,0.30919185280799866,0.2237721085548401,0.39544591307640076,0.2538421154022217,0.24536705017089844,0.2538421154022217,0.21076583862304688,0.3748544752597809,0.19860808551311493
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.36755475401878357,0.4933079481124878,0.2457086145877838,0.2389259785413742,0.2821551263332367,0.2723027765750885,0.44245919585227966,0.32877612113952637,1.0000001192092896,0.27337658405303955,1.0000001192092896,0.6633074283599854,0.3729091286659241,0.31091248989105225
then,0.36253848671913147,0.4072686731815338,0.24939334392547607,0.23886403441429138,0.4297412931919098,0.11051581799983978,0.1748211532831192,0.1410382241010666,0.14918887615203857,0.5203860402107239,0.23992960155010223,0.36768391728401184,0.22114765644073486,0.36768391728401184,0.4372139573097229,0.21181686222553253,0.2884598970413208
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.31913647055625916,0.535392165184021,0.17559397220611572,0.24411341547966003,0.17847849428653717,0.17180772125720978,1.0,0.19863857328891754,0.44245919585227966,0.23700939118862152,0.44245919585227966,0.48971283435821533,0.21649853885173798,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.3906462490558624,1.0,0.23548999428749084,0.22661015391349792,0.2405172437429428,0.24971646070480347,0.535392165184021,0.23234018683433533,0.4933079481124878,0.25492873787879944,0.4933079481124878,0.5171257257461548,0.2939971685409546,0.22068053483963013
crews,0.16746020317077637,0.14378176629543304,0.0943901389837265,0.321278840303421,0.19271017611026764,0.21637994050979614,0.28018638491630554,0.26362672448158264,0.15763942897319794,0.24904169142246246,0.3439357280731201,0.2586623728275299,0.12273427844047546,0.2586623728275299,0.3280293345451355,0.3525039255619049,0.11821021884679794
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.34038281440734863,0.733189046382904,0.2957158386707306,0.18425606191158295,0.21084371209144592,0.2630610167980194,0.41548454761505127,0.1430860161781311,0.4946078956127167,0.23826628923416138,0.4946078956127167,0.5116966962814331,0.22950902581214905,0.1826142966747284
all,0.3335905969142914,0.41981086134910583,0.2920427918434143,0.4387909770011902,0.4860881567001343,0.1586802750825882,0.23081640899181366,0.28870752453804016,0.1549087017774582,0.42520734667778015,0.1653498262166977,0.425624817609787,0.19955427944660187,0.425624817609787,0.4542157053947449,0.19442437589168549,0.29575422406196594
missions,0.2733149528503418,0.21898438036441803,0.1521155834197998,0.30557745695114136,0.26288601756095886,0.16462862491607666,0.2647538185119629,0.24330578744411469,0.23266635835170746,0.29123765230178833,0.28143030405044556,0.2626538574695587,0.11710508167743683,0.2626538574695587,0.2856438457965851,0.2524679899215698,0.21422071754932404
