,which,is,one,of,the,park,features,located,in,north,fresno,?
woodward,0.23245452344417572,0.19685564935207367,0.12043779343366623,0.2368510216474533,0.2085409164428711,0.1324821412563324,0.21154899895191193,0.06646768748760223,0.28123074769973755,0.13408389687538147,0.2083505541086197,0.13852813839912415
park,0.22263368964195251,0.2076987773180008,0.19555504620075226,0.24561640620231628,0.24748283624649048,1.0,0.19584648311138153,0.31520238518714905,0.22758090496063232,0.31304728984832764,0.2707971930503845,0.13508929312229156
",",0.3658004403114319,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.22495080530643463,0.2743610739707947,0.2678719460964203,0.5201468467712402,0.31834840774536133,0.2561432421207428,0.31091248989105225
which,1.0,0.4457404911518097,0.510688066482544,0.5011631846427917,0.6521818041801453,0.22263368964195251,0.389988511800766,0.29797419905662537,0.4840516746044159,0.2384447455406189,0.14756552875041962,0.25814583897590637
features,0.389988511800766,0.28435954451560974,0.3053974509239197,0.2464914619922638,0.29863014817237854,0.19584648311138153,1.0,0.17446547746658325,0.24970319867134094,0.163268581032753,0.17593131959438324,0.23497378826141357
the,0.6521818041801453,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.24748283624649048,0.29863014817237854,0.407527357339859,0.6662389636039734,0.36298373341560364,0.22571885585784912,0.22068053483963013
shinzen,0.21722781658172607,0.23314234614372253,0.22724856436252594,0.24481821060180664,0.2599010765552521,0.22345663607120514,0.16668175160884857,0.14835883677005768,0.2356230914592743,0.21923695504665375,0.2676751911640167,0.17537176609039307
japanese,0.19711120426654816,0.20400524139404297,0.2061820924282074,0.2048201858997345,0.21599429845809937,0.1260739266872406,0.12713859975337982,0.07418811321258545,0.1623581349849701,0.14256490767002106,0.16877061128616333,0.12021756172180176
gardens,0.22749637067317963,0.1537254899740219,0.17632126808166504,0.26243776082992554,0.21929459273815155,0.49763840436935425,0.19105158746242523,0.25310856103897095,0.22134746611118317,0.21763692796230316,0.20618665218353271,0.1399904191493988
",",0.3658004403114319,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.22495080530643463,0.2743610739707947,0.2678719460964203,0.5201468467712402,0.31834840774536133,0.2561432421207428,0.31091248989105225
numerous,0.3937303423881531,0.14785398542881012,0.3148730397224426,0.3024154603481293,0.3353725075721741,0.16793487966060638,0.35447168350219727,0.1334277242422104,0.30740252137184143,0.14278100430965424,0.1784215271472931,0.0875130444765091
picnic,0.18298381567001343,0.19563189148902893,0.1881246566772461,0.17332927882671356,0.20625877380371094,0.3803335726261139,0.1834757775068283,0.22762084007263184,0.23858924210071564,0.26586222648620605,0.1953069418668747,0.13968902826309204
areas,0.34350457787513733,0.28282591700553894,0.2672261595726013,0.2803763747215271,0.3311663568019867,0.27975666522979736,0.3010154664516449,0.30247756838798523,0.33029478788375854,0.30396631360054016,0.1518738716840744,0.1273590475320816
