,when,was,the,tower,theatre,built,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2398453801870346,0.25594043731689453,0.2950156033039093,0.22068053483963013
theater,0.19571197032928467,0.3185870051383972,0.2354130744934082,0.1374962031841278,0.7051050662994385,0.20034438371658325,0.12811817228794098
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.18529865145683289,0.2824205458164215,0.3424932360649109,0.18412111699581146
built,0.19830277562141418,0.3424932360649109,0.2950156033039093,0.36105698347091675,0.22830547392368317,1.0000001192092896,0.09449632465839386
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.22630389034748077,0.26776230335235596,0.25829681754112244,0.20430970191955566
1939,0.281677782535553,0.2539779245853424,0.3322303593158722,0.08680751174688339,-0.015920007601380348,0.10731426626443863,-0.0777229517698288
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.23948386311531067,0.2638216018676758,0.2814858853816986,0.20544172823429108
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.1400395631790161,0.17514966428279877,0.17778918147087097,0.22961433231830597
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.18812096118927002,0.29836171865463257,0.2754790186882019,0.21978627145290375
olive,0.19605986773967743,0.1314791440963745,0.20599529147148132,0.08139616996049881,0.1143181100487709,0.06267093122005463,0.14976593852043152
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.23948386311531067,0.2638216018676758,0.2814858853816986,0.20544172823429108
wishon,0.1714245080947876,0.27424484491348267,0.2515537142753601,0.2555485665798187,0.2563225030899048,0.13956318795681,0.30935534834861755
avenues,0.09733539074659348,0.18998421728610992,0.2859298288822174,0.2781578004360199,0.2781798243522644,0.3445020020008087,0.08417343348264694
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.22630389034748077,0.26776230335235596,0.25829681754112244,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.2398453801870346,0.25594043731689453,0.2950156033039093,0.22068053483963013
heart,0.16694854199886322,0.23247237503528595,0.23747070133686066,0.11184938251972198,0.12340204417705536,0.1263836920261383,0.11825142055749893
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2271278351545334,0.19807180762290955,0.23442776501178741,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2398453801870346,0.25594043731689453,0.2950156033039093,0.22068053483963013
tower,0.13673999905586243,0.18529865145683289,0.2398453801870346,1.0,0.19530144333839417,0.36105698347091675,0.10395228117704391
district,0.16475698351860046,0.20266084372997284,0.2690705955028534,0.20217934250831604,0.1430993229150772,0.1625782996416092,0.06725285202264786
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.21111081540584564,0.2394188642501831,0.2374027520418167,0.4130953550338745
