,what,type,of,missions,were,approved,by,mueller,after,the,incident,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2733149528503418,0.3815755248069763,0.23346227407455444,0.370934396982193,0.24005226790905,0.44050168991088867,0.6662389636039734,0.19648437201976776,0.20430970191955566
september,0.2153792530298233,0.07305274903774261,0.16787530481815338,0.1447182297706604,0.19778019189834595,0.24290809035301208,0.20146453380584717,0.2699428200721741,0.3386346399784088,0.2516939043998718,0.2865891754627228,0.2665146589279175
1967,-0.0218155886977911,-0.0557846799492836,0.07289459556341171,-0.1345202475786209,-0.07374727725982666,0.04565016180276871,-0.0349467396736145,-0.08719568699598312,-0.09997565299272537,-0.012038951739668846,-0.12791414558887482,0.017933469265699387
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2626538574695587,0.36755475401878357,0.28550124168395996,0.3680937886238098,0.3152562379837036,0.38860568404197693,0.4933079481124878,0.2505533993244171,0.31091248989105225
mueller,0.1313520073890686,0.14880333840847015,0.16156543791294098,0.18054236471652985,0.12922100722789764,0.17748795449733734,0.20300999283790588,1.0,0.20353370904922485,0.2319459170103073,0.11846277117729187,0.1575169712305069
approved,0.23795665800571442,0.14318221807479858,0.3106788992881775,0.2054975926876068,0.19848071038722992,1.0,0.297686904668808,0.17748795449733734,0.2736037075519562,0.30207422375679016,0.13326282799243927,0.25914356112480164
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2459585964679718,0.17203083634376526,0.272470086812973,0.32094135880470276,0.22967667877674103,0.3831600844860077,0.5829201340675354,0.22516049444675446,0.23916715383529663
sequence,0.19736266136169434,0.2041226327419281,0.20772917568683624,0.14145158231258392,0.19979342818260193,0.19533728063106537,0.18199031054973602,0.13170747458934784,0.14462615549564362,0.2635619342327118,0.15396438539028168,0.1508881151676178
of,0.33290785551071167,0.18112817406654358,1.0,0.2598918080329895,0.34038281440734863,0.3106788992881775,0.3646814823150635,0.16156543791294098,0.3867455720901489,0.733189046382904,0.1904071718454361,0.1826142966747284
mission,0.2317502647638321,0.1187060996890068,0.20170781016349792,0.8248506784439087,0.16210246086120605,0.23764881491661072,0.18301942944526672,0.18331769108772278,0.1930197924375534,0.22673439979553223,0.19691044092178345,0.19506393373012543
types,0.25706279277801514,0.6398073434829712,0.2447618544101715,0.17465922236442566,0.2674507200717926,0.1709202080965042,0.15044783055782318,0.11654859781265259,0.13196104764938354,0.23509301245212555,0.08452150225639343,0.1285012811422348
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.2506242096424103,0.2807837128639221,0.2623177170753479,0.40543368458747864,0.18260830640792847,0.3217443823814392,0.6521818041801453,0.27831578254699707,0.25814583897590637
had,0.23849567770957947,0.11302465945482254,0.37755560874938965,0.2464783489704132,0.6150832772254944,0.284201443195343,0.37294110655784607,0.21044954657554626,0.4133172631263733,0.3875846862792969,0.30167025327682495,0.20728366076946259
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.29123765230178833,0.31913647055625916,0.2687867283821106,0.33534231781959534,0.08670014888048172,0.37890323996543884,0.535392165184021,0.19945190846920013,0.29463258385658264
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.16492660343647003,0.4064064621925354,0.28392431139945984,0.43158695101737976,0.1597851663827896,0.32360681891441345,0.4248143136501312,0.19421468675136566,0.3324260413646698
successfully,0.20084762573242188,0.08250629901885986,0.19373616576194763,0.33509859442710876,0.24631448090076447,0.2641890048980713,0.3125617206096649,0.10750824213027954,0.3572782576084137,0.32525569200515747,0.156932070851326,0.0971045047044754
accomplished,0.2744372487068176,0.09020183980464935,0.25853025913238525,0.27186858654022217,0.21973752975463867,0.30023372173309326,0.23935170471668243,0.1479259878396988,0.26268285512924194,0.23005253076553345,0.269112229347229,0.2554141879081726
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2733149528503418,0.3815755248069763,0.23346227407455444,0.370934396982193,0.24005226790905,0.44050168991088867,0.6662389636039734,0.19648437201976776,0.20430970191955566
order,0.16634008288383484,0.10786867141723633,0.31287699937820435,0.20150592923164368,0.16340558230876923,0.185444638133049,0.17732734978199005,0.11860144883394241,0.15841332077980042,0.3284194767475128,0.09429600089788437,0.13725648820400238
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.29123765230178833,0.31913647055625916,0.2687867283821106,0.33534231781959534,0.08670014888048172,0.37890323996543884,0.535392165184021,0.19945190846920013,0.29463258385658264
achieve,0.2524374723434448,0.11494336277246475,0.24381192028522491,0.21510091423988342,0.1543014496564865,0.2091784030199051,0.13088354468345642,0.019739804789423943,0.17446240782737732,0.23965083062648773,0.11608369648456573,0.17526866495609283
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26288601756095886,0.3906462490558624,0.30207422375679016,0.4408751428127289,0.2319459170103073,0.4565047025680542,1.0,0.248931884765625,0.22068053483963013
manned,0.16094419360160828,0.20908351242542267,0.17604194581508636,0.5398932099342346,0.2570171356201172,0.22920015454292297,0.245781809091568,0.1429021954536438,0.2195538431406021,0.2392944097518921,0.23116819560527802,0.17514055967330933
lunar,0.18274477124214172,0.13063104450702667,0.204553484916687,0.3653785288333893,0.19600282609462738,0.19898855686187744,0.19343101978302002,0.138032928109169,0.1943439096212387,0.23309995234012604,0.14584079384803772,0.1628302037715912
landing,0.17083740234375,0.08289735019207001,0.22376328706741333,0.3587879240512848,0.20515987277030945,0.1369631141424179,0.17878741025924683,0.11403629183769226,0.25509509444236755,0.24055521190166473,0.27229517698287964,0.11133739352226257
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2895781993865967,0.3378238379955292,0.29869166016578674,0.3936232924461365,0.24379780888557434,0.35870397090911865,0.5934505462646484,0.20123827457427979,0.4130953550338745
