,since,nasa,did,n't,know,how,many,attempts,each,test,would,end,up,requiring,",",what,did,they,use,instead,of,numbers,for,the,trials,?
each,0.23850536346435547,0.07703179121017456,0.20516681671142578,-0.1520339548587799,0.2595018744468689,0.4183253347873688,0.35348209738731384,0.16061533987522125,1.0,0.17890849709510803,0.36680325865745544,0.28403371572494507,0.31495755910873413,0.33125561475753784,0.207483172416687,0.3353266417980194,0.20516681671142578,0.394076406955719,0.3131592273712158,0.35841965675354004,0.38460010290145874,0.3118036687374115,0.3044290542602539,0.470844566822052,0.23315885663032532,0.21173812448978424
step,0.15913525223731995,0.14008711278438568,0.14902596175670624,-0.04569056257605553,0.23088446259498596,0.24128255248069763,0.15113236010074615,0.176786407828331,0.210306316614151,0.18155568838119507,0.2772001326084137,0.17959445714950562,0.26837965846061707,0.2806571125984192,0.22013631463050842,0.28945717215538025,0.14902596175670624,0.22594748437404633,0.19732408225536346,0.24667586386203766,0.22579428553581238,0.22375187277793884,0.2152853012084961,0.20505109429359436,0.10599582642316818,0.23299238085746765
had,0.4845401346683502,0.13812682032585144,0.540525496006012,-0.058023352175951004,0.32313281297683716,0.2549138069152832,0.40130746364593506,0.23034009337425232,0.27658215165138245,0.1387251317501068,0.5436059832572937,0.23549215495586395,0.28205862641334534,0.24867995083332062,0.35487717390060425,0.23849567770957947,0.540525496006012,0.4949169158935547,0.22564378380775452,0.22950682044029236,0.37755560874938965,0.21943619847297668,0.3270139992237091,0.3875846862792969,0.2176673412322998,0.20728366076946259
to,0.3733763098716736,0.21193136274814606,0.4452643394470215,-0.14541994035243988,0.3767812252044678,0.44169697165489197,0.40243685245513916,0.42883816361427307,0.3941934108734131,0.23725658655166626,0.5965728163719177,0.3229445815086365,0.40375280380249023,0.3393286466598511,0.44245919585227966,0.455847829580307,0.4452643394470215,0.5452046394348145,0.47261837124824524,0.457004189491272,0.41548454761505127,0.29515770077705383,0.4451248347759247,0.535392165184021,0.2177588939666748,0.29463258385658264
be,0.3591734766960144,0.22388871014118195,0.22657383978366852,-0.08962184190750122,0.3916832506656647,0.4158933162689209,0.3961109519004822,0.14891569316387177,0.3907950520515442,0.25003713369369507,0.5202695727348328,0.26300522685050964,0.27963516116142273,0.3276301324367523,0.39254459738731384,0.3929833769798279,0.22657383978366852,0.4858434796333313,0.4528608024120331,0.4021901488304138,0.33904364705085754,0.2776923179626465,0.3801851272583008,0.4248143136501312,0.23601120710372925,0.3324260413646698
successfully,0.3056809902191162,0.26267749071121216,0.27148011326789856,-0.0981418788433075,0.183773010969162,0.28345566987991333,0.26269280910491943,0.41637247800827026,0.26627418398857117,0.3352292776107788,0.27932873368263245,0.2319970726966858,0.2548735737800598,0.2088751345872879,0.21677812933921814,0.20084762573242188,0.27148011326789856,0.3240625262260437,0.20283672213554382,0.2246772199869156,0.19373616576194763,0.19060030579566956,0.2824302017688751,0.32525569200515747,0.2501398026943207,0.0971045047044754
accomplished,0.2527399957180023,0.23054645955562592,0.27493542432785034,0.060393985360860825,0.30383700132369995,0.2723713517189026,0.264305055141449,0.25157612562179565,0.1944221407175064,0.24412494897842407,0.29326486587524414,0.18144981563091278,0.16161181032657623,0.2990877628326416,0.28560152649879456,0.2744372487068176,0.27493542432785034,0.23074479401111603,0.19574196636676788,0.14628267288208008,0.25853025913238525,0.18093150854110718,0.32720091938972473,0.23005253076553345,0.13635171949863434,0.2554141879081726
before,0.4754606783390045,0.1443241983652115,0.33642593026161194,-0.03339577093720436,0.33429405093193054,0.33293965458869934,0.2728588581085205,0.24356424808502197,0.255837619304657,0.2241266667842865,0.3843644857406616,0.3768436014652252,0.36643674969673157,0.23196496069431305,0.3156566619873047,0.3801657259464264,0.33642593026161194,0.372068852186203,0.25643518567085266,0.4460048973560333,0.3282964527606964,0.22039830684661865,0.44347289204597473,0.45900648832321167,0.24247337877750397,0.2507109045982361
the,0.4054957628250122,0.19786997139453888,0.34736719727516174,-0.11449059844017029,0.31593990325927734,0.33890387415885925,0.4335206151008606,0.27231332659721375,0.470844566822052,0.19235259294509888,0.4133751392364502,0.39658910036087036,0.38423117995262146,0.23401294648647308,0.4933079481124878,0.42745697498321533,0.34736719727516174,0.49925389885902405,0.34342584013938904,0.3940567970275879,0.733189046382904,0.293011337518692,0.4739971458911896,1.0,0.24732348322868347,0.22068053483963013
next,0.25617751479148865,0.04287269338965416,0.22386232018470764,-0.023098645731806755,0.22805899381637573,0.24492809176445007,0.17440924048423767,0.1640266329050064,0.3543279767036438,0.1351623237133026,0.2764621376991272,0.2848338782787323,0.2348165065050125,0.12830089032649994,0.2665692865848541,0.25980645418167114,0.22386232018470764,0.2232334464788437,0.1521926075220108,0.22704511880874634,0.2935165464878082,0.15612360835075378,0.24420638382434845,0.35833123326301575,0.17307229340076447,0.167460098862648
ones,0.29537874460220337,0.07727520167827606,0.24853041768074036,-0.07359792292118073,0.386001318693161,0.30060696601867676,0.4674617350101471,0.16949419677257538,0.25867748260498047,0.11358058452606201,0.37077993154525757,0.18363824486732483,0.2537798285484314,0.1890525072813034,0.32541337609291077,0.28536954522132874,0.24853041768074036,0.4876980483531952,0.3824671804904938,0.38871246576309204,0.23451396822929382,0.34843888878822327,0.3088074326515198,0.333568274974823,0.18852420151233673,0.28155767917633057
could,0.2731175124645233,0.18649157881736755,0.6308382749557495,-0.15486787259578705,0.4388989508152008,0.47830453515052795,0.38749223947525024,0.2710755169391632,0.3254189193248749,0.20161072909832,0.8068214654922485,0.1979013830423355,0.28288018703460693,0.3902522623538971,0.27399855852127075,0.4188697934150696,0.6308382749557495,0.5337496995925903,0.4056750237941742,0.3994283974170685,0.29043012857437134,0.26084816455841064,0.3405117690563202,0.35393214225769043,0.21603547036647797,0.3411986827850342
be,0.3591734766960144,0.22388871014118195,0.22657383978366852,-0.08962184190750122,0.3916832506656647,0.4158933162689209,0.3961109519004822,0.14891569316387177,0.3907950520515442,0.25003713369369507,0.5202695727348328,0.26300522685050964,0.27963516116142273,0.3276301324367523,0.39254459738731384,0.3929833769798279,0.22657383978366852,0.4858434796333313,0.4528608024120331,0.4021901488304138,0.33904364705085754,0.2776923179626465,0.3801851272583008,0.4248143136501312,0.23601120710372925,0.3324260413646698
