,which,apollo,was,the,first,testing,of,the,lm,",",unmanned,",",in,earth,'s,orbit,?
apollo,0.19047300517559052,0.9999999403953552,0.2306441366672516,0.2169172167778015,0.21067003905773163,0.2824617922306061,0.1786269098520279,0.2169172167778015,0.36199986934661865,0.19808128476142883,0.5029870271682739,0.19808128476142883,0.1461767554283142,0.3316074311733246,-0.020172206684947014,0.4154411554336548,0.191528782248497
5,0.13955213129520416,0.05715285241603851,-0.020029501989483833,0.09255307912826538,0.07577285170555115,0.04496106505393982,0.1043979674577713,0.09255307912826538,0.034124236553907394,0.10738879442214966,0.07385334372520447,0.10738879442214966,0.0862177163362503,0.013934006914496422,-0.00032236112747341394,0.07796632498502731,0.06222071498632431
(,0.2589828372001648,0.14281296730041504,0.2980341613292694,0.33289089798927307,0.2450505793094635,0.11084204167127609,0.35032153129577637,0.33289089798927307,0.13334642350673676,0.6363511681556702,0.16814661026000977,0.6363511681556702,0.3087427020072937,0.18478946387767792,0.0012731997994706035,0.1564016044139862,0.40561532974243164
as-204,0.08689729124307632,0.18179044127464294,0.12804090976715088,0.14439189434051514,0.1979464441537857,0.10857708007097244,0.1427091658115387,0.14439189434051514,0.1690092384815216,0.1580706536769867,0.08897522836923599,0.1580706536769867,0.07532928884029388,0.10153034329414368,-0.029506463557481766,0.06458622962236404,0.19829250872135162
),0.2758678197860718,0.15640953183174133,0.3267642855644226,0.3456730246543884,0.27228695154190063,0.13266155123710632,0.3680361211299896,0.3456730246543884,0.14235086739063263,0.63033527135849,0.17797790467739105,0.63033527135849,0.3326910734176636,0.18219341337680817,0.021107977256178856,0.16763797402381897,0.42300865054130554
was,0.2830964922904968,0.2306441366672516,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.1904541403055191,0.4069072902202606,0.48711544275283813,0.14216841757297516,0.45456063747406006,0.24815437197685242,0.45456063747406006,0.45514053106307983,0.18661361932754517,0.008974763564765453,0.1862146407365799,0.18412111699581146
the,0.6521818041801453,0.2169172167778015,0.48711544275283813,1.0,0.49448907375335693,0.25075584650039673,0.733189046382904,1.0,0.25534775853157043,0.4933079481124878,0.19982010126113892,0.4933079481124878,0.6662389636039734,0.2801888585090637,-0.01540423184633255,0.1565481424331665,0.22068053483963013
first,0.3828166127204895,0.21067003905773163,0.5022147297859192,0.49448907375335693,1.0,0.3018559217453003,0.3536086082458496,0.49448907375335693,0.21496742963790894,0.34503069519996643,0.27046167850494385,0.34503069519996643,0.4127444326877594,0.23709720373153687,-0.014458609744906425,0.17195448279380798,0.18701928853988647
unmanned,0.23177185654640198,0.5029870271682739,0.24815437197685242,0.19982010126113892,0.27046167850494385,0.38954412937164307,0.1560962200164795,0.19982010126113892,0.42620033025741577,0.17500217258930206,1.0000001192092896,0.17500217258930206,0.1464199274778366,0.3553521931171417,-0.015467067249119282,0.5460977554321289,0.20850330591201782
test,0.21384328603744507,0.3095526397228241,0.13941486179828644,0.19235259294509888,0.2889637351036072,0.7171741127967834,0.164191335439682,0.19235259294509888,0.2792564630508423,0.17614826560020447,0.31770583987236023,0.17614826560020447,0.1630522608757019,0.12624478340148926,0.0007944157114252448,0.19076022505760193,0.19832737743854523
flight,0.20524488389492035,0.31322264671325684,0.19139665365219116,0.2498224973678589,0.23871742188930511,0.19717177748680115,0.2070007622241974,0.2498224973678589,0.2774704098701477,0.23669111728668213,0.44135716557502747,0.23669111728668213,0.24918575584888458,0.20170308649539948,-0.034391406923532486,0.3155398964881897,0.20568472146987915
of,0.5011631846427917,0.1786269098520279,0.4069072902202606,0.733189046382904,0.3536086082458496,0.2067517340183258,1.0,0.733189046382904,0.15462981164455414,0.4946078956127167,0.1560962200164795,0.4946078956127167,0.5696388483047485,0.2329314798116684,-0.03817026689648628,0.13123251497745514,0.1826142966747284
lm,0.2116525024175644,0.36199986934661865,0.14216841757297516,0.25534775853157043,0.21496742963790894,0.33450934290885925,0.15462981164455414,0.25534775853157043,1.0000001192092896,0.15934062004089355,0.42620033025741577,0.15934062004089355,0.14918769896030426,0.33073779940605164,0.02066141553223133,0.3392186462879181,0.2270602136850357
in,0.4840516746044159,0.1461767554283142,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.22079947590827942,0.5696388483047485,0.6662389636039734,0.14918769896030426,0.5201468467712402,0.1464199274778366,0.5201468467712402,1.0,0.18566735088825226,-0.037580832839012146,0.13808301091194153,0.20430970191955566
earth,0.26013901829719543,0.3316074311733246,0.18661361932754517,0.2801888585090637,0.23709720373153687,0.14391835033893585,0.2329314798116684,0.2801888585090637,0.33073779940605164,0.23186853528022766,0.3553521931171417,0.23186853528022766,0.18566735088825226,1.0,0.0661235973238945,0.514371395111084,0.17717236280441284
orbit,0.19053132832050323,0.4154411554336548,0.1862146407365799,0.1565481424331665,0.17195448279380798,0.22770097851753235,0.13123251497745514,0.1565481424331665,0.3392186462879181,0.19559532403945923,0.5460977554321289,0.19559532403945923,0.13808301091194153,0.514371395111084,-0.02842618152499199,1.0000001192092896,0.16621392965316772
",",0.3658004403114319,0.19808128476142883,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.18808996677398682,0.4946078956127167,0.4933079481124878,0.15934062004089355,1.0000001192092896,0.17500217258930206,1.0000001192092896,0.5201468467712402,0.23186853528022766,-0.0016132977325469255,0.19559532403945923,0.31091248989105225
launched,0.23018783330917358,0.3553087115287781,0.28489428758621216,0.2547066807746887,0.30769190192222595,0.2851945161819458,0.20039688050746918,0.2547066807746887,0.2498304396867752,0.222664475440979,0.48237356543540955,0.222664475440979,0.18876992166042328,0.20919367671012878,-0.01740374229848385,0.3634789288043976,0.1803835779428482
from,0.38755592703819275,0.14872027933597565,0.31171464920043945,0.40150508284568787,0.23348960280418396,0.11586327105760574,0.4249346852302551,0.40150508284568787,0.11234964430332184,0.39760664105415344,0.18420740962028503,0.39760664105415344,0.4274188280105591,0.1997482180595398,-0.01936490088701248,0.1674075424671173,0.19969791173934937
pad,0.21698051691055298,0.2642946243286133,0.11828822642564774,0.1643100380897522,0.13159847259521484,0.17786934971809387,0.10887265205383301,0.1643100380897522,0.21689563989639282,0.21565213799476624,0.2909257113933563,0.21565213799476624,0.12771014869213104,0.14866922795772552,0.07737153023481369,0.23864997923374176,0.20716224610805511
37,-0.001845165970735252,-0.07406914979219437,0.07334044575691223,0.03583221137523651,-0.01677487976849079,0.08781903237104416,0.06845362484455109,0.03583221137523651,0.037974897772073746,0.013615413568913937,-0.012081784196197987,0.013615413568913937,0.0036892909556627274,-0.07738307863473892,-0.04293464869260788,-0.023839762434363365,0.08108238875865936
on,0.4245251417160034,0.16069947183132172,0.3909217119216919,0.5107308030128479,0.3120559751987457,0.2297915816307068,0.3966929316520691,0.5107308030128479,0.21269403398036957,0.49057599902153015,0.2769596576690674,0.49057599902153015,0.46853652596473694,0.20645220577716827,0.0026888418942689896,0.1829480081796646,0.2714994251728058
january,0.1371559500694275,0.15597297251224518,0.3933098316192627,0.2467057853937149,0.2734774649143219,0.15983054041862488,0.19923388957977295,0.2467057853937149,0.08529157191514969,0.4213674068450928,0.19829289615154266,0.4213674068450928,0.28467586636543274,0.08035164326429367,-0.08409902453422546,0.15999735891819,0.28608936071395874
22,0.029828272759914398,-0.005816655233502388,-0.00688961474224925,0.01572294719517231,0.02170547842979431,-0.010031882673501968,-0.029035527259111404,0.01572294719517231,0.023215120658278465,-0.020062340423464775,-0.034396860748529434,-0.020062340423464775,0.01694893091917038,-0.017473876476287842,0.004780278075486422,-0.06749292463064194,0.06663474440574646
",",0.3658004403114319,0.19808128476142883,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.18808996677398682,0.4946078956127167,0.4933079481124878,0.15934062004089355,1.0000001192092896,0.17500217258930206,1.0000001192092896,0.5201468467712402,0.23186853528022766,-0.0016132977325469255,0.19559532403945923,0.31091248989105225
1968,-0.0039784410037100315,0.011808952316641808,0.07066072523593903,0.07431387901306152,-0.03741158917546272,-0.025779282674193382,0.09872698038816452,0.07431387901306152,-0.04029151052236557,0.07405266165733337,-0.01791611686348915,0.07405266165733337,0.08920387923717499,-0.012394962832331657,0.03619736060500145,-0.048085205256938934,-0.08543776720762253
",",0.3658004403114319,0.19808128476142883,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.18808996677398682,0.4946078956127167,0.4933079481124878,0.15934062004089355,1.0000001192092896,0.17500217258930206,1.0000001192092896,0.5201468467712402,0.23186853528022766,-0.0016132977325469255,0.19559532403945923,0.31091248989105225
