,what,type,of,theater,do,the,neighborhoods,feature,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2354130744934082,0.30239659547805786,1.0,0.21224050223827362,0.3053930699825287,0.22068053483963013
neighborhood,0.12062139064073563,0.019633987918496132,0.15683332085609436,0.2978384792804718,0.17951294779777527,0.20152483880519867,0.938675045967102,0.19041287899017334,0.048473283648490906
features,0.20126673579216003,0.21530358493328094,0.2464914619922638,0.18031200766563416,0.18857921659946442,0.29863014817237854,0.2953750193119049,0.7546708583831787,0.23497378826141357
restaurants,0.159007266163826,0.14387601613998413,0.21182489395141602,0.31534793972969055,0.1836632341146469,0.2341458648443222,0.3905763328075409,0.1512116938829422,0.1858629733324051
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.27069878578186035,0.3283645510673523,0.4933079481124878,0.2479344755411148,0.22241170704364777,0.31091248989105225
live,0.20532001554965973,0.06302279233932495,0.27734068036079407,0.21814967691898346,0.2297554910182953,0.2995128035545349,0.23693054914474487,0.2543604075908661,0.19481121003627777
theater,0.1395484209060669,0.0803385004401207,0.19138707220554352,0.9999998807907104,0.09261626750230789,0.2354130744934082,0.2945161461830139,0.23651465773582458,0.12811817228794098
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28268396854400635,0.276123583316803,0.5171257257461548,0.2604881525039673,0.29179611802101135,0.20544172823429108
nightclubs,0.16111762821674347,0.15828746557235718,0.18229632079601288,0.4016611874103546,0.16403163969516754,0.22270604968070984,0.38602137565612793,0.21238207817077637,0.14631803333759308
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.27069878578186035,0.3283645510673523,0.4933079481124878,0.2479344755411148,0.22241170704364777,0.31091248989105225
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.23118017613887787,0.38329678773880005,0.48381632566452026,0.19701093435287476,0.26915058493614197,0.27043893933296204
well,0.4154493808746338,0.18039114773273468,0.3343164324760437,0.2468688040971756,0.367764413356781,0.42630070447921753,0.20445771515369415,0.29964157938957214,0.24815571308135986
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.23118017613887787,0.38329678773880005,0.48381632566452026,0.19701093435287476,0.26915058493614197,0.27043893933296204
several,0.22446060180664062,0.13228869438171387,0.3271615505218506,0.16600733995437622,0.20210497081279755,0.40559855103492737,0.18505150079727173,0.2539432644844055,0.15595775842666626
independent,0.28752967715263367,0.10408228635787964,0.30508819222450256,0.10107874125242233,0.20670229196548462,0.2927691638469696,0.17959365248680115,0.21207621693611145,0.11902587860822678
shops,0.1309920698404312,0.13738258183002472,0.1712847352027893,0.28059035539627075,0.17909739911556244,0.20731589198112488,0.4008084237575531,0.15623943507671356,0.09888634085655212
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28268396854400635,0.276123583316803,0.5171257257461548,0.2604881525039673,0.29179611802101135,0.20544172823429108
bookstores,0.18700164556503296,0.09953401237726212,0.20779643952846527,0.334872305393219,0.18451735377311707,0.2485441267490387,0.373050719499588,0.1888751983642578,0.16853395104408264
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.27069878578186035,0.3283645510673523,0.4933079481124878,0.2479344755411148,0.22241170704364777,0.31091248989105225
currently,0.21436211466789246,0.11979112774133682,0.2655649185180664,0.13229678571224213,0.22200754284858704,0.2945235073566437,0.1720888465642929,0.11486737430095673,0.1861555278301239
operating,0.25311869382858276,0.2034287005662918,0.27346423268318176,0.18329621851444244,0.24460028111934662,0.28778329491615295,0.14568765461444855,0.1613844484090805,0.15840965509414673
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.24205923080444336,0.3025321364402771,0.5107308030128479,0.2480664849281311,0.29385992884635925,0.2714994251728058
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.12698912620544434,0.39439281821250916,0.4174870550632477,0.17481467127799988,0.2598951458930969,0.32389625906944275
near,0.19414293766021729,0.09284024685621262,0.2651676535606384,0.12738068401813507,0.07364393025636673,0.2879819869995117,0.26127296686172485,0.07534617930650711,0.10734958201646805
olive,0.18187183141708374,0.1408395767211914,0.13701212406158447,0.12189702689647675,0.17876145243644714,0.20599529147148132,0.21990850567817688,0.08723748475313187,0.14976593852043152
avenue,0.11924558132886887,0.04086035117506981,0.18280929327011108,0.3200468420982361,0.049200985580682755,0.22167983651161194,0.4087964594364166,0.1721765100955963,0.06327427178621292
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.27069878578186035,0.3283645510673523,0.4933079481124878,0.2479344755411148,0.22241170704364777,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28268396854400635,0.276123583316803,0.5171257257461548,0.2604881525039673,0.29179611802101135,0.20544172823429108
all,0.41981086134910583,0.21204189956188202,0.42798417806625366,0.08888299018144608,0.38664430379867554,0.4860881567001343,0.19614174962043762,0.24223166704177856,0.29575422406196594
within,0.2498195916414261,0.16128505766391754,0.39594778418540955,0.10328629612922668,0.21291908621788025,0.39827480912208557,0.19480976462364197,0.2401100993156433,0.1870293766260147
