,what,did,nasa,name,the,series,seeking,up,to,30,more,flights,to,earth,'s,orbit,?
the,0.42745697498321533,0.34736719727516174,0.19786997139453888,0.3171212375164032,1.0,0.31376904249191284,0.27082350850105286,0.38423117995262146,0.535392165184021,0.0730796679854393,0.39758381247520447,0.25325238704681396,0.535392165184021,0.2801888585090637,-0.01540423184633255,0.1565481424331665,0.22068053483963013
apollo,0.13561789691448212,0.1976410299539566,0.4747956395149231,0.09833542257547379,0.2169172167778015,0.18675151467323303,0.20735618472099304,0.167251318693161,0.23190522193908691,-0.044173792004585266,0.16325661540031433,0.2823284864425659,0.23190522193908691,0.3316074311733246,-0.020172206684947014,0.4154411554336548,0.191528782248497
extension,0.24965603649616241,0.1329735517501831,0.20761656761169434,0.2006479799747467,0.3090997040271759,0.09529652446508408,0.15857475996017456,0.19634808599948883,0.3166155517101288,0.08410988748073578,0.2302318662405014,0.24288417398929596,0.3166155517101288,0.02974303625524044,-0.020830610767006874,0.16351835429668427,0.24237069487571716
series,0.17328087985515594,0.15581852197647095,0.13186661899089813,0.1536245048046112,0.31376904249191284,1.0000001192092896,0.12357168644666672,0.21352851390838623,0.19879554212093353,-0.02386576682329178,0.17123346030712128,0.17120996117591858,0.19879554212093353,0.23707154393196106,0.0006390819908119738,0.13129879534244537,0.1709602326154709
(,0.2411840260028839,0.18979617953300476,0.14891751110553741,0.2706909477710724,0.33289089798927307,0.21145714819431305,0.11557937413454056,0.2525939643383026,0.30882009863853455,0.015691284090280533,0.20831379294395447,0.1443396508693695,0.30882009863853455,0.18478946387767792,0.0012731997994706035,0.1564016044139862,0.40561532974243164
apollo,0.13561789691448212,0.1976410299539566,0.4747956395149231,0.09833542257547379,0.2169172167778015,0.18675151467323303,0.20735618472099304,0.167251318693161,0.23190522193908691,-0.044173792004585266,0.16325661540031433,0.2823284864425659,0.23190522193908691,0.3316074311733246,-0.020172206684947014,0.4154411554336548,0.191528782248497
x,0.13783220946788788,0.13131415843963623,0.21798893809318542,0.1295700967311859,0.20980626344680786,0.22458937764167786,0.17870400846004486,0.17881086468696594,0.21431612968444824,0.042042218148708344,0.17921370267868042,0.0988919585943222,0.21431612968444824,0.15738806128501892,-0.11476266384124756,0.13439805805683136,0.23304535448551178
",",0.3087472915649414,0.3015086054801941,0.18665438890457153,0.28145334124565125,0.4933079481124878,0.24060699343681335,0.25406455993652344,0.34193792939186096,0.44245919585227966,-0.002004974754527211,0.3696524500846863,0.2565270662307739,0.44245919585227966,0.23186853528022766,-0.0016132977325469255,0.19559532403945923,0.31091248989105225
),0.26259949803352356,0.18584993481636047,0.15358616411685944,0.2638341188430786,0.3456730246543884,0.20434704422950745,0.11251133680343628,0.25800976157188416,0.31236231327056885,0.017907241359353065,0.23179085552692413,0.15921060740947723,0.31236231327056885,0.18219341337680817,0.021107977256178856,0.16763797402381897,0.42300865054130554
proposed,0.22754324972629547,0.30101871490478516,0.18690788745880127,0.23476271331310272,0.23840250074863434,0.10800408571958542,0.20122115314006805,0.2420324683189392,0.28162798285484314,-0.024989577010273933,0.17278744280338287,0.10659636557102203,0.28162798285484314,0.15711885690689087,-0.011876605451107025,0.21036942303180695,0.24553193151950836
up,0.28591108322143555,0.21613863110542297,0.14689919352531433,0.1534269005060196,0.38423117995262146,0.21352851390838623,0.2144644409418106,1.0000001192092896,0.40375280380249023,0.03213994577527046,0.2851726710796356,0.12674148380756378,0.40375280380249023,0.26390334963798523,-0.08862818777561188,0.19035765528678894,0.1819818764925003
to,0.455847829580307,0.4452643394470215,0.21193136274814606,0.27806994318962097,0.535392165184021,0.19879554212093353,0.3810454308986664,0.40375280380249023,1.0,0.06848903745412827,0.47084665298461914,0.2967532277107239,1.0,0.2486501932144165,0.03782717138528824,0.23271086812019348,0.29463258385658264
30,-0.04443084076046944,-0.015366257168352604,-0.00047345843631774187,0.009165161289274693,0.0730796679854393,-0.02386576682329178,0.007245859131217003,0.03213994577527046,0.06848903745412827,1.0000001192092896,0.06456964462995529,0.00633991276845336,0.06848903745412827,0.05927375704050064,-0.03394532576203346,0.01023080199956894,-0.08261742442846298
flights,0.17598165571689606,0.17038506269454956,0.30193886160850525,0.14043262600898743,0.25325238704681396,0.17120996117591858,0.14476540684700012,0.12674148380756378,0.2967532277107239,0.00633991276845336,0.23967614769935608,1.0000001192092896,0.2967532277107239,0.20134374499320984,0.015478596091270447,0.3145753741264343,0.1590299755334854
to,0.455847829580307,0.4452643394470215,0.21193136274814606,0.27806994318962097,0.535392165184021,0.19879554212093353,0.3810454308986664,0.40375280380249023,1.0,0.06848903745412827,0.47084665298461914,0.2967532277107239,1.0,0.2486501932144165,0.03782717138528824,0.23271086812019348,0.29463258385658264
earth,0.25883176922798157,0.15510493516921997,0.39176255464553833,0.14340636134147644,0.2801888585090637,0.23707154393196106,0.15506377816200256,0.26390334963798523,0.2486501932144165,0.05927375704050064,0.19403211772441864,0.20134374499320984,0.2486501932144165,1.0,0.0661235973238945,0.514371395111084,0.17717236280441284
orbit,0.19471463561058044,0.1529427319765091,0.49564385414123535,0.15444323420524597,0.1565481424331665,0.13129879534244537,0.10121770948171616,0.19035765528678894,0.23271086812019348,0.01023080199956894,0.20339426398277283,0.3145753741264343,0.23271086812019348,0.514371395111084,-0.02842618152499199,1.0000001192092896,0.16621392965316772
",",0.3087472915649414,0.3015086054801941,0.18665438890457153,0.28145334124565125,0.4933079481124878,0.24060699343681335,0.25406455993652344,0.34193792939186096,0.44245919585227966,-0.002004974754527211,0.3696524500846863,0.2565270662307739,0.44245919585227966,0.23186853528022766,-0.0016132977325469255,0.19559532403945923,0.31091248989105225
using,0.27984681725502014,0.25429773330688477,0.20012450218200684,0.19703111052513123,0.28364112973213196,0.15529561042785645,0.2936576008796692,0.26740503311157227,0.3678804934024811,0.026512235403060913,0.3065866529941559,0.1610332429409027,0.3678804934024811,0.20712430775165558,-0.029558077454566956,0.17746251821517944,0.2804589569568634
the,0.42745697498321533,0.34736719727516174,0.19786997139453888,0.3171212375164032,1.0,0.31376904249191284,0.27082350850105286,0.38423117995262146,0.535392165184021,0.0730796679854393,0.39758381247520447,0.25325238704681396,0.535392165184021,0.2801888585090637,-0.01540423184633255,0.1565481424331665,0.22068053483963013
space,0.20525942742824554,0.1488010138273239,0.4611377716064453,0.10096189379692078,0.24495907127857208,0.20527920126914978,0.11334092170000076,0.22489678859710693,0.22712917625904083,-0.05443284660577774,0.21460022032260895,0.2807428240776062,0.22712917625904083,0.3202928602695465,-0.1200559139251709,0.4323244094848633,0.1885536164045334
in,0.30808621644973755,0.2593238651752472,0.15705716609954834,0.2459065467119217,0.6662389636039734,0.2914260923862457,0.21344146132469177,0.3120773434638977,0.45010748505592346,-0.005278158001601696,0.32563260197639465,0.2577659785747528,0.45010748505592346,0.18566735088825226,-0.037580832839012146,0.13808301091194153,0.20430970191955566
