,what,was,the,percentage,of,black,or,african-americans,living,in,the,city,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2736506462097168,0.733189046382904,0.28466513752937317,0.4174870550632477,0.33007368445396423,0.3127744197845459,0.6662389636039734,1.0,0.35769423842430115,0.22068053483963013
racial,0.20982670783996582,0.20749056339263916,0.21064363420009613,0.2325940579175949,0.2396208494901657,0.3581600487232208,0.2637292146682739,0.502669095993042,0.25488919019699097,0.2016519159078598,0.21064363420009613,0.15644177794456482,0.13234834372997284
makeup,0.1628796011209488,0.19903339445590973,0.2449272722005844,0.22602666914463043,0.24602575600147247,0.2927054464817047,0.2535396218299866,0.3019193410873413,0.24077054858207703,0.23974141478538513,0.2449272722005844,0.21620488166809082,0.16080723702907562
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.23966942727565765,0.3792596757411957,0.26648733019828796,0.3499443829059601,0.5696388483047485,0.733189046382904,0.32503411173820496,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2736506462097168,0.733189046382904,0.28466513752937317,0.4174870550632477,0.33007368445396423,0.3127744197845459,0.6662389636039734,1.0,0.35769423842430115,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.1849067062139511,0.32503411173820496,0.1135459840297699,0.129682257771492,0.2200920134782791,0.2712697982788086,0.3911624252796173,0.35769423842430115,1.0,0.13423943519592285
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.12115965038537979,0.4069072902202606,0.1419273465871811,0.2330796718597412,0.2778857350349426,0.16790105402469635,0.45514053106307983,0.48711544275283813,0.3188765048980713,0.18412111699581146
50.2,-0.11756769567728043,-0.016845641657710075,-0.034383077174425125,-0.050008613616228104,0.06913258880376816,0.04218876734375954,-0.028353719040751457,0.020862895995378494,0.2096758633852005,0.02404390461742878,-0.034383077174425125,0.018885929137468338,-0.05289122834801674
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.19874867796897888,0.24279601871967316,0.2551237940788269,0.2514876425266266,0.19465309381484985,0.21490740776062012,0.1702996790409088,0.21441808342933655
white,0.1410645991563797,0.17150278389453888,0.25492873787879944,0.24046577513217926,0.23826628923416138,0.6371033191680908,0.24258503317832947,0.33010566234588623,0.22733385860919952,0.1821274310350418,0.25492873787879944,0.1163313239812851,0.124679796397686
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.23807229101657867,0.3769497275352478,0.2759692966938019,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.35839709639549255,0.31091248989105225
8.4,0.14384521543979645,0.11635389178991318,0.18534670770168304,0.04369276389479637,0.12367671728134155,0.15196721255779266,0.20433282852172852,0.3841273784637451,0.04355338215827942,0.08074282854795456,0.18534670770168304,0.12793327867984772,0.10422796756029129
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.19874867796897888,0.24279601871967316,0.2551237940788269,0.2514876425266266,0.19465309381484985,0.21490740776062012,0.1702996790409088,0.21441808342933655
black,0.12054000794887543,0.1419273465871811,0.28466513752937317,0.16568152606487274,0.23966942727565765,1.0,0.2541639804840088,0.3304436206817627,0.171754851937294,0.20407067239284515,0.28466513752937317,0.1135459840297699,0.15159966051578522
or,0.33867141604423523,0.2330796718597412,0.4174870550632477,0.29796382784843445,0.3792596757411957,0.2541639804840088,1.0000001192092896,0.2668132185935974,0.20090705156326294,0.3586423695087433,0.4174870550632477,0.129682257771492,0.32389625906944275
african,0.11136822402477264,0.20509590208530426,0.23305515944957733,0.14365383982658386,0.23470255732536316,0.35598424077033997,0.2030133754014969,0.7593811750411987,0.23108460009098053,0.2008972465991974,0.23305515944957733,0.1494215875864029,0.11862778663635254
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.1021198257803917,0.22180068492889404,0.20090582966804504,0.15763404965400696,0.4858509302139282,0.18372221291065216,0.22871561348438263,0.24562937021255493,0.21511299908161163,0.18877598643302917
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.23807229101657867,0.3769497275352478,0.2759692966938019,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.35839709639549255,0.31091248989105225
1.6,0.23789982497692108,0.14770907163619995,0.3075796365737915,0.28500619530677795,0.30238044261932373,0.17055845260620117,0.36043593287467957,0.21799910068511963,0.16180680692195892,0.28110823035240173,0.3075796365737915,0.20180818438529968,0.3414687514305115
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.19874867796897888,0.24279601871967316,0.2551237940788269,0.2514876425266266,0.19465309381484985,0.21490740776062012,0.1702996790409088,0.21441808342933655
native,0.19453833997249603,0.1733950972557068,0.24374492466449738,0.28229260444641113,0.2524676024913788,0.17827169597148895,0.23914238810539246,0.5191171765327454,0.27551788091659546,0.24378694593906403,0.24374492466449738,0.1633143424987793,0.1457047313451767
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.1021198257803917,0.22180068492889404,0.20090582966804504,0.15763404965400696,0.4858509302139282,0.18372221291065216,0.22871561348438263,0.24562937021255493,0.21511299908161163,0.18877598643302917
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.23807229101657867,0.3769497275352478,0.2759692966938019,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.35839709639549255,0.31091248989105225
11.2,0.03146035969257355,0.08056001365184784,-0.0029750922694802284,-0.039930250495672226,0.02072104439139366,-0.015845734626054764,-0.030566178262233734,0.1513749659061432,0.25590723752975464,0.0854853093624115,-0.0029750922694802284,0.005240499507635832,-0.02419590950012207
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.19874867796897888,0.24279601871967316,0.2551237940788269,0.2514876425266266,0.19465309381484985,0.21490740776062012,0.1702996790409088,0.21441808342933655
asian,0.06828422844409943,0.15075916051864624,0.2710895538330078,0.17152796685695648,0.24605733156204224,0.30796825885772705,0.2302301824092865,0.4935110807418823,0.18085719645023346,0.18836280703544617,0.2710895538330078,0.14612016081809998,0.10526347905397415
