,what,is,another,name,for,the,yosemite,freeway,?
state,0.24273863434791565,0.2627358138561249,0.18883290886878967,0.19896633923053741,0.19460363686084747,0.3097178041934967,0.2449418157339096,0.3071974217891693,0.1160883978009224
route,0.23103561997413635,0.2375296801328659,0.1722557246685028,0.18850113451480865,0.21589265763759613,0.22322526574134827,0.22804729640483856,0.4741276502609253,0.10957027226686478
168,-0.41324925422668457,-0.22041796147823334,-0.3793937563896179,-0.1005905494093895,-0.3724428117275238,-0.3878300189971924,-0.07497265189886093,-0.14074698090553284,-0.2413584589958191
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.2522202134132385,0.22166430950164795,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.2851974368095398,0.21201886236667633,0.22068053483963013
sierra,0.15706034004688263,0.17019520699977875,0.10372385382652283,0.14144836366176605,0.17667727172374725,0.24346426129341125,0.41339826583862305,0.3200935423374176,0.07792355120182037
freeway,0.21182982623577118,0.16396518051624298,0.1465199738740921,0.1620693951845169,0.17816157639026642,0.21201886236667633,0.28277692198753357,1.0000001192092896,0.1306171715259552
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.2522202134132385,0.22166430950164795,0.31091248989105225
heads,0.22840413451194763,0.21464884281158447,0.1519547551870346,0.1603829264640808,0.17960312962532043,0.3017694354057312,0.15891733765602112,0.16737417876720428,0.13046061992645264
east,0.19840149581432343,0.2596127688884735,0.16592496633529663,0.20845475792884827,0.20268000662326813,0.3383176326751709,0.19259469211101532,0.31234732270240784,0.10070597380399704
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.27806994318962097,0.4451248347759247,0.535392165184021,0.23575468361377716,0.21776032447814941,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.2851974368095398,0.21201886236667633,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.14786472916603088,0.22892655432224274,0.18687109649181366,0.35769423842430115,0.21659386157989502,0.31968408823013306,0.13423943519592285
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.24075818061828613,0.4185989499092102,0.733189046382904,0.2189328372478485,0.17353555560112,0.1826142966747284
clovis,0.2143704742193222,0.20556557178497314,0.26311802864074707,0.23603129386901855,0.130298912525177,0.31824928522109985,0.1731857806444168,0.1754966676235199,0.20699521899223328
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.21235932409763336,0.5064792633056641,0.5171257257461548,0.2200460135936737,0.19539561867713928,0.20544172823429108
huntington,0.17186126112937927,0.195100337266922,0.2035662978887558,0.10976844280958176,0.25920674204826355,0.26236510276794434,0.36813315749168396,0.2583458721637726,0.1482890248298645
lake,0.17778855562210083,0.22300897538661957,0.1701860874891281,0.13222096860408783,0.1457349956035614,0.24325428903102875,0.31589415669441223,0.20940525829792023,0.07226386666297913
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.24737101793289185,0.4726039469242096,0.5934505462646484,0.25806891918182373,0.2344927340745926,0.4130953550338745
