,in,what,year,was,the,interstate,highway,system,created,?
when,0.4431333839893341,0.4700249433517456,0.3014719784259796,0.37326499819755554,0.5091903209686279,0.21626845002174377,0.1638880968093872,0.27706024050712585,0.2840147316455841,0.22841128706932068
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.21078766882419586,0.20523275434970856,0.3233085572719574,0.3539263904094696,0.22068053483963013
interstate,0.20061586797237396,0.2636648714542389,0.1769166886806488,0.1020340546965599,0.21078766882419586,0.9999999403953552,0.6463026404380798,0.2439257949590683,0.11101070046424866,0.1831059604883194
highway,0.16413514316082,0.1961357742547989,0.19698622822761536,0.1792784035205841,0.20523275434970856,0.6463026404380798,0.9999998807907104,0.17494381964206696,0.16291488707065582,0.15589815378189087
system,0.21978288888931274,0.23557309806346893,0.15319517254829407,0.2147521674633026,0.3233085572719574,0.2439257949590683,0.17494381964206696,1.0000001192092896,0.20091839134693146,0.15556083619594574
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.1020340546965599,0.1792784035205841,0.2147521674633026,0.3592788577079773,0.18412111699581146
created,0.2843434810638428,0.20714101195335388,0.18208001554012299,0.3592788577079773,0.3539263904094696,0.11101070046424866,0.16291488707065582,0.20091839134693146,1.0,0.21177415549755096
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.20061586797237396,0.16413514316082,0.21978288888931274,0.2843434810638428,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.21078766882419586,0.20523275434970856,0.3233085572719574,0.3539263904094696,0.22068053483963013
1950s,0.26312577724456787,0.2998310923576355,0.1768297553062439,0.2797155976295471,0.3424292504787445,0.2050636112689972,0.20117278397083282,0.25046640634536743,0.19299393892288208,0.16557677090168
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.17179317772388458,0.24056380987167358,0.18439900875091553,0.2755771577358246,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.21078766882419586,0.20523275434970856,0.3233085572719574,0.3539263904094696,0.22068053483963013
decision,0.2212151288986206,0.32053670287132263,0.20575712621212006,0.25498270988464355,0.2905151844024658,0.24381569027900696,0.17932288348674774,0.2589913606643677,0.12973922491073608,0.2796577215194702
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.1020340546965599,0.1792784035205841,0.2147521674633026,0.3592788577079773,0.18412111699581146
made,0.25271502137184143,0.23419176042079926,0.13611415028572083,0.3433256447315216,0.3885267674922943,0.08825206011533737,0.10592753440141678,0.16916532814502716,0.39366546273231506,0.17218779027462006
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.535392165184021,0.2701593041419983,0.20274639129638672,0.26662686467170715,0.2592601478099823,0.29463258385658264
build,0.26063278317451477,0.27055490016937256,0.13260039687156677,0.20898228883743286,0.2602573335170746,0.12607131898403168,0.14213624596595764,0.25008147954940796,0.2550945281982422,0.1704305112361908
what,0.30808621644973755,0.9999998807907104,0.15184831619262695,0.22111038863658905,0.42745697498321533,0.2636648714542389,0.1961357742547989,0.23557309806346893,0.20714101195335388,0.5051238536834717
is,0.5394441485404968,0.28837618231773376,0.2402215600013733,0.5810302495956421,0.5823672413825989,0.16842438280582428,0.1804402470588684,0.2282046526670456,0.28467464447021484,0.22961433231830597
