,how,much,do,ctenophore,eat,in,a,day,?
in,0.2601168751716614,0.2725222110748291,0.23402775824069977,0.1891518235206604,0.17146249115467072,1.0,0.539380669593811,0.2671984136104584,0.20430970191955566
favorable,0.1937618851661682,0.2695905566215515,0.1074458658695221,0.18690913915634155,0.0907541960477829,0.16976967453956604,0.2458888590335846,0.15849272906780243,0.1794821172952652
circumstances,0.3659582734107971,0.2820437252521515,0.22909992933273315,0.2709956765174866,0.21169151365756989,0.18888375163078308,0.22865210473537445,0.14527566730976105,0.25984445214271545
",",0.22659391164779663,0.36182254552841187,0.3283645510673523,0.18335451185703278,0.27748003602027893,0.5201468467712402,0.427140474319458,0.30821847915649414,0.31091248989105225
ctenophores,0.2594645917415619,0.19180738925933838,0.33553314208984375,0.9598069787025452,0.3753615617752075,0.1814151555299759,0.25153061747550964,0.11694519221782684,0.2054179310798645
can,0.49246567487716675,0.39803463220596313,0.45775556564331055,0.31543269753456116,0.33471569418907166,0.26527702808380127,0.3915780484676361,0.11817701905965805,0.3226337134838104
eat,0.2741355001926422,0.21723854541778564,0.3588147759437561,0.35920044779777527,0.9999999403953552,0.17146249115467072,0.2176695615053177,0.23215879499912262,0.2330920696258545
ten,0.26821833848953247,0.20169475674629211,0.13663049042224884,0.13491371273994446,0.151518315076828,0.29515787959098816,0.23545676469802856,0.27711963653564453,0.14471080899238586
times,0.2685738503932953,0.3250696063041687,0.14708955585956573,0.1347193568944931,0.16771872341632843,0.2427823841571808,0.2745400369167328,0.2524244785308838,0.18880689144134521
their,0.3316696584224701,0.280311644077301,0.35424983501434326,0.3202415406703949,0.3384864330291748,0.34976133704185486,0.29698723554611206,0.21451431512832642,0.1898253709077835
own,0.3035697042942047,0.24814017117023468,0.31129190325737,0.19855952262878418,0.2515008747577667,0.31893372535705566,0.3093770742416382,0.15157382190227509,0.1937696635723114
weight,0.31575119495391846,0.243657186627388,0.161696657538414,0.2548123896121979,0.3076552450656891,0.14912216365337372,0.2418769896030426,0.11429321020841599,0.18111222982406616
in,0.2601168751716614,0.2725222110748291,0.23402775824069977,0.1891518235206604,0.17146249115467072,1.0,0.539380669593811,0.2671984136104584,0.20430970191955566
a,0.29312583804130554,0.2958075702190399,0.26237669587135315,0.2904021143913269,0.2176695615053177,0.539380669593811,1.0,0.18630309402942657,0.23916715383529663
day,0.20268619060516357,0.23573602735996246,0.18855860829353333,0.12197936326265335,0.23215879499912262,0.2671984136104584,0.18630309402942657,1.0,0.2141837179660797
.,0.3287222981452942,0.3374604284763336,0.3613996207714081,0.2398306131362915,0.3032529056072235,0.5591574311256409,0.50484299659729,0.24232520163059235,0.4130953550338745
