,what,completed,the,triad
with,0.2464839518070221,0.22860164940357208,0.4223487675189972,0.19417428970336914
initial,0.2771121859550476,0.3882439136505127,0.29837024211883545,0.15280579030513763
support,0.2797985076904297,0.18910156190395355,0.22984638810157776,0.06080123037099838
from,0.2737620174884796,0.19565615057945251,0.40150508284568787,0.19123411178588867
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
state,0.24273863434791565,0.1797141283750534,0.3097178041934967,0.18280178308486938
of,0.33290785551071167,0.2491239756345749,0.733189046382904,0.2782818675041199
michigan,0.16767016053199768,0.15946629643440247,0.2254023551940918,0.15195859968662262
and,0.31309178471565247,0.24284477531909943,0.5171257257461548,0.18816901743412018
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
national,0.16882304847240448,0.11707107722759247,0.32739606499671936,0.12231177091598511
science,0.2612018585205078,0.1594260185956955,0.24037593603134155,0.15267784893512726
foundation,0.19225969910621643,0.24794155359268188,0.23942872881889343,0.07314915955066681
(,0.2411840260028839,0.21297790110111237,0.33289089798927307,0.12384799867868423
nsf,0.2732805907726288,0.19492864608764648,0.26045000553131104,0.12259902060031891
),0.26259949803352356,0.23464587330818176,0.3456730246543884,0.13466431200504303
",",0.3087472915649414,0.26047438383102417,0.4933079481124878,0.23773746192455292
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
packet-switched,0.28336137533187866,0.27093470096588135,0.27720358967781067,0.1343645453453064
network,0.16917307674884796,0.16920100152492523,0.27187061309814453,0.11054468154907227
was,0.22111038863658905,0.3156263828277588,0.48711544275283813,0.1252032071352005
first,0.28086137771606445,0.3614111840724945,0.49448907375335693,0.11791355162858963
demonstrated,0.20940876007080078,0.18411584198474884,0.2412586510181427,0.12098013609647751
in,0.30808621644973755,0.2960484027862549,0.6662389636039734,0.20593133568763733
december,0.19304980337619781,0.18615981936454773,0.23266014456748962,0.060528114438056946
1971,0.19641290605068207,0.22370678186416626,0.21928679943084717,0.13125114142894745
when,0.4700249433517456,0.1893177628517151,0.5091903209686279,0.1835584193468094
an,0.2821882665157318,0.16179491579532623,0.4207492768764496,0.10465015470981598
interactive,0.2204633206129074,0.14413078129291534,0.21269570291042328,0.05430242046713829
host,0.12779991328716278,0.09934074431657791,0.26909032464027405,0.0916590541601181
to,0.455847829580307,0.2867361009120941,0.535392165184021,0.21637269854545593
host,0.12779991328716278,0.09934074431657791,0.26909032464027405,0.0916590541601181
connection,0.24457211792469025,0.1576913744211197,0.29966840147972107,0.135264590382576
was,0.22111038863658905,0.3156263828277588,0.48711544275283813,0.1252032071352005
made,0.23419176042079926,0.24747972190380096,0.3885267674922943,0.09573747962713242
between,0.2462156116962433,0.21500778198242188,0.39067012071609497,0.18993817269802094
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
ibm,0.11616098880767822,0.21127836406230927,0.20623230934143066,0.17073115706443787
mainframe,0.2939354479312897,0.27664366364479065,0.2102542519569397,0.21596650779247284
computer,0.26911869645118713,0.23243461549282074,0.19781450927257538,0.09693635255098343
systems,0.1871482878923416,0.18154659867286682,0.28089964389801025,0.1493225246667862
at,0.2838611304759979,0.2679457664489746,0.457212895154953,0.20082662999629974
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
university,0.20256435871124268,0.2568143904209137,0.263973206281662,0.20105093717575073
of,0.33290785551071167,0.2491239756345749,0.733189046382904,0.2782818675041199
michigan,0.16767016053199768,0.15946629643440247,0.2254023551940918,0.15195859968662262
in,0.30808621644973755,0.2960484027862549,0.6662389636039734,0.20593133568763733
ann,0.16341476142406464,0.07904283702373505,0.1298162192106247,0.13586805760860443
arbor,0.20166350901126862,0.17991624772548676,0.19307011365890503,0.15307259559631348
and,0.31309178471565247,0.24284477531909943,0.5171257257461548,0.18816901743412018
wayne,0.1688670665025711,0.12486443668603897,0.18390358984470367,0.11997535824775696
state,0.24273863434791565,0.1797141283750534,0.3097178041934967,0.18280178308486938
university,0.20256435871124268,0.2568143904209137,0.263973206281662,0.20105093717575073
in,0.30808621644973755,0.2960484027862549,0.6662389636039734,0.20593133568763733
detroit,0.1911238729953766,0.14515414834022522,0.20778660476207733,0.1883196383714676
.,0.3567904531955719,0.2763804793357849,0.5934505462646484,0.18334847688674927
,what,completed,the,triad
in,0.30808621644973755,0.2960484027862549,0.6662389636039734,0.20593133568763733
october,0.24927909672260284,0.21076036989688873,0.2621108889579773,0.11388235539197922
1972,-0.19211961328983307,0.06694411486387253,0.017579182982444763,-0.04272238910198212
connections,0.23633168637752533,0.18675114214420319,0.31443437933921814,0.19380676746368408
to,0.455847829580307,0.2867361009120941,0.535392165184021,0.21637269854545593
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
cdc,0.22113768756389618,0.10097052156925201,0.18323813378810883,0.12422184646129608
mainframe,0.2939354479312897,0.27664366364479065,0.2102542519569397,0.21596650779247284
at,0.2838611304759979,0.2679457664489746,0.457212895154953,0.20082662999629974
michigan,0.16767016053199768,0.15946629643440247,0.2254023551940918,0.15195859968662262
state,0.24273863434791565,0.1797141283750534,0.3097178041934967,0.18280178308486938
university,0.20256435871124268,0.2568143904209137,0.263973206281662,0.20105093717575073
in,0.30808621644973755,0.2960484027862549,0.6662389636039734,0.20593133568763733
east,0.19840149581432343,0.1722521036863327,0.3383176326751709,0.1616964042186737
lansing,0.20047450065612793,0.1478818953037262,0.3145763874053955,0.149434432387352
completed,0.19063329696655273,1.0,0.29278936982154846,0.159723162651062
the,0.42745697498321533,0.29278936982154846,1.0,0.22526805102825165
triad,0.19231554865837097,0.159723162651062,0.22526805102825165,1.0
.,0.3567904531955719,0.2763804793357849,0.5934505462646484,0.18334847688674927
