,who,did,the,army,siege,belong,to,?
after,0.32549580931663513,0.30330467224121094,0.4565047025680542,0.2654078006744385,0.2656107544898987,0.10952091217041016,0.37890323996543884,0.16608688235282898
a,0.36608949303627014,0.2552328109741211,0.5829201340675354,0.20244213938713074,0.15981869399547577,0.21660050749778748,0.45503583550453186,0.23916715383529663
protracted,0.24961769580841064,0.22678637504577637,0.2607971727848053,0.15764839947223663,0.19263668358325958,0.16681309044361115,0.2881491482257843,0.15076343715190887
siege,0.14098326861858368,0.09595377743244171,0.26454421877861023,0.3624343276023865,1.0000001192092896,0.04580298438668251,0.18065696954727173,0.07257505506277084
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.230897456407547,0.19137106835842133,0.3347422182559967,0.44245919585227966,0.31091248989105225
during,0.30551859736442566,0.30679523944854736,0.4838213622570038,0.3011053502559662,0.32904699444770813,0.06805208325386047,0.2828781306743622,0.1325719803571701
which,0.3688730001449585,0.2750149369239807,0.6521818041801453,0.14114242792129517,0.1973492056131363,0.288716197013855,0.5345056653022766,0.25814583897590637
the,0.3733934462070465,0.34736719727516174,1.0,0.31011611223220825,0.26454421877861023,0.27031847834587097,0.535392165184021,0.22068053483963013
mongol,0.22505711019039154,0.17534953355789185,0.2924198508262634,0.27053940296173096,0.341903954744339,0.16926810145378113,0.2125127911567688,0.12849251925945282
army,0.2866576313972473,0.21148359775543213,0.31011611223220825,1.0000001192092896,0.3624343276023865,0.10095395892858505,0.22938482463359833,0.180583193898201
under,0.2962189018726349,0.20815621316432953,0.3348022699356079,0.19670718908309937,0.19909565150737762,0.15243592858314514,0.27177539467811584,0.18233340978622437
jani,0.237722247838974,0.14335249364376068,0.13501887023448944,0.16310660541057587,0.09417956322431564,0.08843868970870972,0.11319812387228012,0.15729539096355438
beg,0.2633179724216461,0.3217836916446686,0.1971018761396408,0.19278649985790253,0.16190122067928314,0.19868068397045135,0.30989694595336914,0.2536768615245819
was,0.3318818509578705,0.41399896144866943,0.48711544275283813,0.30177709460258484,0.2508069574832916,0.18046513199806213,0.3636345863342285,0.18412111699581146
suffering,0.2780556380748749,0.2510739862918854,0.2523275911808014,0.18870268762111664,0.2488875538110733,0.11482515186071396,0.29571717977523804,0.12642043828964233
from,0.27839982509613037,0.20248863101005554,0.40150508284568787,0.2187274545431137,0.18843412399291992,0.22154346108436584,0.4069952368736267,0.19969791173934937
the,0.3733934462070465,0.34736719727516174,1.0,0.31011611223220825,0.26454421877861023,0.27031847834587097,0.535392165184021,0.22068053483963013
disease,0.24616138637065887,0.18150202929973602,0.22720423340797424,0.17983891069889069,0.21253417432308197,0.1672142893075943,0.261801153421402,0.16159942746162415
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.230897456407547,0.19137106835842133,0.3347422182559967,0.44245919585227966,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,1.0,0.31011611223220825,0.26454421877861023,0.27031847834587097,0.535392165184021,0.22068053483963013
army,0.2866576313972473,0.21148359775543213,0.31011611223220825,1.0000001192092896,0.3624343276023865,0.10095395892858505,0.22938482463359833,0.180583193898201
catapulted,0.269236296415329,0.2693462073802948,0.3111423850059509,0.24342431128025055,0.4219226837158203,0.0731125921010971,0.3406546711921692,0.1869298219680786
the,0.3733934462070465,0.34736719727516174,1.0,0.31011611223220825,0.26454421877861023,0.27031847834587097,0.535392165184021,0.22068053483963013
infected,0.2738805115222931,0.17882992327213287,0.2435249239206314,0.17096979916095734,0.1536991000175476,0.19450721144676208,0.254592627286911,0.17761120200157166
corpses,0.2705962359905243,0.22679723799228668,0.23590198159217834,0.31530311703681946,0.24813979864120483,0.07672777026891708,0.23503509163856506,0.20278875529766083
over,0.316001296043396,0.2535076439380646,0.39856547117233276,0.21975788474082947,0.22258584201335907,0.14878663420677185,0.38635820150375366,0.25742942094802856
the,0.3733934462070465,0.34736719727516174,1.0,0.31011611223220825,0.26454421877861023,0.27031847834587097,0.535392165184021,0.22068053483963013
city,0.21073515713214874,0.12266099452972412,0.35769423842430115,0.2515457570552826,0.3119503855705261,0.13790719211101532,0.20300441980361938,0.13423943519592285
walls,0.16167975962162018,0.13863658905029297,0.28179097175598145,0.2107672542333603,0.31608521938323975,0.11245201528072357,0.22619856894016266,0.06935364007949829
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.2669098675251007,0.24839437007904053,0.2644003629684448,0.41548454761505127,0.1826142966747284
kaffa,0.19093438982963562,0.15361905097961426,0.3763728439807892,0.2531310021877289,0.27079451084136963,0.2032729983329773,0.19052590429782867,0.16061149537563324
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.22938482463359833,0.18065696954727173,0.2609216868877411,1.0,0.29463258385658264
infect,0.18676957488059998,0.10770950466394424,0.22799581289291382,0.16426797211170197,0.14913374185562134,0.2718624174594879,0.2276781052350998,0.17003796994686127
the,0.3733934462070465,0.34736719727516174,1.0,0.31011611223220825,0.26454421877861023,0.27031847834587097,0.535392165184021,0.22068053483963013
inhabitants,0.1886354237794876,0.04312184080481529,0.2644902467727661,0.20116174221038818,0.20754317939281464,0.2145249992609024,0.17665912210941315,0.1312350630760193
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.28860729932785034,0.13070990145206451,0.23404979705810547,0.4645031690597534,0.4130953550338745
