,what,was,the,plos,pathogens,paper,about,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.14195695519447327,0.17208784818649292,0.18605142831802368,0.39797019958496094,0.20430970191955566
october,0.24927909672260284,0.4627581834793091,0.2621108889579773,0.0334065742790699,0.10243567824363708,0.1019054725766182,0.16555680334568024,0.29706719517707825
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,-0.02483164332807064,0.10941402614116669,-0.03262406215071678,0.2722768485546112,0.21232788264751434
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2258119285106659,0.20320750772953033,0.2304661124944687,0.3877100944519043,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.17448601126670837,0.23115308582782745,0.2077420949935913,0.37995871901512146,0.22068053483963013
open-access,0.2851521074771881,0.19227077066898346,0.2678740918636322,0.12395774573087692,0.2607036828994751,0.20072108507156372,0.22884461283683777,0.2941596508026123
scientific,0.18922170996665955,0.17888261377811432,0.24748262763023376,0.26139432191848755,0.31898558139801025,0.2615535259246826,0.25502049922943115,0.16215236485004425
journal,0.16862434148788452,0.20567549765110016,0.20882099866867065,0.21267235279083252,0.24590632319450378,0.29886236786842346,0.2035207748413086,0.11746427416801453
plos,0.15789668262004852,0.11328793317079544,0.17448601126670837,1.0,0.3063320219516754,0.13966982066631317,0.12918415665626526,0.1841345727443695
pathogens,0.24503889679908752,0.12679049372673035,0.23115308582782745,0.3063320219516754,1.0,0.19900861382484436,0.18838228285312653,0.21364152431488037
published,0.20457668602466583,0.2896443009376526,0.22017472982406616,0.11425136029720306,0.13048329949378967,0.40487754344940186,0.2554853856563568,0.16280238330364227
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2581964433193207,0.21121124923229218,0.25947141647338867,0.34171196818351746,0.23916715383529663
paper,0.21202662587165833,0.18939059972763062,0.2077420949935913,0.13966982066631317,0.19900861382484436,0.9999998807907104,0.15352152287960052,0.12693770229816437
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.07354491949081421,0.20554135739803314,0.20666080713272095,0.30091190338134766,0.17966607213020325
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2581964433193207,0.21121124923229218,0.25947141647338867,0.34171196818351746,0.23916715383529663
multinational,0.1637752801179886,0.24895858764648438,0.28697076439857483,0.1673414558172226,0.16751384735107422,0.1713579148054123,0.20114769041538239,0.0989086851477623
team,0.17632107436656952,0.13986483216285706,0.22564226388931274,0.14233382046222687,0.11516838520765305,0.09515414386987686,0.10530964285135269,0.11243411153554916
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.17101909220218658,0.17308282852172852,0.17045389115810394,0.3477841317653656,0.26220351457595825
