,which,outbreak,was,associated,with,troops,in,the,thirty,years,war,?
late,0.2546604573726654,0.25500279664993286,0.4393066465854645,0.21435703337192535,0.2326577752828598,0.23257148265838623,0.3439198434352875,0.31481194496154785,0.21575866639614105,0.29015645384788513,0.20084302127361298,0.11339222639799118
outbreaks,0.3069326877593994,0.9283940196037292,0.23416206240653992,0.1754433512687683,0.1518753170967102,0.259223610162735,0.2859959602355957,0.294321209192276,0.21397554874420166,0.23434294760227203,0.375484824180603,0.18502937257289886
in,0.4840516746044159,0.27757999300956726,0.45514053106307983,0.23328746855258942,0.4080928862094879,0.25826749205589294,1.0,0.6662389636039734,0.3051297068595886,0.33554986119270325,0.29904094338417053,0.20430970191955566
central,0.2778315246105194,0.21250353753566742,0.21519865095615387,0.14830170571804047,0.1716245859861374,0.17662054300308228,0.30844059586524963,0.3417201042175293,0.16074898838996887,0.15787138044834137,0.13142190873622894,0.14787602424621582
europe,0.23978596925735474,0.3020712435245514,0.2931758761405945,0.21775010228157043,0.27254554629325867,0.1928652971982956,0.33061710000038147,0.34463706612586975,0.19114242494106293,0.26117831468582153,0.3000480532646179,0.18278923630714417
included,0.319993793964386,0.2430763691663742,0.3148443400859833,0.22711123526096344,0.329644113779068,0.15613485872745514,0.32433560490608215,0.3825419843196869,0.23803821206092834,0.1700238585472107,0.20061412453651428,0.14385655522346497
the,0.6521818041801453,0.28401845693588257,0.48711544275283813,0.2742886245250702,0.4223487675189972,0.3229958415031433,0.6662389636039734,1.0,0.326707124710083,0.2912273406982422,0.366199791431427,0.22068053483963013
italian,0.19053605198860168,0.09653588384389877,0.27526864409446716,0.18080490827560425,0.1372891515493393,0.2218155711889267,0.1941935271024704,0.19855095446109772,0.1815238744020462,0.1964377760887146,0.207796111702919,0.1156633123755455
plague,0.25075629353523254,0.5057891011238098,0.24312011897563934,0.13065974414348602,0.1677253097295761,0.22892847657203674,0.2488756626844406,0.2537761330604553,0.23378682136535645,0.22512836754322052,0.27265962958335876,0.11872942000627518
of,0.5011631846427917,0.22559921443462372,0.4069072902202606,0.3077163100242615,0.41827285289764404,0.23602326214313507,0.5696388483047485,0.733189046382904,0.3474040925502777,0.2904134690761566,0.31680163741111755,0.1826142966747284
1629–1631,-0.032432228326797485,-0.01195408683270216,0.05064272880554199,0.043922118842601776,0.04428032785654068,-0.17152805626392365,-0.0779867097735405,-0.061364736407995224,0.01020816806703806,0.05846730247139931,-0.05705607309937477,0.15307895839214325
",",0.3658004403114319,0.2250508964061737,0.45456063747406006,0.27184680104255676,0.4120737314224243,0.23846548795700073,0.5201468467712402,0.4933079481124878,0.2459682822227478,0.2589467465877533,0.2671184241771698,0.31091248989105225
which,1.0,0.2698296308517456,0.2830964922904968,0.3083685338497162,0.46403205394744873,0.1732487827539444,0.4840516746044159,0.6521818041801453,0.3179481625556946,0.23232990503311157,0.2244700789451599,0.25814583897590637
is,0.4457404911518097,0.17054526507854462,0.5810302495956421,0.2300606518983841,0.3250955045223236,0.1506398767232895,0.5394441485404968,0.5823672413825989,0.15074113011360168,0.19551363587379456,0.18502555787563324,0.22961433231830597
associated,0.3083685338497162,0.14454716444015503,0.16673633456230164,0.9999999403953552,0.3939831554889679,0.033461082726716995,0.23328746855258942,0.2742886245250702,0.06607925891876221,0.14156277477741241,0.1313856542110443,0.1453326791524887
