,by,which,year,did,the,american,cars,mpg,start,to,improve,?
by,1.0000001192092896,0.40543368458747864,0.28805047273635864,0.18574509024620056,0.4408751428127289,0.2777634859085083,0.1942032128572464,0.1790728121995926,0.19754154980182648,0.33534231781959534,0.1698683798313141,0.17966607213020325
1985,0.04352305084466934,0.012650593183934689,0.0003617732145357877,0.07323421537876129,0.02310241386294365,0.14693692326545715,0.005238669458776712,-0.012282324954867363,0.035646915435791016,0.0432262159883976,0.08484018594026566,-0.03005216084420681
",",0.3680937886238098,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.3048616647720337,0.23312760889530182,0.22908884286880493,0.2934366464614868,0.44245919585227966,0.27952802181243896,0.31091248989105225
the,0.4408751428127289,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.24562937021255493,0.22665506601333618,0.21484793722629547,0.3656389117240906,0.535392165184021,0.22075426578521729,0.22068053483963013
average,0.15240925550460815,0.2536912262439728,0.2935159504413605,0.13524195551872253,0.27058175206184387,0.18169984221458435,0.12249799072742462,0.29183802008628845,0.213469997048378,0.2572915256023407,0.24736212193965912,0.21764592826366425
american,0.2777634859085083,0.16603466868400574,0.18412037193775177,0.21486236155033112,0.24562937021255493,1.0000001192092896,0.1259250044822693,0.1317797154188156,0.13336677849292755,0.16338081657886505,0.1461026817560196,0.18877598643302917
vehicle,0.18302859365940094,0.26802441477775574,0.17909811437129974,0.12476586550474167,0.20434843003749847,0.14871586859226227,0.5605010986328125,0.41295143961906433,0.13712139427661896,0.26649773120880127,0.2556404769420624,0.16397647559642792
moved,0.16831031441688538,0.18368463218212128,0.16804592311382294,0.27509647607803345,0.32031023502349854,0.12790340185165405,0.16406086087226868,0.19119392335414886,0.2920888364315033,0.2918468713760376,0.17096669971942902,0.15112607181072235
17.4,0.13826622068881989,0.04516693204641342,0.15549319982528687,0.07131443917751312,0.10477135330438614,0.05579100921750069,0.10843200236558914,0.2166312038898468,0.13640590012073517,0.0716487318277359,0.15680807828903198,0.175242617726326
miles,0.19836436212062836,0.23843176662921906,0.21751753985881805,0.10529203712940216,0.25706055760383606,0.18243233859539032,0.2769686281681061,0.40441665053367615,0.11962482333183289,0.2342754453420639,0.12929296493530273,0.09363767504692078
per,0.18994441628456116,0.2492961585521698,0.25943896174430847,0.14237605035305023,0.21691934764385223,0.06434915959835052,0.19420044124126434,0.3742099702358246,0.1798994541168213,0.2519395351409912,0.23051856458187103,0.22323818504810333
gallon,0.15080340206623077,0.23613204061985016,0.19330258667469025,0.12368007749319077,0.2495669722557068,0.160427525639534,0.30409279465675354,0.42173483967781067,0.12235062569379807,0.19300079345703125,0.10671781748533249,0.19300176203250885
",",0.3680937886238098,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.3048616647720337,0.23312760889530182,0.22908884286880493,0.2934366464614868,0.44245919585227966,0.27952802181243896,0.31091248989105225
compared,0.2387654036283493,0.2794484496116638,0.14673635363578796,0.29692959785461426,0.28685078024864197,0.1941204071044922,0.2198411226272583,0.25974130630493164,0.21215206384658813,0.2345995306968689,0.3431440591812134,0.21399109065532684
to,0.33534231781959534,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.535392165184021,0.16338081657886505,0.22292250394821167,0.1835457980632782,0.33345553278923035,1.0,0.38674962520599365,0.29463258385658264
13.5,-0.07360374182462692,-0.1284344345331192,-0.08493968844413757,-0.0024696914479136467,-0.0678468868136406,-0.17810086905956268,-0.1832326203584671,-0.30566221475601196,-0.11476453393697739,-0.016818124800920486,-0.19691969454288483,-0.15619228780269623
in,0.370934396982193,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.22871561348438263,0.2354678511619568,0.16748309135437012,0.29979339241981506,0.45010748505592346,0.2323426753282547,0.20430970191955566
1970,-0.11369822919368744,-0.04974441975355148,0.007248451933264732,0.019275525584816933,0.013761552982032299,-0.07732398062944412,-0.048479825258255005,0.047423720359802246,0.06540268659591675,-0.011698837392032146,-0.05828084051609039,-0.007446378003805876
.,0.3936232924461365,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.29108086228370667,0.27835485339164734,0.3090542256832123,0.3501981496810913,0.4645031690597534,0.25444164872169495,0.4130953550338745
