,what,was,the,cartel,of,newcastle,burgesses,known,as,?
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.1410287767648697,0.4249346852302551,0.1747848093509674,0.24077340960502625,0.18996182084083557,0.3251767158508301,0.19969791173934937
1530,-0.12592312693595886,-4.96999709866941e-05,-0.16544051468372345,-0.2051999717950821,-0.03948625549674034,0.018668338656425476,-0.04294823482632637,-0.004484472330659628,-0.05371616780757904,-0.001345398253761232
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20649468898773193,0.5052502155303955,0.21405641734600067,0.30054983496665955,0.30882248282432556,0.39550232887268066,0.23916715383529663
royal,0.16189028322696686,0.2874114215373993,0.2997032403945923,0.1618701070547104,0.3112924098968506,0.21508808434009552,0.22138826549053192,0.1640821099281311,0.1588529497385025,0.11453001946210861
act,0.2622668445110321,0.1887621134519577,0.28682878613471985,0.17484718561172485,0.2802577316761017,0.18830713629722595,0.24264824390411377,0.1944265514612198,0.2497578263282776,0.1482519507408142
restricted,0.24043217301368713,0.1638563871383667,0.26228615641593933,0.22087693214416504,0.2586212754249573,0.12512686848640442,0.23140278458595276,0.2095712274312973,0.2518855333328247,0.16540619730949402
all,0.41981086134910583,0.23179835081100464,0.4860881567001343,0.2147264927625656,0.42798417806625366,0.17023631930351257,0.28994008898735046,0.13808979094028473,0.33195313811302185,0.29575422406196594
shipments,0.18284344673156738,0.2825445532798767,0.3284715712070465,0.2526561915874481,0.29598966240882874,0.2715380787849426,0.27127498388290405,0.09959069639444351,0.22154711186885834,0.13020576536655426
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2825971841812134,1.0,0.18781472742557526,0.38938942551612854,0.35814476013183594,0.3886612355709076,0.1826142966747284
coal,0.15859243273735046,0.18313007056713104,0.23263108730316162,0.2447110116481781,0.2543368637561798,0.28267887234687805,0.33367690443992615,0.16749468445777893,0.16844041645526886,0.10339318215847015
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.1410287767648697,0.4249346852302551,0.1747848093509674,0.24077340960502625,0.18996182084083557,0.3251767158508301,0.19969791173934937
tyneside,0.22811484336853027,0.2858113944530487,0.33988526463508606,0.15024864673614502,0.3008047938346863,0.5080589652061462,0.33602374792099,0.2146420180797577,0.307264506816864,0.10805024206638336
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2592577636241913,0.41548454761505127,0.23559264838695526,0.2616129517555237,0.14337651431560516,0.42092081904411316,0.29463258385658264
newcastle,0.16276082396507263,0.25710436701774597,0.2253497689962387,0.17949014902114868,0.18781472742557526,1.0000001192092896,0.26213812828063965,0.14520376920700073,0.21526619791984558,0.0902252271771431
quayside,0.19494862854480743,0.29821494221687317,0.27416083216667175,0.17313295602798462,0.26824861764907837,0.3989565074443817,0.4413640797138214,0.23870371282100677,0.2733596861362457,0.10773716121912003
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23603996634483337,0.4946078956127167,0.251589834690094,0.3564212918281555,0.3604377806186676,0.48816442489624023,0.31091248989105225
giving,0.28628480434417725,0.2248714715242386,0.3626074492931366,0.1732873022556305,0.3440891206264496,0.15416130423545837,0.19134575128555298,0.16915743052959442,0.30383536219596863,0.2052922248840332
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20649468898773193,0.5052502155303955,0.21405641734600067,0.30054983496665955,0.30882248282432556,0.39550232887268066,0.23916715383529663
monopoly,0.20629850029945374,0.1724308878183365,0.21333852410316467,0.3398289978504181,0.23683126270771027,0.14897842705249786,0.2446863353252411,0.10399243235588074,0.18700271844863892,0.1011270210146904
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2501753568649292,0.5696388483047485,0.19270820915699005,0.3381606340408325,0.32641831040382385,0.3887844979763031,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2718687951564789,0.733189046382904,0.2253497689962387,0.4177773594856262,0.3624623417854309,0.48381632566452026,0.22068053483963013
coal,0.15859243273735046,0.18313007056713104,0.23263108730316162,0.2447110116481781,0.2543368637561798,0.28267887234687805,0.33367690443992615,0.16749468445777893,0.16844041645526886,0.10339318215847015
trade,0.1555381417274475,0.19989590346813202,0.2681608200073242,0.3697943389415741,0.2310105711221695,0.20700424909591675,0.21757617592811584,0.154041588306427,0.21768774092197418,0.09336511790752411
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2592577636241913,0.41548454761505127,0.23559264838695526,0.2616129517555237,0.14337651431560516,0.42092081904411316,0.29463258385658264
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20649468898773193,0.5052502155303955,0.21405641734600067,0.30054983496665955,0.30882248282432556,0.39550232887268066,0.23916715383529663
cartel,0.20699316263198853,0.28253239393234253,0.2718687951564789,1.0,0.2825971841812134,0.17949014902114868,0.2564091980457306,0.22800885140895844,0.23081527650356293,0.12541036307811737
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2825971841812134,1.0,0.18781472742557526,0.38938942551612854,0.35814476013183594,0.3886612355709076,0.1826142966747284
newcastle,0.16276082396507263,0.25710436701774597,0.2253497689962387,0.17949014902114868,0.18781472742557526,1.0000001192092896,0.26213812828063965,0.14520376920700073,0.21526619791984558,0.0902252271771431
burgesses,0.28990912437438965,0.269823282957077,0.4177773594856262,0.2564091980457306,0.38938942551612854,0.26213812828063965,1.0,0.27880945801734924,0.3199162781238556,0.1486217975616455
known,0.20381177961826324,0.35203275084495544,0.3624623417854309,0.22800885140895844,0.35814476013183594,0.14520376920700073,0.27880945801734924,1.0,0.4815765619277954,0.18314571678638458
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.23081527650356293,0.3886612355709076,0.21526619791984558,0.3199162781238556,0.4815765619277954,1.0,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.2718687951564789,0.733189046382904,0.2253497689962387,0.4177773594856262,0.3624623417854309,0.48381632566452026,0.22068053483963013
hostmen,0.18278621137142181,0.2230941653251648,0.32940226793289185,0.31013643741607666,0.2591148316860199,0.27230608463287354,0.37215930223464966,0.2561113238334656,0.2328297644853592,0.18327927589416504
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2550008296966553,0.5352458953857422,0.2714749276638031,0.3268274664878845,0.283290296792984,0.515582263469696,0.4130953550338745
