,what,type,of,layout,does,newcastle,'s,streets,have,in,many,parts,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.16416937112808228,0.214483380317688,0.19270820915699005,-0.037580832839012146,0.24497881531715393,0.36843645572662354,1.0,0.41474202275276184,0.3282690644264221,0.20430970191955566
large,0.2017821967601776,0.27216973900794983,0.3569655418395996,0.20620118081569672,0.22553202509880066,0.1500018686056137,0.06319566071033478,0.17813262343406677,0.33964231610298157,0.2841601073741913,0.42789679765701294,0.31062233448028564,0.1355665624141693
parts,0.3415631353855133,0.22809341549873352,0.3379773199558258,0.27419722080230713,0.2662765681743622,0.09277684986591339,0.060162968933582306,0.16591998934745789,0.2987560033798218,0.3282690644264221,0.3626287281513214,1.0,0.12310896813869476
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21451225876808167,0.28617382049560547,0.251589834690094,-0.0016132977325469255,0.22823314368724823,0.3541618287563324,0.5201468467712402,0.40610817074775696,0.2964099943637848,0.31091248989105225
newcastle,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.1791127473115921,0.12200397253036499,1.0000001192092896,-0.017262522131204605,0.16753821074962616,0.136333167552948,0.19270820915699005,0.17336907982826233,0.09277684986591339,0.0902252271771431
still,0.4548931419849396,0.1456364393234253,0.3288819193840027,0.22262121737003326,0.3817117214202881,0.16287270188331604,0.033143531531095505,0.21452312171459198,0.42502015829086304,0.3424699008464813,0.4997209906578064,0.3164202570915222,0.3039587736129761
retains,0.13150368630886078,0.12557847797870636,0.3079439401626587,0.2583160698413849,0.2879992425441742,0.08486531674861908,-0.03568883240222931,0.16164278984069824,0.2871224880218506,0.24730412662029266,0.19655726850032806,0.18385526537895203,0.058350570499897
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2304399162530899,0.38201746344566345,0.21405641734600067,0.04866964742541313,0.1697748899459839,0.338716596364975,0.539380669593811,0.2872205972671509,0.2777566909790039,0.23916715383529663
medieval,0.2230893075466156,0.15399570763111115,0.31686919927597046,0.18075382709503174,0.1765017807483673,0.21742522716522217,0.026681648567318916,0.23653407394886017,0.1921030580997467,0.2546980679035187,0.24158154428005219,0.2320338934659958,0.15571735799312592
street,0.14271703362464905,0.09114528447389603,0.18984536826610565,0.22901152074337006,0.1326543539762497,0.18945761024951935,0.06000900641083717,0.7805339097976685,0.16999748349189758,0.2281111478805542,0.1944916546344757,0.12297540158033371,0.07315441966056824
layout,0.251471608877182,0.2224041223526001,0.17216317355632782,0.9999999403953552,0.17587056756019592,0.1791127473115921,0.029832836240530014,0.22647905349731445,0.2564185857772827,0.16416937112808228,0.1797480583190918,0.27419722080230713,0.16854165494441986
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.20019572973251343,0.3022993505001068,0.2714749276638031,-0.003708066651597619,0.22065025568008423,0.41614407300949097,0.5591574311256409,0.3974229395389557,0.30755549669265747,0.4130953550338745
