,what,kind,of,buildings,are,in,the,towns,of,close,",",sandhill,and,quayside,?
close,0.23424343764781952,0.19196386635303497,0.24178770184516907,0.15511666238307953,0.2066296637058258,0.23149028420448303,0.2625353932380676,0.21867382526397705,0.24178770184516907,1.0000001192092896,0.34483593702316284,0.19491127133369446,0.32415980100631714,0.23515905439853668,0.1908312737941742
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.272444486618042,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.29025155305862427,0.4946078956127167,0.34483593702316284,1.0000001192092896,0.29831814765930176,0.6633074283599854,0.32852903008461,0.31091248989105225
sandhill,0.16423605382442474,0.1889112889766693,0.22596482932567596,0.18975886702537537,0.19695550203323364,0.2030448168516159,0.19705261290073395,0.19295719265937805,0.22596482932567596,0.19491127133369446,0.29831814765930176,1.0,0.2564336061477661,0.39094671607017517,0.12640298902988434
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3477250337600708,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.25961095094680786,0.5116966962814331,0.32415980100631714,0.6633074283599854,0.2564336061477661,1.0,0.35012149810791016,0.20544172823429108
quayside,0.19494862854480743,0.14021530747413635,0.26824861764907837,0.35356539487838745,0.19987639784812927,0.32552066445350647,0.27416083216667175,0.35426008701324463,0.26824861764907837,0.23515905439853668,0.32852903008461,0.39094671607017517,0.35012149810791016,1.0000001192092896,0.10773716121912003
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.18815407156944275,0.5326977372169495,0.23975171148777008,0.26383090019226074,0.1382679045200348,0.30574339628219604,0.1310901939868927,0.24384500086307526,0.19003431499004364,0.3066939413547516,0.1432504951953888,0.18853069841861725
modern,0.2655639946460724,0.23134341835975647,0.3482828736305237,0.2346106618642807,0.21159417927265167,0.29808807373046875,0.3283970355987549,0.1940547674894333,0.3482828736305237,0.21914422512054443,0.2557750344276428,0.18055230379104614,0.3277876079082489,0.1941138654947281,0.12475407868623734
buildings,0.17147983610630035,0.122927226126194,0.2829168736934662,1.0,0.27261707186698914,0.3479180932044983,0.25566717982292175,0.37412527203559875,0.2829168736934662,0.15511666238307953,0.272444486618042,0.18975886702537537,0.3477250337600708,0.35356539487838745,0.11192528158426285
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.21993879973888397,0.3826591968536377,0.3887844979763031,0.48381632566452026,0.20049063861370087,0.3886612355709076,0.22066694498062134,0.48816442489624023,0.2112227827310562,0.49487000703811646,0.2733596861362457,0.27043893933296204
well,0.4154493808746338,0.3272657096385956,0.3343164324760437,0.2582627236843109,0.44987359642982483,0.36612698435783386,0.42630070447921753,0.22366628050804138,0.3343164324760437,0.2653728723526001,0.4331948161125183,0.18460841476917267,0.5258845686912537,0.2906731963157654,0.24815571308135986
