,what,is,stratigraphy,?
in,0.30808621644973755,0.5394441485404968,0.24011854827404022,0.20430970191955566
typical,0.2897430658340454,0.28977829217910767,0.33007654547691345,0.15633712708950043
geological,0.2686845362186432,0.19911125302314758,0.5841799378395081,0.16050557792186737
investigations,0.20865970849990845,0.19517801702022552,0.37227168679237366,0.14811140298843384
",",0.3087472915649414,0.4691906273365021,0.22406105697155,0.31091248989105225
geologists,0.33891814947128296,0.24277998507022858,0.49511948227882385,0.18105274438858032
use,0.3453877568244934,0.3357410430908203,0.24133656919002533,0.32795652747154236
primary,0.2113915979862213,0.23824772238731384,0.20627079904079437,0.16286636888980865
information,0.35283446311950684,0.2520555853843689,0.23924274742603302,0.24875912070274353
related,0.258600115776062,0.20549555122852325,0.19568094611167908,0.17689068615436554
to,0.455847829580307,0.42745086550712585,0.1699131429195404,0.29463258385658264
petrology,0.2366693764925003,0.20695112645626068,0.482408344745636,0.17026908695697784
(,0.2411840260028839,0.35393038392066956,0.1369662582874298,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,0.2531282305717468,0.22068053483963013
study,0.3123835027217865,0.20457550883293152,0.4212559163570404,0.15902167558670044
of,0.33290785551071167,0.4854315221309662,0.323807030916214,0.1826142966747284
rocks,0.24802041053771973,0.23288390040397644,0.44379884004592896,0.17394492030143738
),0.26259949803352356,0.37732169032096863,0.15709230303764343,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.22406105697155,0.31091248989105225
stratigraphy,0.2908082604408264,0.2390870898962021,0.9999998807907104,0.13363385200500488
(,0.2411840260028839,0.35393038392066956,0.1369662582874298,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,0.2531282305717468,0.22068053483963013
study,0.3123835027217865,0.20457550883293152,0.4212559163570404,0.15902167558670044
of,0.33290785551071167,0.4854315221309662,0.323807030916214,0.1826142966747284
sedimentary,0.2219204604625702,0.2035568505525589,0.5461786389350891,0.1575118452310562
layers,0.24485039710998535,0.23205043375492096,0.40749591588974,0.09622068703174591
),0.26259949803352356,0.37732169032096863,0.15709230303764343,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.22406105697155,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.1964840441942215,0.20544172823429108
structural,0.19746112823486328,0.18122926354408264,0.39311763644218445,0.1448175609111786
geology,0.27770960330963135,0.17141100764274597,0.608271598815918,0.1570872962474823
(,0.2411840260028839,0.35393038392066956,0.1369662582874298,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,0.2531282305717468,0.22068053483963013
study,0.3123835027217865,0.20457550883293152,0.4212559163570404,0.15902167558670044
of,0.33290785551071167,0.4854315221309662,0.323807030916214,0.1826142966747284
positions,0.19736577570438385,0.1819259375333786,0.26486462354660034,0.126787006855011
of,0.33290785551071167,0.4854315221309662,0.323807030916214,0.1826142966747284
rock,0.1923677921295166,0.1981455236673355,0.27566784620285034,0.13172835111618042
units,0.1804584264755249,0.18204201757907867,0.28759294748306274,0.089388407766819
and,0.31309178471565247,0.3859752118587494,0.1964840441942215,0.20544172823429108
their,0.35142919421195984,0.2101074606180191,0.13919077813625336,0.1898253709077835
deformation,0.2611449956893921,0.2944431006908417,0.451170414686203,0.17587928473949432
),0.26259949803352356,0.37732169032096863,0.15709230303764343,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.18795989453792572,0.4130953550338745
